 5954 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 25 ; alex1974 ; 50 
 5955 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 10 ; Новик ; 27 
 5956 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 20 ; _Владимир_ ; 42 
 5957 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 8 ; _Владимир_ ; 28 
 5958 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 11 ; _Владимир_ ; 26 
 5959 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 14 ; Hamlet ; 30 
 5960 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 22 ; V.I.P.E.R. ; 40 
 5961 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 24 ; V.I.P.E.R. ; 43 
 5962 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 11 ; V.I.P.E.R. ; 35 
 5963 ; Бона иностранная Китай ;  ;  ;  ; AU ; 7 ; Новик ; 22 
 5964 ; Бона иностранная Китай ;  ;  ;  ; AU ; 11 ; _Владимир_ ; 26 
 5965 ; Бона иностранная Китай ;  ;  ;  ; AU ; 15 ; serg07_67 ; 24 
 5966 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 36 ; alex09-63 ; 63 
 5967 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 10 ; alex09-63 ; 31 
 5968 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 18 ; alex09-63 ; 47 
 5969 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 21 ; doc2 ; 132 
 5970 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 6 ; alex09-63 ; 51 
 5971 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 6 ; _Gera_ ; 30 
 5972 ; Бона иностранная Перу ;  ;  ;  ; AU ; 34 ; V.I.P.E.R. ; 183 
 5973 ; Бона иностранная Британские вооруженные силы. ;  ;  ;  ; AU ; 6 ; heavy_fly ; 26 
 5974 ; Бона иностранная Британские вооруженные силы. ;  ;  ;  ; AU ; 22 ; val211 ; 39 
 5975 ; Бона иностранная Британские вооруженные силы. ;  ;  ;  ; AU ; 10 ; heavy_fly ; 26 
