 5991 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 28 ; sibirian ; 28 
 5992 ; Бона иностранная Литва ;  ;  ;  ; AU ; 8 ; _Gera_ ; 23 
 5993 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 7 ; _Gera_ ; 22 
 5994 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 6 ; _Gera_ ; 13 
 5995 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 14 ; _Gera_ ; 24 
 5996 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 6 ; _Gera_ ; 16 
 5997 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 4 ; _Gera_ ; 20 
 5998 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 6 ; val211 ; 25 
 5999 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 15 ; solder13 ; 26 
 6000 ; Бона иностранная Египет ;  ;  ;  ; AU ; 24 ; val211 ; 26 
 6001 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 8 ; _Gera_ ; 24 
 6002 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; val211 ; 59 
 6003 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 26 ; K.V.N. ; 340 
 6004 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; елец ; 61 
 5941 ; Бона иностранная Германия ;  ;  ;  ;  ; 36 ; K.V.N. ; 53 
 5942 ; Бона иностранная Малайя ;  ;  ;  ;  ; 28 ; alex1974 ; 150 
 5943 ; Бона иностранная Малайя ;  ;  ;  ;  ; 18 ; val211 ; 108 
 5944 ; Бона иностранная Испания ;  ;  ;  ;  ; 31 ; flutter ; 113 
 5945 ; Бона иностранная Индия ;  ;  ;  ;  ; 9 ; smel ; 90 
 5946 ; Бона иностранная Венесуэла ;  ;  ;  ;  ; 20 ; K.V.N. ; 61 
 5947 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 27 ; K.V.N. ; 77 
 5948 ; Бона иностранная Эстония ;  ;  ;  ;  ; 12 ; doiu33 ; 81 
 5949 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 24 ; елец ; 357 
 5950 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 23 ; Rober ; 46 
 5951 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 30 ; sveta6369 ; 66 
 5952 ; Лот бон иностранных Болгария 3 шт. ;  ;  ;  ; AU ; 19 ; 462 ; 153 
 5953 ; Лот бон иностранных Болгария 3 шт. ;  ;  ;  ; AU ; 38 ; cr2952 ; 210 
 5954 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 11 ; Папа с рацией ; 95 
 5955 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 6 ; V.I.P.E.R. ; 24 
 5956 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 7 ; Rober ; 25 
 5957 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 6 ; _Gera_ ; 18 
 5958 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; flutter ; 33 
 5959 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 10 ; flutter ; 33 
 5960 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 6 ; _Gera_ ; 24 
 5961 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 8 ; karal ; 38 
