 6010 ; Бона иностранная Перу ;  ;  ;  ;  ; 7 ; Димон777 ; 41 
 6011 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 3 ; Consul2009 ; 31 
 6012 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 5 ; Consul2009 ; 32 
 6013 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 3 ; Consul2009 ; 29 
 6014 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 10 ; радон ; 32 
 6015 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 13 ; Beliy86 ; 30 
 6016 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 7 ; divergent ; 31 
 6017 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 23 ; Опятор ; 63 
 6018 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 31 ; Teremok ; 53 
 6019 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 9 ; val211 ; 33 
 6020 ; Бона иностранная Заир ;  ;  ;  ;  ; 7 ; Beliy86 ; 35 
 6021 ; Бона иностранная Иран ;  ;  ;  ;  ; 11 ; Monata ; 153 
 6022 ; Бона иностранная Иран ;  ;  ;  ;  ; 7 ; Monata ; 125 
 6023 ; Бона иностранная Иран ;  ;  ;  ;  ; 19 ; Monata ; 199 
 6024 ; Бона иностранная Иран ;  ;  ;  ;  ; 11 ; teso ; 193 
 6025 ; Бона иностранная Иран ;  ;  ;  ;  ; 16 ; val211 ; 58 
 6026 ; Бона иностранная Гана ;  ;  ;  ;  ; 7 ; Алексей007 ; 60 
 6027 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 4 ; Beliy86 ; 27 
 6028 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 7 ; стадник ; 41 
 6029 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 7 ; Beliy86 ; 33 
 6030 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 14 ; mega ; 100 
 6031 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 9 ; Beliy86 ; 31 
 6032 ; Бона иностранная Уганда ;  ;  ;  ;  ; 10 ; велес ; 41 
 6033 ; Бона иностранная Пакистан ;  ;  ;  ;  ; 15 ; Monata ; 153 
 6034 ; Бона иностранная Пакистан ;  ;  ;  ;  ; 8 ; Beliy86 ; 34 
 6035 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; Monata ; 126 
 6036 ; Бона иностранная Катар ;  ;  ;  ;  ; 7 ; maksbelov ; 41 
 6037 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 17 ; Опятор ; 114 
 6038 ; Бона иностранная Сейшельские острова ;  ;  ;  ;  ; 12 ; maksbelov ; 73 
 6039 ; Бона иностранная Югославия ;  ;  ;  ;  ; 9 ; Beliy86 ; 29 
