 5975 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5976 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; Жорик ; 34 
 5977 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; Kolya2788 ; 31 
 5978 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5979 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5980 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 5 ; 2128508 ; 36 
 5981 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 11 ; Sterh ; 35 
 5982 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 5 ; радон ; 31 
 5983 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 29 ; Хаа ; 114 
 5984 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; derk02 ; 31 
 5985 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5986 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; Жорик ; 34 
 5987 ; Бона иностранная Перу ;  ;  ;  ;  ; 13 ; стадник ; 79 
 5988 ; Бона иностранная Перу ;  ;  ;  ;  ; 3 ; Жорик ; 11 
 5989 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 9 ; радон ; 37 
 5990 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 7 ; велес ; 46 
 5991 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 5 ; скорпион_48 ; 45 
 5992 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 7 ; 2128508 ; 55 
 5993 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 7 ; Жорик ; 46 
 5994 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 7 ; divergent ; 41 
 5995 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 5 ; Жорик ; 34 
 5996 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 5 ; divergent ; 41 
 5997 ; Бона иностранная Польша ;  ;  ;  ;  ; 7 ; divergent ; 36 
 5998 ; Бона иностранная Польша ;  ;  ;  ;  ; 25 ; flutter ; 91 
 5999 ; Бона иностранная Польша ;  ;  ;  ;  ; 13 ; HANZ ; 51 
 6000 ; Бона иностранная Белиз ;  ;  ;  ;  ; 22 ; bva150979 ; 100 
 6001 ; Бона иностранная Венесуэла ;  ;  ;  ;  ; 8 ; Хаа ; 38 
 6002 ; Бона иностранная Эфиопия ;  ;  ;  ;  ; 7 ; Хаа ; 38 
 6003 ; Бона иностранная Уганда ;  ;  ;  ;  ; 11 ; радон ; 45 
 6004 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; morozzz ; 55 
 6005 ; Бона иностранная Германия ;  ;  ;  ;  ; 8 ; dmivanych ; 36 
 6006 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; dmivanych ; 68 
 6007 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; Чашник ; 114 
 6008 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; svoi1970 ; 31 
 6009 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; dmivanych ; 318 
 6010 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; нв1975 ; 306 
 6011 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 24 ; РОВД ; 509 
 6012 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 19 ; xxxl ; 408 
 6013 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 28 ; StanislavAK ; 421 
 6014 ; Лот акций США 30 шт ;  ;  ;  ;  ; 61 ; $$$ ; 2968 
 6015 ; Лот акций США 30 шт ;  ;  ;  ;  ; 53 ; $$$ ; 2999 
 5925 ; Лот бон 2 шт ;  ;  ;  ;  ; 24 ; Rober ; 59 
 5926 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Алексей007 ; 453 
 5927 ; Бона иностранная ;  ;  ;  ;  ; 19 ; derk02 ; 418 
 5928 ; Бона иностранная ;  ;  ;  ;  ; 7 ; divergent ; 44 
 5929 ; Лот бон иностранных 24 шт ;  ;  ;  ;  ; 35 ; Хаа ; 771 
 5930 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 9 ; Винни Пух ; 510 
 5931 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 13 ; Винни Пух ; 408 
 5932 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 47 ; xxxl ; 204 
 5933 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 13 ; Алексей007 ; 123 
 5934 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 4 ; morozzz ; 26 
 5935 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 8 ; moneta34 ; 46 
 5936 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 7 ; moneta34 ; 47 
 5937 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 5 ; moneta34 ; 51 
 5938 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 7 ; morozzz ; 30 
 5939 ; Бона иностранная Перу ;  ;  ;  ; AU ; 11 ; Алексей007 ; 153 
 5940 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 9 ; moneta34 ; 51 
 5941 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 7 ; moneta34 ; 51 
 5942 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 11 ; джон08 ; 68 
 5943 ; Бона иностранная Словения ;  ;  ;  ; AU ; 5 ; morozzz ; 30 
 5944 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 5 ; morozzz ; 26 
 5945 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 8 ; Мурзик ; 65 
 5946 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 8 ; Мурзик ; 67 
 5947 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 9 ; moneta34 ; 41 
 5948 ; Бона иностранная Египет ;  ;  ;  ; AU ; 5 ; morozzz ; 30 
 5949 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5950 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 5 ; morozzz ; 30 
 5951 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 5 ; morozzz ; 30 
 5952 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5953 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 11 ; Алексей007 ; 102 
 5954 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 11 ; Алексей007 ; 153 
 5955 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 5 ; morozzz ; 30 
 5956 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5957 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5958 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5959 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 3 ; morozzz ; 16 
 5960 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 24 ; елец ; 107 
 5961 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; prostor.71 ; 89 
 5962 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 9 ; Prizon ; 57 
 5963 ; Бона иностранная Египет ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5964 ; Бона иностранная Египет ;  ;  ;  ; AU ; 5 ; moneta34 ; 46 
 5965 ; Бона иностранная Иран ;  ;  ;  ;  ; 9 ; Sterh ; 47 
 5966 ; Бона иностранная Иран ;  ;  ;  ;  ; 7 ; Жорик ; 25 
 5967 ; Бона иностранная Египет ;  ;  ;  ;  ; 8 ; StanislavAK ; 31 
 5968 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 3 ; Жорик ; 16 
 5969 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 3 ; Жорик ; 16 
 5970 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 3 ; Жорик ; 16 
 5971 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 5 ; Жорик ; 22 
 5972 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 18 ; CASABLANCA ; 31 
 5973 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5974 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 3 ; Жорик ; 16 
 5875 ; Бона иностранная ;  ;  ;  ;  ; 25 ; стадник ; 214 
 5876 ; Лот бон 4 шт ;  ;  ;  ;  ; 7 ; 2128508 ; 191 
 5877 ; Лот бон 3 шт ;  ;  ;  ;  ; 22 ; Мурзик ; 123 
 5878 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Мурзик ; 135 
 5879 ; Бона иностранная ;  ;  ;  ;  ; 11 ; AntonR ; 38 
 5880 ; Бона иностранная ;  ;  ;  ;  ; 15 ; стадник ; 308 
 5881 ; Бона иностранная ;  ;  ;  ;  ; 13 ; stal88 ; 250 
 5882 ; Бона иностранная Греция ;  ;  ;  ;  ; 26 ; HANZ ; 114 
 5883 ; Бона иностранная Греция ;  ;  ;  ;  ; 19 ; HANZ ; 114 
 5884 ; Бона иностранная Греция ;  ;  ;  ;  ; 21 ; HANZ ; 114 
 5885 ; Бона иностранная Греция ;  ;  ;  ;  ; 48 ; HANZ ; 261 
 5886 ; Бона иностранная Сербия ;  ;  ;  ;  ; 11 ; тикси3 ; 38 
 5887 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 16 ; maksbelov ; 114 
 5888 ; Бона иностранная Вьетнам ;  ;  ;  ;  ; 44 ; стадник ; 167 
 5889 ; Бона иностранная Гана ;  ;  ;  ; AU ; 45 ; стадник ; 249 
 5890 ; Бона иностранная Сьерра - Леоне ;  ;  ;  ; AU ; 27 ; Алексей007 ; 177 
 5891 ; Бона иностранная Соломоновы о-ва ;  ;  ;  ; AU ; 9 ; maksbelov ; 108 
 5892 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 20 ; Prizon ; 285 
 5893 ; Лот бон иностранных 20 шт ;  ;  ;  ;  ; 54 ; AntonR ; 611 
 5894 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 26 ; стадник ; 407 
 5895 ; Лот бон иностранных 25 шт ;  ;  ;  ;  ; 46 ; xxxl ; 618 
 5896 ; Лот бон иностранных 25 шт ;  ;  ;  ;  ; 40 ; xxxl ; 616 
 5897 ; Лот нотгельдов 6 шт ;  ;  ;  ;  ; 28 ; елец ; 418 
 5898 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 16 ; xxxl ; 261 
 5899 ; Лот нотгельдов 13 шт ;  ;  ;  ;  ; 32 ; xxxl ; 510 
 5900 ; Лот нотгельдов 9 шт ;  ;  ;  ;  ; 37 ; xxxl ; 347 
 5901 ; Лот нотгельдов 7 шт ;  ;  ;  ;  ; 26 ; xxxl ; 411 
 5902 ; Бона иностранная Эстония ;  ;  ;  ;  ; 30 ; teso ; 531 
 5903 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 16 ; svv ; 561 
 5904 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 20 ; svv ; 561 
 5905 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 15 ; Хаа ; 402 
 5906 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 27 ; Хаа ; 1581 
 5907 ; Лот бон 2 шт. Финляндия ;  ;  ;  ;  ; 23 ; Хаа ; 250 
 5908 ; 5 марок Германия ; 1960 ;  ;  ; AU ; 27 ; нв1975 ; 407 
 5909 ; 5 злотых Польша ; 1919 ;  ;  ; XF ; 12 ; WCN ; 357 
 5910 ; 1000 злотых Польша ; 1919 ;  ;  ;  ; 9 ; sos1 ; 340 
 5911 ; 5000 злотых Польша ; 1919 ;  ;  ;  ; 20 ; стадник ; 204 
 5912 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 26 ; val211 ; 57 
 5913 ; 2 франка Франция ; 1944 ;  ;  ;  ; 30 ; bonist-3A ; 273 
 5914 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dmitry21 ; 45 
 5915 ; Бона иностранная ;  ;  ;  ;  ; 7 ; maymuse ; 45 
 5916 ; Бона иностранная ;  ;  ;  ;  ; 9 ; divergent ; 27 
 5917 ; Бона иностранная ;  ;  ;  ;  ; 33 ; derk02 ; 179 
 5918 ; Бона иностранная ;  ;  ;  ;  ; 11 ; divergent ; 31 
 5919 ; Бона иностранная ;  ;  ;  ;  ; 15 ; maymuse ; 306 
 5920 ; Лот бон 2 шт ;  ;  ;  ;  ; 15 ; divergent ; 63 
 5921 ; Лот бон 3 шт ;  ;  ;  ;  ; 5 ; pref ; 36 
 5922 ; Лот бон 2 шт ;  ;  ;  ;  ; 13 ; Dmitry21 ; 58 
