 5979 ; 1000000 злотых Польша ; 1991 ;  ; AU ;  ; 45 ; Бармалей ; 1707 
 5980 ; 2000000 злотых Польша ; 1993 ;  ; AU ;  ; 54 ; Бармалей ; 2096 
 5981 ; 100 франков Бельгия ;  ;  ;  ; AU ; 17 ; папашаГарпагон ; 201 
 5982 ; 200 франков Бельгия ;  ;  ;  ; AU ; 24 ; папашаГарпагон ; 556 
 5983 ; 100 франков Бельгия ;  ;  ;  ;  ; 12 ; папашаГарпагон ; 202 
 5984 ; 100 франков Люксенбург ;  ;  ;  ;  ; 16 ; air ; 257 
 5985 ; 1 доллар США ;  ;  ;  ;  ; 23 ; basmach ; 453 
 5986 ; Билет лотерейный Эстония ; 1958 ;  ;  ;  ; 51 ; Eilenau ; 118 
 5987 ; Набор карточек Тарту ; 1992 ;  ;  ;  ; 20 ; D-503 ; 930 
 5988 ; Бона иностранная Китай ;  ;  ;  ;  ; 34 ; Dmitry21 ; 162 
 5989 ; Бона иностранная Китай ;  ;  ;  ;  ; 22 ; maks169 ; 340 
 5990 ; Бона иностранная Китай ;  ;  ;  ;  ; 30 ; ZIMOGOR ; 160 
 5991 ; Бона иностранная Япония ;  ;  ;  ;  ; 36 ; елец ; 160 
 5992 ; Бона иностранная Япония ;  ;  ;  ;  ; 29 ; maks169 ; 102 
 5993 ; Бона иностранная Япония ;  ;  ;  ;  ; 26 ; елец ; 114 
 5994 ; Бона иностранная Япония ;  ;  ;  ;  ; 28 ; елец ; 262 
 5995 ; Бона иностранная Япония ;  ;  ;  ;  ; 31 ; елец ; 227 
 5996 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 39 ; елец ; 306 
 5997 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 12 ; елец ; 179 
 5998 ; Чек на получение товаров на сумму 10 рублей ; 1976 ;  ;  ;  ; 37 ; tss ; 619 
 5999 ; Лот бон иностранных Ямайка 5 шт. ;  ;  ;  ;  ; 11 ; bvi ; 227 
 6000 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 7 ; divergent ; 26 
 6001 ; Лот бон иностранных Иран 5 шт. ;  ;  ;  ;  ; 14 ; divergent ; 283 
 6002 ; Лот бон иностранных Перу 4 шт. ;  ;  ;  ;  ; 29 ; филипок ; 148 
 6003 ; Лот бон иностранных Болгария 3 шт. ;  ;  ;  ; AU ; 27 ; Мурзик ; 119 
 6004 ; Лот бон иностранных Болгария 3 шт. ;  ;  ;  ; AU ; 26 ; Мурзик ; 362 
 6005 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 26 ; divergent ; 102 
 6006 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; bvi ; 108 
 6007 ; Лот бон иностранных Венгрия 10 шт. ;  ;  ;  ;  ; 14 ; YG2013 ; 77 
 6008 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 15 ; avilych ; 90 
 6009 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 12 ; avilych ; 57 
 6010 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 10 ; avilych ; 57 
 6011 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; Чашник ; 32 
 6012 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 14 ; AlexMartSpb ; 33 
 6013 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; avilych ; 33 
 6014 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 11 ; avilych ; 32 
 6015 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 14 ; YG2013 ; 45 
 6016 ; Лот бон иностранных Египет 10 шт. ;  ;  ;  ;  ; 9 ; 2128508 ; 76 
 6017 ; Лот бон иностранных  Бразилия 4 шт. ;  ;  ;  ;  ; 16 ; филипок ; 104 
 6018 ; Бона иностранная Эфиопия ;  ;  ;  ;  ; 15 ; Tritiy2 ; 34 
 6019 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 6 ; maksbelov ; 19 
 6020 ; Лот бон иностранных Кувейт 3шт. ;  ;  ;  ;  ; 9 ; maksbelov ; 104 
 6021 ; Лот бон иностранных Перу 5 шт ;  ;  ;  ;  ; 15 ; филипок ; 111 
 6022 ; Лот бон иностранных Гана 2 шт. ;  ;  ;  ;  ; 24 ; divergent ; 106 
 6023 ; Лот бон иностранных  Бразилия 5 шт. ;  ;  ;  ;  ; 10 ; YG2013 ; 62 
 6024 ; Лот бон иностранных  Колумбия 4 шт. ;  ;  ;  ;  ; 30 ; филипок ; 114 
 6025 ; Лот бон иностранных Аргентина 5 шт. ;  ;  ;  ;  ; 30 ; филипок ; 108 
 6026 ; Лот бон иностранных 10 шт. ;  ;  ;  ;  ; 36 ; divergent ; 155 
 6027 ; Лот бон иностранных 9 шт. ;  ;  ;  ;  ; 25 ; YG2013 ; 94 
 5929 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 5 ; Boss Orange ; 147 
 5930 ; Бона иностранная Бельгия ; 1938 ;  ;  ;  ; 31 ; стадник ; 304 
 5931 ; Бона иностранная Бельгия ; 1943 ;  ;  ;  ; 13 ; stabah ; 262 
 5932 ; Бона иностранная Бельгия ; 1938 ;  ;  ;  ; 21 ; стадник ; 142 
 5933 ; Бона иностранная Бельгия ; 1938 ;  ;  ;  ; 14 ; divergent ; 77 
 5934 ; Бона иностранная Польша ; 1940 ;  ;  ;  ; 33 ; MG ; 920 
 5935 ; Бона иностранная Польша ; 1948 ;  ; AU ;  ; 12 ; архыз ; 204 
 5936 ; Бона иностранная Польша ; 1936 ;  ;  ;  ; 34 ; стадник ; 180 
 5937 ; Бона иностранная Польша ; 1941 ;  ;  ;  ; 14 ; архыз ; 204 
 5938 ; Бона иностранная Колумбия ; 1978 ;  ; AU ;  ; 11 ; Waldemar ; 104 
 5939 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 34 ; smel ; 178 
 5940 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 14 ; Хаа ; 159 
 5941 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 9 ; ZIMOGOR ; 202 
 5942 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 59 ; max2008 ; 206 
 5943 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 25 ; ZIMOGOR ; 103 
 5944 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 23 ; max2008 ; 239 
 5945 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 15 ; max2008 ; 239 
 5946 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 9 ; max2008 ; 101 
 5947 ; Бона иностранная Филиппины ;  ;  ; AU ;  ; 27 ; стадник ; 98 
 5948 ; Бона иностранная Филиппины ;  ;  ; AU ;  ; 19 ; стадник ; 129 
 5949 ; Бона иностранная Филиппины ;  ;  ; AU ;  ; 18 ; стадник ; 137 
 5950 ; Бона иностранная Филиппины ;  ;  ; AU ;  ; 29 ; smel ; 350 
 5951 ; Бона иностранная Индокитай ;  ;  ; AU ;  ; 28 ; Monata ; 352 
 5952 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 15 ; Monata ; 340 
