 5923 ; Бона иностранная. Боливия ; 1962 ;  ;  ;  ; 6 ; moneta34 ; 36 
 5924 ; Бона иностранная. Боливия ; 1945 ;  ;  ; AU ; 40 ; 462 ; 316 
 5925 ; Бона иностранная. Парагвай ;  ;  ;  ; AU ; 13 ; murman ; 61 
 5926 ; Бона иностранная. Уругвай ;  ;  ;  ; AU ; 18 ; murman ; 108 
 5927 ; Бона иностранная. Перу ; 1988 ;  ;  ;  ; 34 ; Monata ; 100 
 5928 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 33 ; kont ; 152 
 5929 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 31 ; 462 ; 101 
 5930 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 34 ; архыз ; 263 
 5931 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 25 ; 462 ; 150 
 5932 ; 100 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 66 ; benc ; 6279 
 5933 ; 50 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 42 ; benc ; 5365 
 5934 ; 25 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 37 ; benc ; 4182 
 5935 ; Лот бон Латвия 3 шт ;  ;  ;  ;  ; 52 ; ЛАВ-13 ; 666 
 5936 ; Лот бон Латвия 4 шт ;  ;  ;  ;  ; 44 ; benc ; 6381 
 5937 ; Лот бон Эстония 2 шт ;  ;  ;  ;  ; 42 ; ЛАВ-13 ; 500 
 5938 ; Лот бон Литва 3 шт ;  ;  ;  ;  ; 27 ; mega ; 194 
 5939 ; Лот бон Украина 3 шт ;  ;  ;  ;  ; 51 ; Мурзик ; 173 
 5940 ; Лот бон Беларусь 8 шт ;  ;  ;  ;  ; 29 ; Svarog_99 ; 204 
 5941 ; Лот бон Беларусь 9 шт ;  ;  ;  ;  ; 16 ; Svarog_99 ; 110 
 5942 ; Лот бон Украина 4 шт ;  ;  ;  ;  ; 32 ; Рубчик ; 54 
 5943 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 27 ; murman ; 65 
 5944 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 31 ; val211 ; 94 
 5945 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 33 ; стадник ; 363 
 5946 ; Бона иностранная Украина ; 2014 ;  ;  ; AU ; 32 ; alex241 ; 295 
