 5909 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; aleksander2015 ; 36 
 5910 ; Бона иностранная Бирма ;  ;  ;  ;  ; 10 ; 47154 ; 33 
 5911 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; CASABLANCA ; 36 
 5912 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; Фонарь ; 18 
 5913 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 23 ; alexnn ; 53 
 5914 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 5 ; CASABLANCA ; 46 
 5915 ; Бона иностранная Иран ;  ;  ;  ;  ; 19 ; mart_si ; 125 
 5916 ; Бона иностранная Иран ;  ;  ;  ;  ; 13 ; ВНВ ; 77 
 5917 ; Бона иностранная Иран ;  ;  ;  ;  ; 11 ; ВНВ ; 77 
 5918 ; Бона иностранная Иран ;  ;  ;  ;  ; 11 ; ВНВ ; 72 
 5919 ; Бона иностранная Гана ;  ;  ;  ;  ; 30 ; Фонарь ; 31 
 5920 ; Бона иностранная Гана ;  ;  ;  ;  ; 7 ; ВНВ ; 57 
 5921 ; Бона иностранная Гана ;  ;  ;  ;  ; 5 ; Фонарь ; 28 
 5922 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 15 ; Фонарь ; 29 
 5923 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 11 ; Фонарь ; 29 
 5924 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 30 ; alexnn ; 101 
 5925 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; collector64 ; 36 
 5926 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; collector64 ; 36 
 5927 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; Фонарь ; 23 
 5928 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 9 ; collector64 ; 31 
 5929 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 5 ; велес ; 36 
 5930 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 15 ; ВНВ ; 67 
 5931 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 9 ; ВНВ ; 67 
 5932 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 11 ; ВНВ ; 67 
 5933 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 7 ; ВНВ ; 68 
 5934 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 22 ; sampler22 ; 31 
 5935 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 7 ; CASABLANCA ; 40 
 5936 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 6 ; Фонарь ; 21 
 5937 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 3 ; Фонарь ; 12 
 5938 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 5 ; aleksander2015 ; 36 
 5939 ; Бона иностранная Перу ;  ;  ;  ;  ; 3 ; CASABLANCA ; 36 
 5940 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; Фонарь ; 18 
 5941 ; Бона иностранная Перу ;  ;  ;  ;  ; 5 ; derk02 ; 36 
 5942 ; Бона иностранная Перу ;  ;  ;  ;  ; 7 ; derk02 ; 36 
 5943 ; Бона 10 франков. Франция ; 1976 ;  ;  ;  ; 23 ; aleksander2015 ; 147 
 5944 ; Бона 10 франков. Франция ; 1977 ;  ;  ;  ; 15 ; collector64 ; 114 
 5945 ; Бона 50 франков. Франция ; 1991 ;  ;  ;  ; 15 ; antongor ; 104 
 5946 ; Бона 50 франков. Франция ; 1997 ;  ;  ;  ; 9 ; стадник ; 181 
 5947 ; Бона 100 франков. Франция ; 1949 ;  ;  ;  ; 34 ; елец ; 281 
 5948 ; Лот бон иностранных 55 шт. ;  ;  ;  ;  ; 35 ; mart_si ; 374 
 5859 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; k212 ; 227 
 5860 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 16 ; елец ; 373 
 5861 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 26 ; sos1 ; 442 
 5862 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 22 ; Bespan ; 261 
 5863 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 17 ; Bespan ; 214 
 5864 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 31 ; flutter ; 420 
 5865 ; Лот бон 6 шт. Германия ;  ;  ;  ;  ; 35 ; flutter ; 457 
 5866 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; electra ; 213 
 5867 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; TiBuL ; 100 
 5868 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; attila375 ; 153 
