 5958 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 7 ; psion22 ; 77 
 5959 ; Бона иностранная Колумбия 1 песо ;  ;  ;  ; AU ; 18 ; bagsy ; 95 
 5960 ; Бона иностранная Венгрия 100 Пенго ;  ;  ;  ;  ; 8 ; diskus72 ; 36 
 5961 ; Бона иностранная Венгрия 10000 Пенго ;  ;  ;  ;  ; 32 ; Александр974 ; 81 
 5962 ; Бона иностранная Аргентина 500 песо ;  ;  ;  ; AU ; 25 ; bagsy ; 53 
 5963 ; Бона иностранная Аргентина 1000 песо ;  ;  ;  ; AU ; 49 ; Александр974 ; 74 
 5964 ; Бона иностранная Бразилия 1000 крузейро ;  ;  ;  ; AU ; 9 ; bagsy ; 37 
 5965 ; Бона иностранная Бразилия 5000 крузейро ;  ;  ;  ; AU ; 13 ; bagsy ; 79 
 5966 ; Бона иностранная Никарагуа 50 кордоб ;  ;  ;  ; AU ; 7 ; bagsy ; 46 
 5967 ; Бона иностранная Бирма 1 кьят ;  ;  ;  ; AU ; 8 ; bagsy ; 46 
 5968 ; Бона иностранная Харватия 5 динар ;  ;  ;  ; AU ; 10 ; акто_то ; 36 
 5969 ; Бона иностранная Гана 1 седи ;  ;  ;  ; AU ; 20 ; bagsy ; 67 
 5970 ; Бона иностранная Гаяна 20 долларов ;  ;  ;  ;  ; 16 ; kkond ; 36 
 5971 ; Лот бон иностранных Египет 3 шт. ;  ;  ;  ;  ; 54 ; kkond ; 77 
 5972 ; Лот бон иностранных Кувейт 2 шт. ;  ;  ;  ;  ; 4 ; canario ; 51 
 5973 ; Лот бон иностранных Перу 5 шт. ;  ;  ;  ;  ; 12 ; canario ; 77 
 5974 ; Лот бон иностранных Аргентина 2 шт. ;  ;  ;  ;  ; 16 ; bagsy ; 78 
 5975 ; Лот бон иностранных Бразилия 6 шт. ;  ;  ;  ;  ; 14 ; bagsy ; 135 
 5976 ; Лот бон иностранных Ямайка 3 шт. ;  ;  ;  ;  ; 10 ; kkond ; 78 
 5977 ; Лот бон иностранных Иран 4 шт. ;  ;  ;  ;  ; 5 ; 2128508 ; 125 
 5978 ; Лот бон иностранных Колумбия 2 шт. ;  ;  ;  ;  ; 11 ; kkond ; 61 
 5908 ; Лотнотгельдов Германия 10 шт ;  ;  ;  ;  ; 45 ; alapabula ; 714 
 5909 ; Лот нотгельдов Германия 11 шт ;  ;  ;  ;  ; 23 ; alapabula ; 567 
 5910 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 25 ; alapabula ; 431 
 5911 ; Лот нотгельдов Германия 20 шт ;  ;  ;  ;  ; 33 ; alapabula ; 879 
 5912 ; Бона иностранная Эстония ;  ;  ;  ; AU ; 12 ; ilmar ; 57 
 5913 ; Лот бон 2 шт. Латвия ;  ;  ;  ; AU ; 15 ; трутень ; 77 
 5914 ; Бона иностранная Нагорный Карабах ;  ;  ;  ; AU ; 23 ; bagsy ; 79 
 5915 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 35 ; karal ; 357 
 5916 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 15 ; sos1 ; 227 
 5917 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 27 ; sos1 ; 141 
 5918 ; Бона иностранная Лаос ;  ;  ;  ;  ; 22 ; sos1 ; 308 
 5919 ; Бона иностранная Лаос ;  ;  ;  ;  ; 53 ; .gk ; 122 
 5920 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 20 ; СТРЕКОЗА ; 261 
 5921 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 17 ; sos1 ; 227 
 5922 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 31 ; karal ; 251 
 5923 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 9 ; sos1 ; 91 
 5924 ; Бона иностранная Уганда ;  ;  ;  ;  ; 11 ; 2128508 ; 104 
 5925 ; Бона иностранная Уганда ;  ;  ;  ;  ; 13 ; derk02 ; 147 
 5926 ; Бона иностранная Уганда ;  ;  ;  ;  ; 16 ; karal ; 148 
 5927 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 7 ; Wasabi ; 227 
 5928 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 13 ; derk02 ; 184 
 5929 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 7 ; 14587 ; 80 
 5930 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 5 ; 14587 ; 77 
 5931 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 13 ; alesjane ; 81 
 5932 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 11 ; 2128508 ; 111 
 5933 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 22 ; kkond ; 57 
 5934 ; Бона иностранная Уганда ;  ;  ;  ; AU ; 9 ; 2128508 ; 102 
 5935 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 25 ; Grizli69 ; 71 
 5936 ; Лот из 2-х банкнот Грузии: 250 купонов ;  ;  ;  ;  ; 35 ; Скрудж ; 86 
 5937 ; Бона иностранная Болгария ;  ;  ;  ;  ; 15 ; SS2008 ; 163 
 5938 ; Бона иностранная Люксенбург ;  ;  ;  ;  ; 13 ; 2128508 ; 175 
 5939 ; Бона иностранная Исландия ;  ;  ;  ;  ; 37 ; murew ; 308 
 5940 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 10 ; ilmar ; 306 
 5941 ; Бона иностранная Куба ;  ;  ;  ;  ; 16 ; Ssid ; 101 
 5942 ; Бона иностранная Канада ;  ;  ;  ;  ; 15 ; karal ; 168 
 5943 ; Бона иностраннаят Сингапур ;  ;  ;  ;  ; 7 ; 14587 ; 107 
 5944 ; Бона иностранная Тунис ;  ;  ;  ;  ; 13 ; Моряк-собиратель ; 306 
 5945 ; Бона иностранная ;  ;  ;  ;  ; 17 ; karal ; 113 
 5946 ; Бона иностранная ;  ;  ;  ;  ; 11 ; SS2008 ; 279 
 5947 ; Лот бон 50 злотых Польша, 100 штук в банковской упаковке ;  ;  ;  ; AU ; 31 ; bagsy ; 1108 
 5948 ; Бона иностранная Куба ;  ;  ;  ;  ; 11 ; 14587 ; 114 
 5949 ; Лот бон 5 шт ;  ;  ;  ;  ; 23 ; Scorpionchic-sun ; 153 
 5950 ; Лот бон 3 шт ;  ;  ;  ;  ; 11 ; Скрудж ; 153 
 5951 ; Лот бон 5 шт ;  ;  ;  ;  ; 17 ; canario ; 153 
 5952 ; Лот бон 6 шт ;  ;  ;  ;  ; 16 ; bagsy ; 148 
 5953 ; Лот бон 3 шт ;  ;  ;  ;  ; 19 ; 2128508 ; 340 
 5954 ; Лот бон 3 шт ;  ;  ;  ;  ; 9 ; spikerson ; 350 
 5955 ; Бона иностранная ;  ;  ;  ;  ; 41 ; kkond ; 74 
 5956 ; Лот нотгельдов 7 шт ;  ;  ;  ;  ; 28 ; smel ; 408 
 5957 ; Бона иностранная Болгария 200 лева ;  ;  ;  ; AU ; 7 ; Grizli69 ; 113 
 5858 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; kop ; 102 
 5859 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; electra ; 160 
 5860 ; Бона иностранная Германия ;  ;  ;  ;  ; 54 ; kop ; 189 
 5861 ; Бона иностранная Германия ;  ;  ;  ;  ; 51 ; electra ; 146 
 5862 ; Бона иностранная Германия ;  ;  ;  ;  ; 71 ; kont ; 453 
 5863 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; smel ; 217 
 5864 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; electra ; 169 
 5865 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; electra ; 102 
 5866 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; electra ; 102 
 5867 ; Бона иностранная Германия ;  ;  ;  ;  ; 33 ; smel ; 255 
 5868 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; smel ; 195 
 5869 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; smel ; 161 
 5870 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; smel ; 230 
 5871 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 42 ; наташа2712 ; 386 
 5872 ; Бона иностранная Германия ; 1908 ;  ;  ; AU ; 23 ; diskus72 ; 153 
 5873 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 25 ; alesjane ; 102 
 5874 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 6 ; igorkadan ; 153 
 5875 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; Монетный ; 51 
 5876 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 19 ; alapabula ; 153 
 5877 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 21 ; alapabula ; 204 
 5878 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 18 ; igorkadan ; 389 
 5879 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 22 ; kop ; 567 
 5880 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 18 ; Тормоз ; 214 
 5881 ; Лот бон 2 шт. Германия ;  ;  ;  ;  ; 57 ; alapabula ; 714 
 5882 ; Бона иностранная Германия ; 1949 ;  ;  ;  ; 9 ; archy ; 510 
 5883 ; Бона иностранная Италия ;  ;  ;  ;  ; 5 ; .gk ; 44 
 5884 ; Лот бон Италия 15 шт ;  ;  ;  ;  ; 9 ; М5 ; 106 
 5885 ; Лот бон Италия 10 шт ;  ;  ;  ;  ; 13 ; pref ; 77 
 5886 ; Бона иностранная Франция ;  ;  ;  ;  ; 15 ; Жигурда ; 237 
 5887 ; Бона иностранная Франция ;  ;  ;  ;  ; 21 ; трутень ; 153 
 5888 ; Бона иностранная Франция ;  ;  ;  ;  ; 37 ; трутень ; 153 
