 5903 ; 50000 злотых Польша ; 1989 ;  ;  ; AU ; 25 ; Deathbrain ; 906 
 5904 ; 20000 злотых Польша ; 1989 ;  ;  ; AU ; 10 ; Deathbrain ; 1022 
 5905 ; 10 злотых Польша ; 1982 ;  ;  ; AU ; 23 ; Deathbrain ; 617 
 5906 ; 500 марок ГДР ; 1985 ;  ;  ; AU ; 46 ; Deathbrain ; 3999 
 5907 ; Бона иностранная ГДР ;  ;  ;  ;  ; 24 ; Elephant ; 306 
 5908 ; Бона иностранная ГДР ;  ;  ;  ;  ; 32 ; 230269 ; 301 
 5909 ; Бона иностранная Болгария ;  ;  ;  ;  ; 6 ; diskus72 ; 308 
 5910 ; Бона иностранная Эстония ;  ;  ;  ;  ; 66 ; кент ; 618 
 5911 ; Бона иностранная Украина ;  ;  ;  ;  ; 27 ; архыз ; 377 
 5912 ; Бона иностранная Франция ;  ;  ;  ;  ; 22 ; nero ; 459 
 5913 ; Бона иностранная Франция ;  ;  ;  ;  ; 34 ; alesjane ; 692 
 5914 ; Бона иностранная Израиль ;  ;  ;  ;  ; 42 ; nero ; 929 
 5915 ; Бона иностранная Маврикий ;  ;  ;  ;  ; 40 ; alex1974 ; 991 
 5916 ; Бона иностранная Мексика ;  ;  ;  ;  ; 48 ; max2008 ; 898 
 5917 ; Бона иностранная Куба ;  ;  ;  ;  ; 24 ; MG ; 1122 
 5918 ; Бона иностранная США ;  ;  ;  ;  ; 17 ; yuvg ; 714 
 5919 ; 2 латвийских рубля. Латвия ; 1992 ;  ;  ;  ; 8 ; orlov2015 ; 41 
 5920 ; 5 латвийских рублей. Латвия ; 1992 ;  ;  ;  ; 11 ; yuvg ; 153 
 5921 ; 1000 донг. Вьетнам ; 1988 ;  ;  ;  ; 14 ; Deathbrain ; 32 
 5922 ; 1000 пенго. Венгрия ; 1945 ;  ;  ;  ; 63 ; Whosaid ; 184 
 5923 ; Бона иностранная японская оккупация ;  ;  ;  ; AU ; 27 ; архыз ; 225 
 5924 ; Бона иностранная 2 доллара ;  ;  ;  ;  ; 28 ; -1- ; 284 
 5925 ; Бона иностранная. Латвия ;  ;  ;  ; AU ; 49 ; avilych ; 765 
 5926 ; Бона иностранная. Германия ;  ;  ;  ; AU ; 34 ; FoxSF ; 306 
 5927 ; Бона иностранная Либерия ;  ;  ;  ; AU ; 30 ; yuvg ; 300 
 5928 ; Бона иностранная Германия ;  ;  ;  ; AU ; 16 ; 462 ; 200 
 5929 ; Бона иностранная Германия ;  ;  ;  ; AU ; 31 ; alapabula ; 250 
 5930 ; Бона иностранная Германия ;  ;  ;  ; AU ; 42 ; alapabula ; 260 
 5931 ; Бона иностранная. Колумбия ; 1978 ;  ;  ; AU ; 40 ; Papanator62 ; 99 
 5932 ; Бона иностранная. Боливия ; 1945 ;  ;  ; AU ; 24 ; 462 ; 204 
 5933 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 31 ; Deathbrain ; 250 
 5934 ; Бона иностранная. Латвия ; 1992 ;  ;  ; AU ; 25 ; Deathbrain ; 250 
 5935 ; 5 марок Фнляндия ; 1963 ;  ;  ; AU ; 28 ; AndrCh58 ; 200 
 5936 ; 1000 лир Италия ; 1982 ;  ;  ; AU ; 13 ; Deathbrain ; 250 
 5937 ; 10 крон Швеция ; 1958 ;  ;  ; AU ; 68 ; alesjane ; 206 
 5938 ; Бона иностранная Египет ;  ;  ;  ; AU ; 21 ; 462 ; 89 
 5939 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 30 ; kuder ; 102 
 5940 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 18 ; Grizli69 ; 61 
 5941 ; Лот бон иностранных Болгария 3 шт. ;  ;  ;  ; AU ; 38 ; USS ; 211 
 5942 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 23 ; alesjane ; 71 
 5943 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 18 ; 462 ; 102 
 5944 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 23 ; Rusik ; 102 
 5945 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 41 ; Deathbrain ; 306 
 5946 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 11 ; Arlekino82 ; 100 
 5947 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 8 ; kuder ; 61 
 5948 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 24 ; дилитант ; 114 
 5949 ; Бона иностранная Перу ;  ;  ;  ; AU ; 20 ; СТРЕКОЗА ; 134 
 5950 ; Бона иностранная Китай ;  ;  ;  ; AU ; 21 ; komod ; 58 
 5951 ; Бона иностранная Китай ;  ;  ;  ;  ; 42 ; 462 ; 460 
 5952 ; Бона иностранная Китай ;  ;  ;  ; AU ; 22 ; Grizli69 ; 65 
 5853 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 33 ; SANGOLD1 ; 408 
 5854 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 22 ; avilych ; 507 
 5855 ; Бона иностранная Литва ;  ;  ;  ; AU ; 34 ; Deathbrain ; 499 
 5856 ; Бона иностранная Литва ;  ;  ;  ; AU ; 33 ; alapabula ; 602 
 5857 ; Бона иностранная Литва ;  ;  ;  ; AU ; 15 ; Deathbrain ; 500 
 5858 ; Бона иностранная Дания ;  ;  ;  ; AU ; 15 ; Sporti84 ; 265 
 5859 ; Бона иностранная Дания ;  ;  ;  ;  ; 21 ; 230269 ; 261 
 5860 ; Бона иностранная Исландия ;  ;  ;  ;  ; 21 ; orlov2015 ; 126 
 5861 ; Бона иностранная Испания ;  ;  ;  ; AU ; 56 ; zhora ; 160 
 5862 ; Бона иностранная Сан-Томе и Принсипи ;  ;  ;  ; AU ; 21 ; alesjane ; 341 
 5863 ; Бона иностранная Сан-Томе и Принсипи ;  ;  ;  ; AU ; 15 ; Hamlet ; 187 
 5864 ; Бона иностранная Сан-Томе и Принсипи ;  ;  ;  ; AU ; 15 ; СЁМА ; 204 
 5865 ; Бона иностранная Йемен ;  ;  ;  ;  ; 16 ; orlov2015 ; 57 
 5866 ; Бона иностранная Йемен ;  ;  ;  ;  ; 13 ; 2128508 ; 104 
 5867 ; Бона иностранная Йемен ;  ;  ;  ;  ; 18 ; orlov2015 ; 57 
 5868 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 24 ; orlov2015 ; 71 
 5869 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 19 ; avilych ; 61 
 5870 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 22 ; Papanator62 ; 61 
 5871 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 9 ; Бейн99999 ; 34 
 5872 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 25 ; alex1974 ; 1020 
 5873 ; Бона иностранная Мексика ;  ;  ;  ;  ; 34 ; orlov2015 ; 102 
 5874 ; Лот бон 2 штуки Катар ;  ;  ;  ;  ; 14 ; Maks87 ; 150 
 5875 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 49 ; AndrCh58 ; 318 
 5876 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 10 ; bliznetz ; 144 
 5877 ; Бона иностранная Швеция ;  ;  ;  ;  ; 25 ; tss ; 138 
 5878 ; Бона иностранная Швеция ;  ;  ;  ;  ; 9 ; tss ; 204 
 5879 ; Бона иностранная Швеция ;  ;  ;  ;  ; 24 ; 230269 ; 184 
 5880 ; Бона иностранная Германия ;  ;  ;  ; AU ; 20 ; Hikon ; 479 
 5881 ; Бона иностранная Польша ;  ;  ;  ;  ; 21 ; nero ; 510 
 5882 ; Бона иностранная Польша ;  ;  ;  ;  ; 23 ; nero ; 698 
 5883 ; Бона иностранная Польша ;  ;  ;  ;  ; 24 ; архыз ; 400 
 5884 ; Бона иностранная Польша ;  ;  ;  ;  ; 25 ; архыз ; 337 
 5885 ; Бона иностранная Польша ;  ;  ;  ;  ; 13 ; doc2 ; 408 
 5886 ; Бона иностранная Польша ;  ;  ;  ;  ; 23 ; doc2 ; 500 
 5887 ; Бона иностранная Польша ;  ;  ;  ;  ; 25 ; Бармалей ; 414 
