 5988 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; USS ; 41 
 5989 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 15 ; USS ; 34 
 5990 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 3 ; zamectitel ; 90 
 5991 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 17 ; diskus72 ; 61 
 5992 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 7 ; zamectitel ; 136 
 5993 ; Бона иностранная Гондурас ;  ;  ;  ; AU ; 16 ; русь ; 59 
 5994 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; USS ; 55 
 5995 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; USS ; 50 
 5996 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; USS ; 53 
 5997 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 8 ; дилитант ; 59 
 5998 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 15 ; dima85 ; 108 
 5999 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 3 ; zamectitel ; 68 
 6000 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 12 ; bliznetz ; 257 
 6001 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 3 ; zamectitel ; 68 
 6002 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 25 ; USS ; 49 
 5938 ; 1000000 марок Ахен ; 1923 ;  ;  ;  ; 12 ; Mike! ; 164 
 5939 ; 100000 марок Ахен ; 1923 ;  ;  ;  ; 10 ; Mike! ; 164 
 5940 ; 1000000000 марок Элберфельд ; 1923 ;  ;  ; AU ; 19 ; kn157736 ; 283 
 5941 ; 50000000 марок Штольберг ; 1923 ;  ;  ;  ; 14 ; smel ; 206 
 5942 ; 1000000 марок Кёльн ; 1923 ;  ;  ; AU ; 17 ; Mike! ; 210 
 5943 ; 50000 марок Кёльн ; 1923 ;  ;  ;  ; 12 ; Mike! ; 164 
 5944 ; 5000 марок Кёльн ; 1923 ;  ;  ;  ; 20 ; smel ; 204 
 5945 ; 20000000 марок Кёльн ; 1923 ;  ;  ;  ; 21 ; vladmarkin ; 185 
 5946 ; 100000000 марок Кёльн ; 1923 ;  ;  ;  ; 14 ; smel ; 230 
 5947 ; 200000000 марок Кёльн ; 1923 ;  ;  ;  ; 10 ; smel ; 210 
 5948 ; 500 марок М.Глалбах ; 1922 ;  ;  ;  ; 8 ; Mike! ; 164 
 5949 ; 100000000 марок М.Глалбах ; 1923 ;  ;  ;  ; 10 ; smel ; 210 
 5950 ; 500 марок Моерс ; 1922 ;  ;  ;  ; 13 ; Mike! ; 210 
 5951 ; 20000000 марок Моерс ; 1923 ;  ;  ;  ; 14 ; Mike! ; 206 
 5952 ; 5000000 марок Моерс ; 1923 ;  ;  ;  ; 6 ; alapabula ; 114 
 5953 ; 100000 марок Эссен ; 1923 ;  ;  ;  ; 6 ; alapabula ; 102 
 5954 ; 500000 марок  Моерс ; 1923 ;  ;  ;  ; 8 ; Mike! ; 164 
 5955 ; 2000000 марок Ройс ; 1923 ;  ;  ;  ; 12 ; Mike! ; 189 
 5956 ; 200000 марок Обербрух ; 1923 ;  ;  ;  ; 20 ; наташа2712 ; 211 
 5957 ; 500000000 марок Опладен ; 1923 ;  ;  ;  ; 12 ; Mike! ; 210 
 5958 ; 10000000 марок Кеппельн ; 1923 ;  ;  ;  ; 12 ; smel ; 210 
 5959 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 32 ; 000SABik ; 438 
 5960 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 5 ; 230269 ; 104 
 5961 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 13 ; Hellsten ; 132 
 5962 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 13 ; Hellsten ; 48 
 5963 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 13 ; orlov2015 ; 71 
 5964 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 8 ; orlov2015 ; 285 
 5965 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 17 ; 2128508 ; 202 
 5966 ; Бона иностранная Канада ;  ;  ;  ;  ; 17 ; bliznetz ; 201 
 5967 ; Бона иностранная США ;  ;  ;  ;  ; 51 ; ВНВ ; 291 
 5968 ; Бона иностранная США ;  ;  ;  ;  ; 51 ; oleghh7 ; 408 
 5969 ; Бона иностранная Эфиопия ; 2006 ;  ;  ;  ; 23 ; smel ; 239 
 5970 ; Бона иностранная ;  ;  ;  ;  ; 7 ; maximilian2204 ; 276 
 5971 ; 100000000000000 долларов Зимбабве ;  ;  ;  ; AU ; 34 ; bagsy ; 1020 
 5972 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 36 ; fuzzyfly ; 257 
 5973 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 33 ; smel ; 210 
 5974 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 26 ; sveta6369 ; 159 
 5975 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 5 ; zamectitel ; 101 
 5976 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 20 ; sveta6369 ; 171 
 5977 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 8 ; sveta6369 ; 104 
 5978 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 9 ; sveta6369 ; 63 
 5979 ; Бона иностранная Перу ;  ;  ;  ; AU ; 32 ; Waldemar ; 171 
