 5839 ; Бона иностранная Сомали ;  ;  ;  ; AU ; 12 ; gdrg2 ; 58 
 5840 ; Бона иностранная Тунис ;  ;  ;  ; AU ; 35 ; не отдам ; 513 
 5841 ; Бона иностранная Конго ;  ;  ;  ; AU ; 14 ; sveta6369 ; 153 
 5842 ; Бона иностранная Марокко ;  ;  ;  ; AU ; 48 ; u10257 ; 515 
 5843 ; Бона иностранная Сан-Томе и Принсипи ;  ;  ;  ; AU ; 60 ; Panther ; 203 
 5844 ; Бона иностранная Сан-Томе и Принсипи ;  ;  ;  ;  ; 29 ; mmmm ; 149 
 5845 ; Бона иностранная Уганда ;  ;  ;  ;  ; 9 ; 2128508 ; 76 
 5846 ; Бона иностранная Эритрия ;  ;  ;  ;  ; 28 ; maner73 ; 403 
 5847 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 10 ; Panther ; 94 
 5848 ; Бона иностранная Молдавия ; 1992 ;  ;  ; AU ; 27 ; vladzory ; 1750 
 5849 ; Бона иностранная Молдавия ; 1992 ;  ;  ; AU ; 21 ; vladzory ; 730 
 5850 ; Бона иностранная Молдавия ; 1993 ;  ;  ; AU ; 32 ; vladzory ; 444 
 5851 ; Бона иностранная Молдавия ; 1993 ;  ;  ; AU ; 29 ; vladzory ; 1750 
 5852 ; Бона иностранная Молдавия ; 1992 ;  ;  ; AU ; 27 ; bagsy ; 322 
 5853 ; Бона иностранная Молдавия ; 1992 ;  ;  ; AU ; 57 ; bva150979 ; 340 
 5854 ; Бона иностранная Молдавия ; 1992 ;  ;  ; AU ; 55 ; bva150979 ; 434 
 5855 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; smel ; 150 
 5856 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; lsp25 ; 86 
 5857 ; Бона иностранная Германия ;  ;  ;  ;  ; 56 ; alapabula ; 140 
 5858 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; vladmarkin ; 114 
 5859 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; smel ; 161 
 5860 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; 330 каждому ; 81 
 5861 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; vladmarkin ; 123 
 5862 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; lsp25 ; 85 
