 5975 ; Лот бон иностранных 3 шт. Вьетнам ;  ;  ;  ; AU ; 17 ; USS ; 93 
 5976 ; Лот бон иностранных 3 шт. Вьетнам ;  ;  ;  ; AU ; 16 ; USS ; 69 
 5977 ; Лот бон 3 шт. Испания ;  ;  ;  ;  ; 24 ; yuvg ; 459 
 5978 ; Лот бон 5 шт. КНДР ;  ;  ;  ;  ; 17 ; lsp25 ; 226 
 5979 ; Лот бон 2 шт. Украина ;  ;  ;  ;  ; 55 ; tanmar86 ; 206 
 5980 ; Лот бон 5 шт ;  ;  ;  ;  ; 19 ; Rusik ; 206 
 5981 ; Лот бон 6 шт ;  ;  ;  ;  ; 8 ; Александр 81 ; 104 
 5982 ; Лот бон 4 шт ;  ;  ;  ;  ; 17 ; alex241 ; 567 
 5983 ; Лот нотгельдов 6 шт ;  ;  ;  ;  ; 9 ; alapabula ; 235 
 5984 ; Бона иностранная Чили ;  ;  ;  ; AU ; 59 ; папашаГарпагон ; 413 
 5985 ; Бона иностранная Сингапур ;  ;  ;  ; AU ; 41 ; avilych ; 179 
 5986 ; Бона иностранная Индия ;  ;  ;  ; AU ; 19 ; Drunja33 ; 68 
 5987 ; Лот бон иностранных 15 шт ;  ;  ;  ;  ; 33 ; orlov2015 ; 426 
 5988 ; Бона иностранная Египет ;  ;  ;  ;  ; 64 ; sifirot ; 228 
 5989 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 50 ; orlov2015 ; 372 
 5990 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 22 ; denis347410 ; 300 
 5991 ; 1 марка. Финляндия ;  ;  ;  ;  ; 15 ; alex09-63 ; 63 
 5992 ; Бона иностранная Ирландия ;  ;  ;  ;  ; 38 ; demodex ; 1020 
 5993 ; Бона иностранная Бруней ;  ;  ;  ;  ; 16 ; mart_si ; 174 
 5925 ; Бона иностранная Японская оккупация ;  ;  ;  ; AU ; 34 ; flutter ; 364 
 5926 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 25 ; flutter ; 364 
 5927 ; Бона иностранная Японская оккупация ;  ;  ;  ; AU ; 31 ; каРаЧун ; 332 
 5928 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 12 ; flutter ; 364 
 5929 ; Бона иностранная ГДР ;  ;  ;  ;  ; 70 ; tanmar86 ; 819 
 5930 ; Бона иностранная Эстония ; 1929 ;  ;  ;  ; 35 ; Mike! ; 2607 
 5931 ; Бона иностранная Эстония ; 1935 ;  ;  ;  ; 25 ; Mike! ; 3175 
 5932 ; Бона иностранная Латвия ;  ;  ;  ;  ; 21 ; tss ; 453 
 5933 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 35 ; alex1974 ; 2123 
