 5644 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; sifirot ; 35 
 5645 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 22 ; vitab ; 352 
 5646 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 21 ; vitab ; 355 
 5647 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 32 ; vitab ; 355 
 5648 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 32 ; vitab ; 355 
 5649 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 20 ; алим ; 357 
 5650 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 22 ; vitab ; 355 
 5651 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 30 ; vitab ; 355 
 5652 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 17 ; vitab ; 352 
 5653 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 20 ; vitab ; 355 
 5654 ; Лот Нотгельдов (8 шт) ;  ;  ;  ;  ; 14 ; vitab ; 356 
 5655 ; Бона иностранная. Египет ;  ;  ;  ;  ; 22 ; u10257 ; 100 
 5656 ; Бона иностранная. Египет ;  ;  ;  ;  ; 21 ; veselkov ; 30 
 5657 ; Бона иностранная.  Ливия ;  ;  ;  ;  ; 15 ; Dirt ; 51 
 5658 ; Бона иностранная.  Ливия ;  ;  ;  ;  ; 7 ; mart_si ; 59 
 5659 ; Бона иностранная.  Ливия ;  ;  ;  ;  ; 13 ; hobot ; 77 
 5660 ; Бона иностранная. Иран ;  ;  ;  ;  ; 16 ; Sterh ; 61 
 5661 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 16 ; Dirt ; 42 
 5662 ; Лот иностранных бон 3 шт ;  ;  ;  ;  ; 22 ; mart_si ; 204 
 5663 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 14 ; veselkov ; 167 
 5664 ; Лот бон 5 шт ;  ;  ;  ;  ; 12 ; Rusik ; 136 
 5665 ; Бона иностранная Турция ;  ;  ;  ;  ; 27 ; Dirt ; 102 
 5666 ; Бона иностранная Турция ;  ;  ;  ;  ; 8 ; yuvg ; 79 
 5667 ; Бона иностранная Турция ;  ;  ;  ;  ; 36 ; Dirt ; 104 
 5668 ; Бумага ценная Нидерланды ; 1957 ;  ;  ;  ; 40 ; K.V.N. ; 894 
 5669 ; Бона иностранная.Гонг-Конг ;  ;  ;  ;  ; 16 ; авс19 ; 38 
 5594 ; Бона иностранная Чили ; 1946 ;  ;  ;  ; 19 ; stabah ; 245 
 5595 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 27 ; K.V.N. ; 235 
 5596 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 25 ; K.V.N. ; 114 
 5597 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 27 ; yuvg ; 184 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Rusik ; 68 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Rusik ; 102 
 5600 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 21 ; Wulf ; 57 
 5601 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 24 ; Wulf ; 71 
 5602 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 27 ; Hamlet ; 75 
 5603 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 12 ; Drunja33 ; 104 
 5604 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 31 ; Wulf ; 65 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Rusik ; 68 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Rusik ; 51 
 5607 ; Бона иностранная. Германия ;  ;  ;  ;  ; 23 ; doc2 ; 62 
 5608 ; Бона иностранная. Германия ;  ;  ;  ;  ; 25 ; doc2 ; 105 
 5609 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; алим ; 48 
 5610 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 101 
 5611 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; valerdon ; 48 
 5612 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; Mike! ; 199 
 5613 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; smel ; 236 
 5614 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; Mike! ; 255 
 5615 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 11 ; vfuflfy49 ; 49 
 5616 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 45 
 5617 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 45 
 5618 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 45 
 5619 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 3 ; lsamurai ; 40 
 5620 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 45 
 5621 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 45 
 5622 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; гус4 ; 49 
 5623 ; Бона иностранная. Германия ;  ;  ;  ;  ; 30 ; Lex2000 ; 152 
 5624 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; гш888 ; 47 
 5625 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; гус4 ; 79 
 5626 ; Бона иностранная. Германия ;  ;  ;  ;  ; 3 ; vladmarkin ; 101 
 5627 ; Бона иностранная. Германия ;  ;  ;  ;  ; 3 ; vladmarkin ; 101 
 5628 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; гус4 ; 22 
 5629 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; vladmarkin ; 101 
 5630 ; Лот нотгельдов 6 штук Германия ;  ;  ;  ;  ; 36 ; vlkorchev ; 365 
 5631 ; Бона иностранная Молдова ;  ;  ;  ; AU ; 53 ; K.V.N. ; 453 
 5632 ; Бона иностранная Куба ;  ;  ;  ;  ; 39 ; Lex2000 ; 153 
 5633 ; Лот бон Украина 2 шт ;  ;  ;  ; AU ; 94 ; K.V.N. ; 493 
 5634 ; Лот бон Сербия 3 шт ;  ;  ;  ; AU ; 40 ; K.V.N. ; 250 
 5635 ; Лот бон Корея 5 шт ;  ;  ;  ; AU ; 23 ; Dirt ; 327 
 5636 ; Лот бон Монголия 5 шт ;  ;  ;  ; AU ; 28 ; persianfarsi ; 176 
 5637 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 12 ; [Nik] ; 90 
 5638 ; Лот бон Испании 2 шт ;  ;  ;  ;  ; 38 ; архыз ; 470 
 5639 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 9 ; vladmarkin ; 32 
