 5643 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 27 ; Rotas ; 1275 
 5644 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 33 ; Rotas ; 1668 
 5645 ; Лот бон Камбоджа, 100 шт ;  ;  ;  ; AU ; 20 ; Коллекционеръ. ; 408 
 5646 ; Лот бон Камбоджа, 100 шт ;  ;  ;  ; AU ; 43 ; Sky2 ; 906 
 5647 ; Лот бон Мианмар, 100 шт ;  ;  ;  ; AU ; 45 ; Коллекционеръ. ; 339 
 5648 ; Лот бон Мианмар, 100 шт ;  ;  ;  ; AU ; 42 ; Коллекционеръ. ; 726 
 5649 ; Лот бон Корея, 100 шт ;  ;  ;  ; AU ; 37 ; Paul76 ; 872 
 5593 ; Лот бон 5 шт. СФРЮ ;  ;  ;  ;  ; 20 ; Korsar59 ; 46 
 5594 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 10 ; dis ; 72 
 5595 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 20 ; Korsar59 ; 53 
 5596 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 14 ; Korsar59 ; 42 
 5597 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 15 ; lsamurai ; 91 
 5598 ; Бона иностранная Австрия ;  ;  ;  ;  ; 19 ; Korsar59 ; 46 
 5599 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 28 ; alesjane ; 305 
 5600 ; Лот бон иностранных 4 шт. ;  ;  ;  ;  ; 54 ; ZIMOGOR ; 301 
 5601 ; Лот бон 3 шт. Танзания ;  ;  ;  ;  ; 12 ; alesjane ; 126 
 5602 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 11 ; orlov2015 ; 89 
 5603 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 12 ; ufa ; 98 
 5604 ; Лот бон 2 шт. Мозамбик ;  ;  ;  ;  ; 17 ; Brat123456 ; 95 
 5605 ; Бона иностранная Коста Рика ;  ;  ;  ; AU ; 61 ; СТРЕКОЗА ; 1810 
 5606 ; Бона иностранная Чили ;  ;  ;  ; AU ; 25 ; mart_si ; 144 
 5607 ; Бона иностранная Гаити ;  ;  ;  ; AU ; 18 ; СТРЕКОЗА ; 77 
 5608 ; Бона иностранная КНДР ;  ;  ;  ; AU ; 20 ; SS007 ; 159 
 5609 ; Бона иностранная. Корея ;  ;  ;  ;  ; 26 ; doc2 ; 765 
 5610 ; Бона иностранная. Судан ;  ;  ;  ;  ; 7 ; attila375 ; 101 
 5611 ; Лот бон иностранных КНДР, 8 шт ;  ;  ;  ; AU ; 27 ; SS007 ; 490 
 5612 ; Лот бон Маянма, 4 шт ;  ;  ;  ; AU ; 13 ; радон ; 72 
 5613 ; Лот бон Эфиопия, 3 шт ;  ;  ;  ; AU ; 26 ; gladkochub ; 183 
 5614 ; Лот бон Монголия, 8 шт ;  ;  ;  ; AU ; 40 ; ZIMOGOR ; 378 
 5615 ; Бумага ценная Мексика ; 1910 ;  ;  ;  ; 36 ; Wally ; 340 
 5616 ; Бумага ценная Мексика ; 1906 ;  ;  ;  ; 22 ; divergent ; 206 
 5617 ; Бумага ценная Мексика ; 1906 ;  ;  ;  ; 17 ; 2128508 ; 304 
 5618 ; Бумага ценная Греция ; 1923 ;  ;  ;  ; 20 ; divergent ; 206 
 5619 ; Бумага ценная Германия ;  ;  ;  ;  ; 13 ; divergent ; 126 
 5620 ; Бумага ценная Германия ;  ;  ;  ;  ; 19 ; агрессор ; 155 
 5621 ; Бумага ценная Германия ;  ;  ;  ;  ; 19 ; агрессор ; 170 
 5622 ; Бумага ценная Германия ;  ;  ;  ;  ; 20 ; агрессор ; 170 
 5623 ; Бумага ценная Германия ;  ;  ;  ;  ; 25 ; агрессор ; 192 
 5624 ; Лот ценных бумаг 5 шт ;  ;  ;  ;  ; 17 ; divergent ; 57 
 5625 ; Бумага ценная Финляндия ;  ;  ;  ;  ; 24 ; Sky2 ; 153 
 5626 ; Лот ценных бумаг 6 шт. США ;  ;  ;  ;  ; 40 ; Тормоз ; 523 
 5627 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; Korsar59 ; 42 
 5628 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; Korsar59 ; 43 
 5629 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; Korsar59 ; 42 
 5630 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; Korsar59 ; 42 
 5631 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 14 ; lsamurai ; 48 
 5632 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; Korsar59 ; 42 
 5633 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; Korsar59 ; 42 
 5634 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; Korsar59 ; 43 
 5635 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 18 ; Ok203 ; 360 
 5636 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 18 ; Ok203 ; 365 
 5637 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 18 ; Ok203 ; 354 
 5638 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 17 ; Ok203 ; 354 
 5639 ; Лот бон (10 шт.) ;  ;  ;  ;  ; 32 ; Korsar59 ; 72 
 5640 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 31 ; Rotas ; 1161 
 5641 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 47 ; Rotas ; 1611 
 5642 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 21 ; Rotas ; 1173 
 5543 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 15 ; Korsar59 ; 36 
 5544 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 21 ; Korsar59 ; 45 
 5545 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 29 ; gladkochub ; 59 
 5546 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 28 ; СТРЕКОЗА ; 50 
 5547 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; UnPreacher ; 34 
 5548 ; Лот бон 3 шт. Аргентина ;  ;  ;  ; AU ; 31 ; DATR ; 118 
 5549 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 13 ; Paul76 ; 54 
 5550 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 13 ; DATR ; 64 
 5551 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 14 ; СТРЕКОЗА ; 54 
