 5605 ; Бумага ценная Германия ; 1939 ;  ;  ;  ; 13 ; electra ; 223 
 5606 ; Акция. США ;  ;  ;  ;  ; 8 ; teremm ; 117 
 5607 ; Акция. США ;  ;  ;  ;  ; 8 ; teremm ; 117 
 5608 ; Акция. США ;  ;  ;  ;  ; 8 ; teremm ; 114 
 5609 ; Акция. США ;  ;  ;  ;  ; 7 ; teremm ; 114 
 5610 ; Акция. США ;  ;  ;  ;  ; 8 ; teremm ; 114 
 5611 ; Акция. США ;  ;  ;  ;  ; 8 ; teremm ; 117 
 5612 ; Акция. Германия ;  ;  ;  ;  ; 33 ; denis.davydov ; 255 
 5613 ; Акция. Германия ;  ;  ;  ;  ; 13 ; electra ; 149 
 5614 ; Акция. Германия ;  ;  ;  ;  ; 7 ; electra ; 149 
 5615 ; Акция. Германия ;  ;  ;  ;  ; 14 ; electra ; 159 
 5616 ; Акция. Германия ;  ;  ;  ;  ; 13 ; electra ; 149 
 5617 ; Акция. Германия ;  ;  ;  ;  ; 13 ; electra ; 149 
 5618 ; Акция. Германия ;  ;  ;  ;  ; 7 ; electra ; 149 
 5619 ; Акция. Германия ;  ;  ;  ;  ; 18 ; electra ; 206 
 5620 ; Акция. Германия ;  ;  ;  ;  ; 20 ; electra ; 206 
 5621 ; Акция. Германия ;  ;  ;  ;  ; 13 ; electra ; 149 
 5622 ; Акция. Германия ;  ;  ;  ;  ; 13 ; electra ; 203 
 5555 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; vlad27 ; 90 
 5556 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 9 ; доллар капут ; 68 
 5557 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 11 ; Ssid ; 126 
 5558 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 5 ; страус ; 30 
 5559 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 9 ; maner73 ; 41 
 5560 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 11 ; aleksander2015 ; 59 
 5561 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 10 ; Scorpionchic-sun ; 30 
 5562 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 11 ; vlad27 ; 90 
 5563 ; Бона иностранная. Заир ;  ;  ;  ;  ; 14 ; доллар капут ; 95 
 5564 ; Бона иностранная. Заир ;  ;  ;  ;  ; 20 ; доллар капут ; 50 
 5565 ; Бона иностранная. Заир ;  ;  ;  ;  ; 9 ; доллар капут ; 38 
 5566 ; Бона иностранная. Заир ;  ;  ;  ;  ; 21 ; доллар капут ; 50 
 5567 ; Бона иностранная. Заир ;  ;  ;  ;  ; 15 ; доллар капут ; 50 
 5568 ; Бона иностранная. Конго ;  ;  ;  ;  ; 12 ; 54заза ; 32 
 5569 ; Бона иностранная. Конго ;  ;  ;  ;  ; 17 ; 54заза ; 29 
 5570 ; Бона иностранная. Конго ;  ;  ;  ;  ; 9 ; доллар капут ; 75 
 5571 ; Бона иностранная. Конго ;  ;  ;  ;  ; 11 ; доллар капут ; 85 
 5572 ; Бона иностранная. Индия ;  ;  ;  ;  ; 15 ; Banderas ; 30 
 5573 ; Бона иностранная. Индия ;  ;  ;  ;  ; 7 ; 54заза ; 26 
 5574 ; Бона иностранная. Индия ;  ;  ;  ;  ; 9 ; vlad27 ; 70 
 5575 ; Бона иностранная. Индия ;  ;  ;  ;  ; 13 ; доллар капут ; 95 
 5576 ; Бона иностранная. Индия ;  ;  ;  ;  ; 7 ; 54заза ; 26 
 5577 ; Бона иностранная. Индия ;  ;  ;  ;  ; 7 ; 2128508 ; 101 
