 5634 ; Бумага ценная Венгрия ; 1894 ;  ;  ;  ; 11 ; Mordaxa ; 200 
 5635 ; Акция. США ;  ;  ;  ;  ; 14 ; Mordaxa ; 106 
 5636 ; Акция. США ;  ;  ;  ;  ; 9 ; Mordaxa ; 105 
 5637 ; Акция. США ;  ;  ;  ;  ; 5 ; Mordaxa ; 100 
 5638 ; Акция. США ;  ;  ;  ;  ; 5 ; Mordaxa ; 100 
 5639 ; Акция. США ;  ;  ;  ;  ; 5 ; Mordaxa ; 100 
 5640 ; Акция. США ;  ;  ;  ;  ; 5 ; Mordaxa ; 100 
 5641 ; Акция. США ;  ;  ;  ;  ; 7 ; Mordaxa ; 100 
 5642 ; Акция. США ;  ;  ;  ;  ; 7 ; Mordaxa ; 100 
 5643 ; Акция. США ;  ;  ;  ;  ; 9 ; Mordaxa ; 101 
 5644 ; Акция. Египет ;  ;  ;  ;  ; 20 ; Mordaxa ; 151 
 5645 ; Акция. Конго ; 1921 ;  ;  ;  ; 11 ; Mordaxa ; 159 
 5646 ; Акция ; 1948 ;  ;  ;  ; 5 ; 333985 ; 79 
 5647 ; Акция ; 1948 ;  ;  ;  ; 5 ; 333985 ; 82 
 5648 ; Акция ; 1923 ;  ;  ;  ; 15 ; Mordaxa ; 122 
 5649 ; Акция ; 1983 ;  ;  ;  ; 5 ; donbass ; 80 
 5650 ; Купоны ( 215шт.) ;  ;  ;  ;  ; 32 ; Ksn ; 920 
 5584 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 3 ; 54заза ; 23 
 5585 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 24 ; трутень ; 101 
 5586 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 3 ; 54заза ; 13 
 5587 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 19 ; зуммер ; 97 
 5588 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 36 ; alesjane ; 206 
 5589 ; Бона иностранная. Македония ;  ;  ;  ;  ; 13 ; marysuper ; 48 
 5590 ; Бона иностранная. Армения ;  ;  ;  ;  ; 19 ; 333985 ; 26 
 5591 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 36 ; Фест ; 101 
 5592 ; Бона иностранная. Украина ;  ;  ;  ;  ; 23 ; alex241 ; 30 
 5593 ; Бона иностранная. Украина ;  ;  ;  ;  ; 3 ; alex241 ; 47 
 5594 ; Бона иностранная. Украина ;  ;  ;  ;  ; 11 ; XF ; 25 
 5595 ; Бона иностранная. Украина ;  ;  ;  ;  ; 12 ; numis36 ; 35 
 5596 ; Бона иностранная. Украина ;  ;  ;  ;  ; 6 ; val211 ; 23 
 5597 ; Бона иностранная. Украина ;  ;  ;  ;  ; 9 ; val211 ; 11 
 5598 ; Бона иностранная. Украина ;  ;  ;  ;  ; 14 ; жора ; 100 
 5599 ; Бона иностранная. Украина ;  ;  ;  ;  ; 8 ; val211 ; 34 
 5600 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 7 ; Pomnikov ; 18 
 5601 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 3 ; akula ; 12 
 5602 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 10 ; tolegv ; 13 
 5603 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 4 ; зуммер ; 12 
 5604 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 2 ; vladmarkin ; 3 
 5605 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 7 ; lelik13821 ; 16 
 5606 ; Бона иностранная. Киргизия ;  ;  ;  ;  ; 1 ; гудзон ; 2 
 5607 ; Бона иностранная. Киргизия ;  ;  ;  ;  ; 21 ; камсигал ; 30 
 5608 ; Бона иностранная. Киргизия ;  ;  ;  ;  ; 16 ; Black Cat ; 105 
 5609 ; Бона иностранная. Киргизия ;  ;  ;  ;  ; 3 ; гудзон ; 17 
 5610 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 7 ; val211 ; 30 
 5611 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 29 ; flutter ; 102 
 5612 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 11 ; 6x6 ; 30 
 5613 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 35 ; teso ; 114 
 5614 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 56 ; Maxim914 ; 114 
 5615 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 5 ; Pomnikov ; 21 
 5616 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 22 ; Pomnikov ; 63 
 5617 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 5 ; Pomnikov ; 35 
 5618 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 13 ; Pomnikov ; 21 
 5619 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 3 ; Pomnikov ; 21 
 5620 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 33 ; Фест ; 96 
 5621 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 13 ; bva150979 ; 186 
 5622 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 11 ; Фест ; 96 
 5623 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 5 ; гудзон ; 65 
 5624 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 35 ; Mordaxa ; 255 
 5625 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 24 ; Mordaxa ; 227 
 5626 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 22 ; Mordaxa ; 227 
 5627 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 14 ; Mordaxa ; 227 
 5628 ; Бумага ценная США ;  ;  ;  ;  ; 26 ; Mordaxa ; 219 
 5629 ; Бумага ценная США ;  ;  ;  ;  ; 17 ; Mordaxa ; 262 
 5630 ; Бумага ценная США ;  ;  ;  ;  ; 25 ; alesjane ; 408 
 5631 ; Бумага ценная США ;  ;  ;  ;  ; 23 ; Mordaxa ; 262 
 5632 ; Акция Франция ;  ;  ;  ;  ; 19 ; Mordaxa ; 200 
 5633 ; Бумага ценная Нидерланды ;  ;  ;  ;  ; 17 ; kehha ; 170 
 5534 ; Бона иностранная. Дания ;  ;  ;  ;  ; 11 ; pref ; 186 
 5535 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; ИБК ; 108 
 5536 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; Виталий С. ; 101 
 5537 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; denisl ; 123 
 5538 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; 54заза ; 21 
 5539 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 5 ; 54заза ; 17 
 5540 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 3 ; 54заза ; 23 
 5541 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 5 ; Вадим Скифский ; 50 
 5542 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 5 ; Вадим Скифский ; 50 
 5543 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 3 ; Вадим Скифский ; 50 
 5544 ; Бона иностранная. Китай ;  ;  ;  ;  ; 5 ; Olimpia ; 30 
 5545 ; Бона иностранная. Китай ;  ;  ;  ;  ; 9 ; Atiss ; 30 
 5546 ; Бона иностранная. Китай ;  ;  ;  ;  ; 3 ; 333985 ; 21 
 5547 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 15 ; Olimpia ; 31 
 5548 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 7 ; fadeev.dima ; 107 
 5549 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 29 ; igles ; 100 
 5550 ; Бона иностранная. Иран ;  ;  ;  ;  ; 3 ; fadeev.dima ; 101 
 5551 ; Бона иностранная. Иран ;  ;  ;  ;  ; 11 ; Pomnikov ; 100 
 5552 ; Бона иностранная. Иран ;  ;  ;  ;  ; 35 ; трутень ; 181 
