 5628 ; Лот нотгельдов Германия 100 шт ;  ;  ;  ;  ; 34 ; доллар капут ; 1652 
 5629 ; 100 рублей Сочи ; 2014 ;  ;  ;  ; 13 ; nic27 ; 185 
 5630 ; Бона ;  ;  ;  ;  ; 22 ; nic27 ; 150 
 5631 ; Лот купонов 4 шт ;  ;  ;  ;  ; 14 ; grizlimays ; 125 
 5632 ; Лот платёжных средств 2 шт ; 1992 ;  ;  ;  ; 5 ; Olimpia ; 57 
 5633 ; Облигация ; 1957 ;  ;  ;  ; 5 ; Ибранец ; 101 
 5634 ; Лот облигаций 2 шт ; 1992 ;  ;  ;  ; 4 ; Olimpia ; 57 
 5635 ; Лот билетов МММ 5 шт ;  ;  ;  ;  ; 19 ; bon15041980 ; 100 
 5636 ; Билет МММ ;  ;  ;  ;  ; 9 ; bon15041980 ; 128 
 5637 ; Билет лотереи ; 1933 ;  ;  ;  ; 12 ; Ustin ; 462 
 5638 ; Лот лотерейных билетов 4 шт ;  ;  ;  ;  ; 17 ; Ustin ; 111 
 5639 ; Облигация 20 лат Латвия ; 1931 ;  ;  ;  ; 29 ; von_Schwarz ; 359 
 5640 ; Акция ; 1928 ;  ;  ;  ; 4 ; Ибранец ; 101 
 5641 ; Акция ; 1927 ;  ;  ;  ; 4 ; Ибранец ; 101 
 5642 ; Акция ; 1919 ;  ;  ;  ; 4 ; Ибранец ; 101 
 5643 ; Бумага ценная Австрия ; 1920 ;  ;  ;  ; 8 ; Ибранец ; 204 
 5644 ; Бумага ценная Греция ; 1974 ;  ;  ;  ; 5 ; Ибранец ; 114 
 5645 ; Бумага ценная Франция ; 1931 ;  ;  ;  ; 6 ; Ибранец ; 114 
 5646 ; Бумага ценная США ; 1938 ;  ;  ;  ; 6 ; Ибранец ; 102 
 5647 ; Бумага ценная Нидерланды ; 1952 ;  ;  ;  ; 7 ; Ибранец ; 37 
 5648 ; Бумага ценная Нидерланды ; 1912 ;  ;  ;  ; 6 ; Ибранец ; 114 
 5649 ; Бумага ценная Бразилия ; 1902 ;  ;  ;  ; 6 ; Ибранец ; 204 
 5650 ; Бумага ценная Алжир ;  ;  ;  ;  ; 14 ; Slava O ; 220 
 5578 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 33 ; artamonov81 ; 57 
 5579 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 60 ; CASABLANCA ; 127 
 5580 ; Бона иностранная. Сейшелы ;  ;  ;  ;  ; 34 ; Hamlet ; 157 
 5581 ; Бона иностранная. Судан ;  ;  ;  ;  ; 16 ; CASABLANCA ; 101 
 5582 ; Бона иностранная. Судан ;  ;  ;  ;  ; 22 ; dkflf ; 102 
 5583 ; Бона иностранная. Судан ;  ;  ;  ;  ; 19 ; гус4 ; 92 
 5584 ; Бона иностранная. Судан ;  ;  ;  ;  ; 20 ; CASABLANCA ; 101 
 5585 ; Бона иностранная. Украина ;  ;  ;  ;  ; 6 ; иржик86 ; 31 
 5586 ; Бона иностранная. Украина ;  ;  ;  ;  ; 35 ; трутень ; 102 
 5587 ; Бона иностранная. Украина ;  ;  ;  ;  ; 16 ; 4758 ; 37 
 5588 ; Бона иностранная. Украина ;  ;  ;  ;  ; 26 ; трутень ; 101 
 5589 ; Бона иностранная. Украина ;  ;  ;  ;  ; 4 ; SER 888 ; 30 
 5590 ; Бона иностранная. Украина ;  ;  ;  ;  ; 7 ; иржик86 ; 37 
 5591 ; Бона иностранная. Украина ;  ;  ;  ;  ; 5 ; иржик86 ; 31 
 5592 ; Бона иностранная. Украина ;  ;  ;  ;  ; 12 ; 4758 ; 13 
