 5641 ; Почтовая карточка Каир ; 1912 ;  ;  ;  ; 57 ; alesjane ; 490 
 5642 ; Почтовая карточка Сурабая ;  ;  ;  ;  ; 71 ; alesjane ; 1005 
 5643 ; Почтовая карточка Маланг ;  ;  ;  ;  ; 34 ; alesjane ; 1005 
 5591 ; Акция ; 1937 ;  ;  ;  ; 3 ; велес ; 101 
 5592 ; Акция ; 1931 ;  ;  ;  ; 3 ; велес ; 101 
 5593 ; Акция ; 1933 ;  ;  ;  ; 3 ; велес ; 101 
 5594 ; Акция ; 1930 ;  ;  ;  ; 3 ; велес ; 101 
 5595 ; Акция ; 1944 ;  ;  ;  ; 3 ; велес ; 101 
 5596 ; Акция ; 1956 ;  ;  ;  ; 5 ; 333985 ; 46 
 5597 ; Акция ; 1956 ;  ;  ;  ; 5 ; 333985 ; 46 
 5598 ; Акция ; 1923 ;  ;  ;  ; 3 ; 333985 ; 90 
 5599 ; Акция ; 1923 ;  ;  ;  ; 3 ; 333985 ; 79 
 5600 ; Акция ; 1920 ;  ;  ;  ; 5 ; велес ; 116 
 5601 ; Бумага ценная Бразилия ; 1902 ;  ;  ;  ; 11 ; Sammler ; 99 
 5602 ; Акция ; 1923 ;  ;  ;  ; 15 ; 333985 ; 48 
 5603 ; Конверт со спец. Гашением "Вторая смена дрейфующей научной станции СП-30" 24.04.90 ;  ;  ;  ;  ; 26 ; ZIMOGOR ; 322 
 5604 ; Конверт со спец. Гашением "70 лет со дня рождения Э.Т.Кренкеля" 24.12.73 ;  ;  ;  ;  ; 17 ; kagan ; 55 
 5605 ; Конверт со спец. Гашением (запечатан с Вложением) "Юбилейное заседание посвящённое 250-и летию Академии наук СССР" ;  ;  ;  ;  ; 5 ; kagan ; 45 
 5606 ; Конверт со спец. Гашением (запечатан С ВЛОЖЕНИЕМ) "Антарктида. Восток" 26.01.93 ;  ;  ;  ;  ; 8 ; kagan ; 79 
 5607 ; Конверт со спец. Гашением "Советская антарктическая экспедиция "Восток" 14.01.82 ;  ;  ;  ;  ; 4 ; kagan ; 45 
 5608 ; Конверт со спец. Гашением "Советская антарктическая экспедиция Станция "Русская" 12.12.89. ;  ;  ;  ;  ; 9 ; kagan ; 164 
 5609 ; Конверт со спец. Гашением "Советская антарктическая экспедиция "Мирный" 14.01.88 ;  ;  ;  ;  ; 3 ; kagan ; 34 
