 5537 ; Почтовая карточка Германия ; 1900 ;  ;  ;  ; 14 ; Жигурда ; 55 
 5538 ; Почтовая карточка Германия ; 1904 ;  ;  ;  ; 43 ; Жигурда ; 131 
 5539 ; Почтовая карточка Германия ; 1907 ;  ;  ;  ; 9 ; igaist ; 55 
 5540 ; Почтовая карточка Германия ; 1911 ;  ;  ;  ; 19 ; alesjane ; 453 
 5541 ; Почтовая карточка Германия ; 1908 ;  ;  ;  ; 29 ; alesjane ; 765 
 5542 ; Почтовая карточка Германия ; 1912 ;  ;  ;  ; 19 ; alesjane ; 459 
 5543 ; Почтовая карточка Дания ; 1903 ;  ;  ;  ; 9 ; кузяка ; 65 
 5544 ; Почтовая карточка Дания ; 1901 ;  ;  ;  ; 31 ; кузяка ; 64 
 5487 ; Конверт со спец. Гашением "САЭ "Лазаревская! 16.11.88, с подписями участников экспедиции ;  ;  ;  ;  ; 5 ; doc2 ; 104 
 5488 ; Конверт со спец. Гашением SOUTH POLE STATION NOV 27 1988 McMuroo Station ;  ;  ;  ;  ; 5 ; von_Schwarz ; 21 
 5489 ; Конверт со спец. Гашением KARP Korea 12  NOV 88 ;  ;  ;  ;  ; 9 ; flutter ; 104 
 5490 ; Конверт со спец. Гашением "САЭ "Молодёжная" 21.01.88  Открытка ;  ;  ;  ;  ; 3 ; doc2 ; 57 
 5491 ; Конверт со спец. Гашением 17.11.88 "Georg Forester" 200 лет со дня рождения М. ЛАЗАРЕВская ;  ;  ;  ;  ; 9 ; viktorius ; 31 
 5492 ; Конверт со спец. Гашением "Ан-74 СССР Антарктида" 34 САЭ 10 NOV 1988 Gral. ARTIGAS ;  ;  ;  ;  ; 6 ; von_Schwarz ; 23 
 5493 ; Карточка со спец. Гашением "Ленинградская" 10.03.79 Антарктида - 1978 ;  ;  ;  ;  ; 5 ; SER 888 ; 16 
 5494 ; Конверт со спец. Гашением SCOTT BASE 20 de 78 "294000- Ужгород" Осипов Г.И ;  ;  ;  ;  ; 5 ; doc2 ; 104 
 5495 ; Конверт со спец. Гашением  SCOTT BASE 20 DE 73 NEW ZEALAND ;  ;  ;  ;  ; 5 ; doc2 ; 93 
 5496 ; Конверт со спец. Гашением  ( запечатан с вложением) 20th ANNIVERSARY OF SCOTT BASE 20 JAN 1977 ;  ;  ;  ;  ; 18 ; von_Schwarz ; 53 
 5497 ; Конверт со спец. Гашением PORT AUX FRANCAIS 14-10 1979 ( запечатан) ;  ;  ;  ;  ; 5 ; von_Schwarz ; 21 
 5498 ; Конверт со спец. Гашением ROSS DEPENDENCY  26 NO 77 ;  ;  ;  ;  ; 5 ; von_Schwarz ; 21 
 5499 ; Конверт со спец. Гашением OF WELLINGTON 1976-77 15 NOV 76 ;  ;  ;  ;  ; 5 ; SER 888 ; 16 
 5500 ; Конверт со спец. Гашением DUMONT 18/12/1981 (запечатан) ;  ;  ;  ;  ; 7 ; SER 888 ; 16 
 5501 ; Конверт со спец. Гашением "Советская Антарктическая Экспедиция ААНИИ" 29.12.82 "Мирный" ;  ;  ;  ;  ; 9 ; viktorius ; 31 
 5502 ; Конверт со спец. Гашением"Беллинсгаузен 31 САЭ"  Договор об Антарктике 1986 ;  ;  ;  ;  ; 22 ; doc2 ; 206 
 5503 ; Конверт со спец. Гашением 18 S Martin 11/7/89 ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5504 ; Конверт со спец. ГашениемЮж. Полюс Ст. Молодёжная 02.08.73 "18 Антарктическая экспедиция" Молодёжная ;  ;  ;  ;  ; 3 ; SER 888 ; 11 
 5505 ; Почтовая карточка Петроград ;  ;  ;  ;  ; 25 ; alesjane ; 303 
 5506 ; Почтовая карточка Петроград ;  ;  ;  ;  ; 12 ; flutter ; 123 
 5507 ; Почтовая карточка. Исаакиевский собор и памятник Николаю I ;  ;  ;  ;  ; 34 ; flutter ; 363 
 5508 ; Почтовая карточка Вологда ;  ;  ;  ;  ; 31 ; doc2 ; 465 
 5509 ; Почтовая карточка Иркутск ;  ;  ;  ;  ; 47 ; lsp25 ; 455 
 5510 ; Почтовая карточка станция Байкал ;  ;  ;  ;  ; 26 ; lsp25 ; 340 
 5511 ; Почтовая карточка Урал ;  ;  ;  ;  ; 52 ; Атлантик ; 138 
 5512 ; Почтовая карточка Типы и виды Малороссии ;  ;  ;  ;  ; 21 ; new life ; 255 
 5513 ; Открытое письмо. Всемирный почтовый союз России. Скалы о. Валаама ;  ;  ;  ;  ; 23 ; von_Schwarz ; 204 
 5514 ; Открытое письмо. Всемирный почтовый союз России. Скалы о. Валаама ;  ;  ;  ;  ; 17 ; ZIMOGOR ; 210 
 5515 ; Открытое письмо. Всемирный почтовый союз России. Въезд в монастырскую бухту ;  ;  ;  ;  ; 23 ; vlad77 ; 232 
 5516 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; dfg ; 123 
 5517 ; Почтовая карточка ;  ;  ;  ;  ; 16 ; ZIMOGOR ; 202 
 5518 ; Почтовая карточка. Оптина Пустынь. Река Жидра ;  ;  ;  ;  ; 66 ; von_Schwarz ; 501 
 5519 ; Почтовая карточка. Оптина Пустынь. Общий вид ;  ;  ;  ;  ; 57 ; von_Schwarz ; 765 
 5520 ; Почтовая карточка. Оптина Пустынь. Вид с юго-западной стороны ;  ;  ;  ;  ; 28 ; vlad77 ; 207 
 5521 ; Почтовая карточка. Оптина Пустынь. Введенский собор ;  ;  ;  ;  ; 57 ; von_Schwarz ; 781 
 5522 ; Почтовая карточка. Окрестности Св. Троицко-Сергиевой лавры ;  ;  ;  ;  ; 37 ; vlad77 ; 308 
 5523 ; Открытое письмо. Всемирный почтовый союз России.  Памятник Императору Александру III ;  ;  ;  ;  ; 31 ; flutter ; 444 
 5524 ; Почтовая карточка. Кисловодск. Курзал. Детский парк ;  ;  ;  ;  ; 32 ; Атлантик ; 111 
 5525 ; Почтовая карточка. Железноводск. Общий вид ;  ;  ;  ;  ; 18 ; Приор ; 204 
 5526 ; Почтовая карточка Китай ;  ;  ;  ;  ; 7 ; Жигурда ; 31 
 5527 ; Почтовая карточка Типы и виды Японии ;  ;  ;  ;  ; 15 ; vlad77 ; 118 
 5528 ; Почтовая карточка Oulu ;  ;  ;  ;  ; 5 ; Жигурда ; 31 
 5529 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 7 ; Жигурда ; 31 
 5530 ; Почтовая карточка Сингапур ;  ;  ;  ;  ; 7 ; Жигурда ; 50 
 5531 ; Почтовая карточка Сингапур ;  ;  ;  ;  ; 5 ; Жигурда ; 31 
 5532 ; Почтовая карточка Малайзия ;  ;  ;  ;  ; 7 ; Жигурда ; 50 
 5533 ; Почтовая карточка Малайзия ;  ;  ;  ;  ; 7 ; Жигурда ; 31 
 5534 ; Почтовая карточка Марокко ;  ;  ;  ;  ; 35 ; кузяка ; 112 
 5535 ; Почтовая карточка Сцены и типы ;  ;  ;  ;  ; 8 ; POUL ; 51 
 5536 ; Почтовая карточка Германия ; 1903 ;  ;  ;  ; 16 ; кузяка ; 82 
 5437 ; Бумага ценная Бельгия ; 1923 ;  ;  ;  ; 14 ; aleksander2015 ; 77 
 5438 ; Бумага ценная Венгрия ; 1909 ;  ;  ;  ; 15 ; donbass ; 68 
 5439 ; Бумага ценная Конго ; 1949 ;  ;  ;  ; 12 ; aleksander2015 ; 77 
 5440 ; Бумага ценная Бельгия ; 1922 ;  ;  ;  ; 10 ; Sammler ; 59 
 5441 ; Бумага ценная Бельгийское Конго ; 1928 ;  ;  ;  ; 14 ; aleksander2015 ; 77 
 5442 ; Бумага ценная Бельгия ; 1923 ;  ;  ;  ; 12 ; donbass ; 57 
 5443 ; Бумага ценная Бельгия ; 1928 ;  ;  ;  ; 10 ; Nubist85 ; 51 
 5444 ; Бумага ценная Венгрия ; 1884 ;  ;  ;  ; 10 ; vladmarkin ; 77 
 5445 ; Бумага ценная Бельгия ; 1929 ;  ;  ;  ; 31 ; кузяка ; 68 
 5446 ; Акция. Египет ;  ;  ;  ;  ; 7 ; 4758 ; 79 
 5447 ; Акция. Египет ;  ;  ;  ;  ; 9 ; 4758 ; 89 
 5448 ; Акция ; 1919 ;  ;  ;  ; 12 ; aleksander2015 ; 101 
 5449 ; Акция ; 1911 ;  ;  ;  ; 12 ; 4758 ; 45 
 5450 ; Акция ; 1944 ;  ;  ;  ; 10 ; aleksander2015 ; 101 
 5451 ; Акция ; 1958 ;  ;  ;  ; 11 ; 4758 ; 79 
 5452 ; Акция ; 1901 ;  ;  ;  ; 8 ; aleksander2015 ; 101 
 5453 ; Акция ; 1901 ;  ;  ;  ; 10 ; 4758 ; 37 
 5454 ; Акция. Германия ; 1921 ;  ;  ;  ; 14 ; Nubist85 ; 153 
 5455 ; Акция. Германия ; 1921 ;  ;  ;  ; 9 ; denis.davydov ; 153 
 5456 ; Акция. Германия ; 1921 ;  ;  ;  ; 9 ; denis.davydov ; 153 
 5457 ; Акция. Германия ; 1941 ;  ;  ;  ; 9 ; denis.davydov ; 153 
