 5516 ; Открытка "Советская Антарктическая экспедиция" 70 лет М.М.Сомова 7.04.78 ;  ;  ;  ;  ; 7 ; doc2 ; 102 
 5517 ; Открытка "1989-1990" трансантарктическая экспедиция 34 САЭ ;  ;  ;  ;  ; 23 ; гоша334 ; 340 
 5518 ; Открытка "Сверхдальний перелёт ИЛ-18Д" 10.2.1981 Москва ;  ;  ;  ;  ; 17 ; flutter ; 357 
 5519 ; Почтовая карточка Петроград ;  ;  ;  ;  ; 45 ; flutter ; 226 
 5520 ; Почтовая карточка Цесаревич Алексей ;  ;  ;  ;  ; 100 ; ZOLTAN333 ; 2083 
 5521 ; Почтовая карточка Иркутск ;  ;  ;  ;  ; 17 ; Хаа ; 567 
 5522 ; Почтовая карточка озеро Байкал ;  ;  ;  ;  ; 19 ; Хаа ; 340 
 5523 ; Почтовая карточка озеро Байкал ;  ;  ;  ;  ; 27 ; ulf ; 340 
 5524 ; Почтовая карточка Малороссийские типы ;  ;  ;  ;  ; 22 ; ulf ; 206 
 5525 ; Почтовая карточка Забайкальская ж.д ;  ;  ;  ;  ; 47 ; ulf ; 374 
 5526 ; Почтовая карточка Лыжница ;  ;  ;  ;  ; 16 ; doc2 ; 142 
 5527 ; Почтовая карточка Малайзия ;  ;  ;  ;  ; 15 ; von_Schwarz ; 59 
 5528 ; Почтовая карточка Малайзия ;  ;  ;  ;  ; 11 ; von_Schwarz ; 55 
 5529 ; Почтовая карточка Верблюд ;  ;  ;  ;  ; 7 ; von_Schwarz ; 54 
 5530 ; Почтовая карточка Германия ;  ;  ;  ;  ; 20 ; А.А.Д ; 159 
 5531 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 14 ; von_Schwarz ; 63 
 5532 ; Почтовая карточка Амстердам ;  ;  ;  ;  ; 11 ; von_Schwarz ; 68 
 5533 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 42 ; von_Schwarz ; 118 
 5534 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 11 ; igaist ; 51 
 5535 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 11 ; von_Schwarz ; 56 
 5536 ; Почтовая карточка Франция ;  ;  ;  ;  ; 43 ; von_Schwarz ; 171 
 5537 ; Почтовая карточка Германия ;  ;  ;  ;  ; 10 ; А.А.Д ; 110 
 5538 ; Почтовая карточка Германия ;  ;  ;  ;  ; 26 ; А.А.Д ; 340 
 5539 ; Почтовая карточка. Пленные, русские солдаты ;  ;  ;  ;  ; 39 ; ZIMOGOR ; 405 
 5540 ; Почтовая карточка. Немецкие военные в Варшаве ;  ;  ;  ;  ; 37 ; кузяка ; 173 
 5541 ; Почтовая карточка Германия ;  ;  ;  ;  ; 50 ; А.А.Д ; 179 
 5542 ; Почтовая карточка Кёльн ;  ;  ;  ;  ; 16 ; flutter ; 206 
 5543 ; Почтовая карточка Дюссельдорф ;  ;  ;  ;  ; 14 ; А.А.Д ; 170 
 5544 ; Почтовая карточка Ахен ;  ;  ;  ;  ; 16 ; А.А.Д ; 216 
 5545 ; Почтовая карточка Германия ;  ;  ;  ;  ; 18 ; А.А.Д ; 94 
 5466 ; Бумага ценная Венгрия ; 1897 ;  ;  ;  ; 14 ; Вадим Скифский ; 102 
 5467 ; Бумага ценная Венгрия ; 1897 ;  ;  ;  ; 9 ; Sammler ; 66 
 5468 ; Бумага ценная Германия ; 1928 ;  ;  ;  ; 32 ; Атлантик ; 95 
 5469 ; Бумага ценная Германия ; 1933 ;  ;  ;  ; 29 ; Атлантик ; 124 
 5470 ; Акция.Германия ;  ;  ;  ;  ; 16 ; Атлантик ; 127 
 5471 ; Акция. Германия ;  ;  ;  ;  ; 29 ; Атлантик ; 130 
 5472 ; Акция. Германия ;  ;  ;  ;  ; 23 ; Атлантик ; 124 
 5473 ; Акция. Германия ;  ;  ;  ;  ; 19 ; Атлантик ; 130 
 5474 ; Акция. Германия ;  ;  ;  ;  ; 16 ; Атлантик ; 130 
 5475 ; Акция. Германия ;  ;  ;  ;  ; 18 ; Атлантик ; 124 
 5476 ; Акция. Германия ;  ;  ;  ;  ; 19 ; DIMA 57 ; 181 
 5477 ; Акция. Германия ;  ;  ;  ;  ; 20 ; Атлантик ; 155 
 5478 ; Акция. Германия ;  ;  ;  ;  ; 26 ; А.А.Д ; 227 
 5479 ; Акция. Германия ;  ;  ;  ;  ; 15 ; Атлантик ; 155 
 5480 ; Акция. Германия ;  ;  ;  ;  ; 11 ; Атлантик ; 155 
 5481 ; Акция. Германия ;  ;  ;  ;  ; 25 ; Атлантик ; 159 
 5482 ; Акция. Германия ;  ;  ;  ;  ; 12 ; prostor.71 ; 72 
 5483 ; Акция. Германия ;  ;  ;  ;  ; 12 ; А.А.Д ; 101 
 5484 ; Акция. США ;  ;  ;  ;  ; 9 ; Вадим Скифский ; 51 
 5485 ; Акция. США ;  ;  ;  ;  ; 9 ; Вадим Скифский ; 43 
 5486 ; Акция. США ;  ;  ;  ;  ; 9 ; volkova21 ; 34 
 5487 ; Акция. США ;  ;  ;  ;  ; 8 ; Ceregga ; 40 
 5488 ; Акция. США ;  ;  ;  ;  ; 9 ; Вадим Скифский ; 46 
 5489 ; Акция. США ;  ;  ;  ;  ; 7 ; volkova21 ; 34 
 5490 ; Акция. США ;  ;  ;  ;  ; 11 ; Вадим Скифский ; 74 
 5491 ; Акция. США ;  ;  ;  ;  ; 29 ; Ceregga ; 86 
 5492 ; Акция. США ;  ;  ;  ;  ; 18 ; Атлантик ; 71 
 5493 ; Акция. США ;  ;  ;  ;  ; 6 ; Вадим Скифский ; 46 
 5494 ; Акция. США ;  ;  ;  ;  ; 18 ; donbass ; 80 
 5495 ; Акция. США ;  ;  ;  ;  ; 9 ; цеховик ; 115 
 5496 ; Прод. Карточки ;  ;  ;  ;  ; 7 ; Краснодар ; 101 
 5497 ; Купоны ( 220шт.) ;  ;  ;  ;  ; 26 ; Ok203 ; 408 
 5498 ; Купоны ( 200шт.) ;  ;  ;  ;  ; 20 ; Ok203 ; 408 
 5499 ; Конверт со спец гашением (2 штуки) "Советская Антарктическая экспедиция Новолазаревская" 16.11.88 British Antarctik Territory 88 ;  ;  ;  ;  ; 22 ; lori ; 192 
 5500 ; Конверт со спец гашением "Антарктида Мирный" 12.02.75 ;  ;  ;  ;  ; 5 ; krass ; 62 
 5501 ; Конверт со спец гашением "САЭ Мирный" 17.03.83 Ленинград 21182 Город-герой ;  ;  ;  ;  ; 9 ; Краснодар ; 27 
 5502 ; Конверт со спец гашением " Антарктида Новолазаревская" 01.02.95 GAP 1995 ;  ;  ;  ;  ; 15 ; гоша334 ; 340 
 5503 ; Конверт со спец гашением 34 САЭ "Молодёжная"210188 ;  ;  ;  ;  ; 9 ; гоша334 ; 204 
 5504 ; Конверт со спец гашением "САЭ Станция "Русская" 22.04.73 СССР д/э ОБЬ ;  ;  ;  ;  ; 11 ; гоша334 ; 340 
 5505 ; Конверт со спец гашением "САЭ Новолазаревская" 040591 нач. ст. Будрецкий ;  ;  ;  ;  ; 9 ; гоша334 ; 340 
 5506 ; Конверт со спец гашением "Антарктида. Новолазаревская" 22.06.91 ;  ;  ;  ;  ; 7 ; гоша334 ; 153 
 5507 ; Конверт со спец гашением "Артемида. Мурманск" 11,03,87 ;  ;  ;  ;  ; 3 ; Краснодар ; 21 
 5508 ; Конверт со спец гашением SOUTH POLE STATION NOV27 1988 САЭ "Мирный" 25.11.88 ;  ;  ;  ;  ; 5 ; doc2 ; 80 
 5509 ; Конверт со спец гашением "САЭ Ленинградская" 14.03.89 Начальник 34 САЭ С.Прямиков ;  ;  ;  ;  ; 5 ; гоша334 ; 79 
 5510 ; Конверт со спец гашением СССР Д/Э "ОБЬ" Антарктида ст."Ленинградская" 15.02.72 (запечатан) ;  ;  ;  ;  ; 7 ; гоша334 ; 340 
 5511 ; Конверт со спец гашением "Дрейфующая научно-исследовательская станция Северный полюс-29" 10.06.87 Атомный Ледокол "Сибирь" ;  ;  ;  ;  ; 8 ; гоша334 ; 340 
 5512 ; Конверт со спец гашением "Дрейфующая научно-исследовательская станция Северный полюс-31" 25.07.91 ;  ;  ;  ;  ; 3 ; гоша334 ; 62 
 5513 ; Конверт со спец гашением (запечатан с вложением) "САЭ "Мирный" 20-189 СЕЗОН 34 САЭ ;  ;  ;  ;  ; 3 ; гоша334 ; 62 
 5514 ; Конверт со спец гашением  " 100 лет со дня рождения Л.С.Берга" 14.3.1976 ;  ;  ;  ;  ; 3 ; гоша334 ; 62 
 5515 ; Конверт со спец гашением "Антарктида  Новолазаревская" 20 .11. 95 ;  ;  ;  ;  ; 13 ; doc2 ; 360 
 5416 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 10 ; 100alf ; 30 
 5417 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 13 ; 100alf ; 41 
 5418 ; Бона иностранная. Кипр ;  ;  ;  ;  ; 13 ; alesjane ; 408 
 5419 ; Бона иностранная. Германия ;  ;  ;  ;  ; 19 ; Атлантик ; 101 
 5420 ; Бона иностранная. Германия ;  ;  ;  ;  ; 19 ; А.А.Д ; 79 
 5421 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; А.А.Д ; 82 
 5422 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; Атлантик ; 73 
 5423 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; Атлантик ; 67 
 5424 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; А.А.Д ; 41 
 5425 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; shilo2 ; 30 
 5426 ; Бона иностранная. Польша ;  ;  ;  ;  ; 25 ; X3.96rus ; 140 
 5427 ; Бона иностранная. Польша ;  ;  ;  ;  ; 20 ; Атлантик ; 133 
 5428 ; Бона иностранная. Польша ;  ;  ;  ;  ; 46 ; X3.96rus ; 270 
 5429 ; Бона иностранная. Польша ;  ;  ;  ;  ; 23 ; Атлантик ; 130 
 5430 ; Бона иностранная. Польша ;  ;  ;  ;  ; 44 ; X3.96rus ; 238 
 5431 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Моряк-собиратель ; 507 
 5432 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Моряк-собиратель ; 507 
 5433 ; Бона иностранная ;  ;  ;  ;  ; 12 ; demodex ; 261 
 5434 ; Бона иностранная. Мозамбик ;  ;  ;  ;  ; 9 ; магаз ; 97 
 5435 ; Бона иностранная. Катар ;  ;  ;  ;  ; 10 ; магаз ; 62 
