 5687 ; Почтовая карточка Германия ; 1916 ;  ;  ;  ; 25 ; SANGOLD1 ; 201 
 5688 ; Почтовая карточка Германия ;  ;  ;  ;  ; 22 ; von_Schwarz ; 107 
 5689 ; Почтовая карточка Германия ;  ;  ;  ;  ; 31 ; k212 ; 155 
 5690 ; Почтовая карточка Германия ; 1908 ;  ;  ;  ; 15 ; von_Schwarz ; 192 
 5691 ; Почтовая карточка Германия ;  ;  ;  ;  ; 12 ; to-to ; 104 
 5692 ; Почтовая карточка Германия ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 104 
 5693 ; Почтовая карточка Германия ;  ;  ;  ;  ; 10 ; von_Schwarz ; 101 
 5694 ; Почтовая карточка Германия ; 1906 ;  ;  ;  ; 22 ; k212 ; 206 
 5695 ; Почтовая карточка Япония ;  ;  ;  ;  ; 4 ; igaist ; 21 
 5696 ; Почтовая карточка Канада ;  ;  ;  ;  ; 4 ; цеховик ; 21 
 5697 ; Почтовая карточка Япония ;  ;  ;  ;  ; 46 ; von_Schwarz ; 168 
 5698 ; Почтовая карточка Япония ;  ;  ;  ;  ; 14 ; lsp25 ; 306 
 5699 ; Почтовая карточка Япония ;  ;  ;  ;  ; 46 ; ZIMOGOR ; 466 
 5700 ; Почтовая карточка Япония ;  ;  ;  ;  ; 44 ; ZIMOGOR ; 607 
 5701 ; Почтовая карточка Япония ;  ;  ;  ;  ; 6 ; von_Schwarz ; 58 
 5702 ; Почтовая карточка Япония ;  ;  ;  ;  ; 10 ; von_Schwarz ; 104 
 5703 ; Почтовая карточка Югославия ;  ;  ;  ;  ; 6 ; igaist ; 45 
 5637 ; Акция.Германия ;  ;  ;  ;  ; 8 ; Александр-78 ; 45 
 5638 ; Билет МММ. ( 25шт.) ;  ;  ;  ;  ; 11 ; Инвестор ; 100 
 5639 ; Билет МММ. (25шт.) ;  ;  ;  ;  ; 9 ; Инвестор ; 100 
 5640 ; Билет МММ. ( 10шт.) ;  ;  ;  ;  ; 14 ; Аленка ; 59 
 5641 ; Конверт со спец гашением (2 штуки)  М.П. Лазарев 200 лет "САЭ "Новолазаревская" 16.11.88 ;  ;  ;  ;  ; 13 ; гоша334 ; 213 
 5642 ; Конверт со спец гашением "Антарктида САЭ ст. Русская" ( -1-3 73) Новолазаревская ;  ;  ;  ;  ; 13 ; flutter ; 213 
 5643 ; Конверт со спец гашением SCOTT BASE Antarctica 30/11/88 NOV 30 1988 ;  ;  ;  ;  ; 7 ; Краснодар ; 20 
 5644 ; Конверт со спец гашением "Антарктида Новолазаревская 28.01.95 "175 лет Открытия Антарктиды 1820-1995" ;  ;  ;  ;  ; 17 ; гоша334 ; 203 
 5645 ; Конверт со спец гашением "Антарктида Новолазаревская" 11.03.92 ;  ;  ;  ;  ; 7 ; Bolt ; 21 
 5646 ; Конверт со спец гашением "САЭ Новолазаревская" 01.04.91 ;  ;  ;  ;  ; 9 ; flutter ; 239 
 5647 ; Конверт со спец гашением Antarktis  - Expedition Oktober 1977 bis Mai 1978 (запечатан) ;  ;  ;  ;  ; 5 ; Краснодар ; 20 
 5648 ; Конверт со спец гашением USHUAIA Argentina ;  ;  ;  ;  ; 7 ; гоша334 ; 21 
 5649 ; Конверт со спец гашением WALTHER HERWING 26 .02.78 (запечатан) ;  ;  ;  ;  ; 3 ; SER 888 ; 15 
 5650 ; Конверт со спец гашением GEORG- VON-NEUMAYER-STATION,  "Новолазаревская" 16.11.88 ;  ;  ;  ;  ; 9 ; flutter ; 239 
 5651 ; Конверт со спец гашением "Мирный", "Восток", "Молодёжная", "Новолазаревская" 28.11.88 ;  ;  ;  ;  ; 5 ; гоша334 ; 21 
 5652 ; Конверт со спец гашением " Антарктида ст. Ленинградская" 050375 ;  ;  ;  ;  ; 6 ; Bolt ; 21 
 5653 ; Конверт со спец гашением (запечатан) KRILL WEDDELL SEA 1975/76  Ст. Беллинсгаузен 16-1 75 ;  ;  ;  ;  ; 6 ; Bolt ; 21 
 5654 ; Конверт со спец гашением "Новолазаревская" 25022003 ;  ;  ;  ;  ; 5 ; Краснодар ; 20 
 5655 ; Конверт со спец гашением "Юж. Полюс ст. Молодёжная" 12.12.73 ;  ;  ;  ;  ; 6 ; Bolt ; 21 
 5656 ; Конверт со спец гашением "150 лет со дня рождения П.П.Семёнова-Тяншанского 14.01.1977" ;  ;  ;  ;  ; 5 ; Краснодар ; 20 
 5657 ; Конверт со спец гашением "Международный фонд истории науки Ледокол Леонид Красин" 16.09.89 ;  ;  ;  ;  ; 3 ; Александр-78 ; 21 
 5658 ; Конверт со спец гашением (2 штуки) САЭ "Новолазаревская" 161188 , "САЭ Молодёжная" 211188 ;  ;  ;  ;  ; 11 ; гоша334 ; 213 
