 5594 ; Почтовая карточка Каунас ; 1927 ;  ;  ;  ; 12 ; to-to ; 124 
 5595 ; Почтовая карточка Вильнюс ; 1904 ;  ;  ;  ; 38 ; ZIMOGOR ; 211 
 5596 ; Почтовая карточка Варшава ; 1916 ;  ;  ;  ; 40 ; ZIMOGOR ; 212 
 5597 ; Почтовая карточка Хельсинки ;  ;  ;  ;  ; 63 ; irinka ; 464 
 5598 ; Почтовая карточка Великий Сибирский путь ;  ;  ;  ;  ; 40 ; von_Schwarz ; 215 
 5599 ; Почтовая карточка Алтай ;  ;  ;  ;  ; 15 ; k212 ; 215 
 5600 ; Почтовая карточка Алтай ;  ;  ;  ;  ; 41 ; k212 ; 215 
 5601 ; Почтовая карточка ;  ;  ;  ;  ; 16 ; doc2 ; 341 
 5602 ; Почтовая карточка ;  ;  ;  ;  ; 21 ; doc2 ; 408 
 5603 ; Почтовая карточка ;  ;  ;  ;  ; 35 ; lsp25 ; 464 
 5604 ; Почтовая карточка ;  ;  ;  ;  ; 19 ; Serjd ; 250 
 5605 ; Почтовая карточка ;  ;  ;  ;  ; 18 ; lsp25 ; 543 
 5606 ; Почтовая карточка ;  ;  ;  ;  ; 51 ; irinka ; 239 
 5607 ; Почтовая карточка Лондон ;  ;  ;  ;  ; 53 ; k212 ; 306 
 5608 ; Почтовая карточка Марсель ;  ;  ;  ;  ; 49 ; гоша334 ; 156 
 5609 ; Почтовая карточка Марсель ;  ;  ;  ;  ; 41 ; flutter ; 131 
 5610 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; ZIMOGOR ; 72 
 5611 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; von_Schwarz ; 164 
 5612 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; graff36alex ; 25 
 5613 ; Почтовая карточка военные ;  ;  ;  ;  ; 12 ; krass ; 153 
 5614 ; Почтовая карточка Эстония ; 1926 ;  ;  ;  ; 6 ; папашаГарпагон ; 126 
 5615 ; Почтовая карточка Турция ; 1926 ;  ;  ;  ; 11 ; кузяка ; 93 
 5616 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; igaist ; 32 
 5617 ; Почтовая карточка. Смольный ;  ;  ;  ;  ; 10 ; кузяка ; 128 
 5618 ; Почтовая карточка. Жилой дом Транспортной академии ;  ;  ;  ;  ; 6 ; von_Schwarz ; 45 
 5619 ; Почтовая карточка. Мост Строителей. Маяк ;  ;  ;  ;  ; 41 ; flutter ; 131 
 5620 ; Почтовая карточка ЦПКО "Метальщица диска" ;  ;  ;  ;  ; 7 ; гоша334 ; 101 
 5621 ; Почтовая карточка. Каменноостровский театр ;  ;  ;  ;  ; 53 ; flutter ; 155 
 5622 ; Почтовая карточка. Здание электротока ;  ;  ;  ;  ; 54 ; flutter ; 152 
 5623 ; Почтовая карточка. Дворец Александра III- музей ;  ;  ;  ;  ; 7 ; SER 888 ; 20 
 5624 ; Почтовая карточка. Дом политкаторжан ;  ;  ;  ;  ; 5 ; SER 888 ; 20 
 5625 ; Лот открытых писем (2шт) ;  ;  ;  ;  ; 25 ; S5S1 ; 114 
 5544 ; Конверт со спец. Гашением 42 РАЭ Новолазаревская 03.06.96 ;  ;  ;  ;  ; 12 ; doc2 ; 239 
 5545 ; Конверт со спец. Гашением "Новолазаревская" 20.04.92 УЭДДЕЛЛ 110292 (В.В.Лукин) ;  ;  ;  ;  ; 12 ; гоша334 ; 114 
 5546 ; Конверт со спец. Гашением "Антарктида Новолазаревская 11.03.92" ;  ;  ;  ;  ; 5 ; Emv ; 26 
 5547 ; Конверт со спец. Гашением НЭС "Академик Федоров" Доставлено вертолётом 06.03.95 Новолазаревская ;  ;  ;  ;  ; 9 ; гоша334 ; 90 
 5548 ; Конверт со спец. Гашением "САЭ "Ленинградская" 07.04.90 ;  ;  ;  ;  ; 3 ; гоша334 ; 216 
 5549 ; Конверт со спец. Гашением "Атомный Ледокол "Сибирь" 19.05.87 Северный полюс-27 ;  ;  ;  ;  ; 5 ; Emv ; 26 
