 5647 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 11 ; гоша334 ; 102 
 5648 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 3 ; гоша334 ; 102 
 5649 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 3 ; гоша334 ; 102 
 5650 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 3 ; гоша334 ; 102 
 5597 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; Sky2 ; 45 
 5598 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; Sky2 ; 23 
 5599 ; Почтовая карточка ;  ;  ;  ;  ; 4 ; SER 888 ; 12 
 5600 ; Фотографии (7 штук)  Молодёжная №3, станция Ленинградская ;  ;  ;  ;  ; 6 ; oleghh7 ; 93 
 5601 ; Почтовая карточка Таллин ; 1928 ;  ;  ;  ; 40 ; пинокио ; 413 
 5602 ; Почтовая карточка Тарту ; 1923 ;  ;  ;  ; 12 ; пинокио ; 150 
 5603 ; Почтовая карточка Раквере ; 1923 ;  ;  ;  ; 20 ; пинокио ; 500 
 5604 ; Почтовая карточка Нарва ; 1924 ;  ;  ;  ; 13 ; пинокио ; 150 
 5605 ; Почтовая карточка Раквере ; 1923 ;  ;  ;  ; 9 ; igaist ; 109 
 5606 ; Почтовая карточка Таллин ; 1927 ;  ;  ;  ; 15 ; пинокио ; 150 
 5607 ; Почтовая карточка Эстония ; 1926 ;  ;  ;  ; 9 ; пинокио ; 150 
 5608 ; Почтовая карточка Иркутск ;  ;  ;  ;  ; 24 ; пинокио ; 1936 
 5609 ; Почтовая карточка Байкал ;  ;  ;  ;  ; 22 ; пинокио ; 1282 
 5610 ; Почтовая карточка Финляндия ;  ;  ;  ;  ; 11 ; to-to ; 306 
 5611 ; Почтовая карточка Кругобайкальская ж.д ;  ;  ;  ;  ; 23 ; flutter ; 322 
 5612 ; Почтовая карточка Иркутск ;  ;  ;  ;  ; 27 ; пинокио ; 2615 
 5613 ; Почтовая карточка Кругобайкальская ж.д ;  ;  ;  ;  ; 21 ; flutter ; 354 
 5614 ; Почтовая карточка Екатеринбург ;  ;  ;  ;  ; 27 ; flutter ; 476 
 5615 ; Почтовая карточка Вятка ;  ;  ;  ;  ; 15 ; птичка16 ; 362 
 5616 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; k212 ; 29 
 5617 ; Почтовая карточка граница Германии и Дании ; 1910 ;  ;  ;  ; 46 ; to-to ; 63 
 5618 ; Почтовая карточка Германия ; 1912 ;  ;  ;  ; 21 ; to-to ; 73 
 5619 ; Почтовая карточка Германия ;  ;  ;  ;  ; 11 ; А.А.Д ; 57 
 5620 ; Почтовая карточка Германия ; 1935 ;  ;  ;  ; 28 ; flutter ; 177 
 5621 ; Почтовая карточка Германия ;  ;  ;  ;  ; 13 ; А.А.Д ; 57 
 5622 ; Почтовая карточка Германия ; 1908 ;  ;  ;  ; 13 ; А.А.Д ; 51 
 5623 ; Почтовая карточка Германия ; 1905 ;  ;  ;  ; 15 ; А.А.Д ; 51 
 5624 ; Почтовая карточка Германия ; 1909 ;  ;  ;  ; 13 ; А.А.Д ; 68 
 5625 ; Почтовая карточка Германия ; 1905 ;  ;  ;  ; 11 ; А.А.Д ; 57 
