 5647 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 11 ; dizdigator ; 101 
 5648 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5649 ; Конверт со спецгашением Гренландия ; 2003 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5650 ; Конверт со спецгашением Гренландия ; 2003 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5651 ; Почтовая карточка Одесса ; 1928 ;  ;  ;  ; 35 ; flutter ; 550 
 5652 ; Почтовая карточка Алупка ; 1934 ;  ;  ;  ; 21 ; RAPAN ; 505 
 5653 ; Почтовая карточка Керчь ; 1927 ;  ;  ;  ; 36 ; RAPAN ; 567 
 5654 ; Почтовая карточка Ялта ; 1933 ;  ;  ;  ; 39 ; ZIMOGOR ; 567 
 5655 ; Почтовая карточка Казань ; 1927 ;  ;  ;  ; 44 ; flutter ; 669 
 5656 ; Почтовая карточка Чита ; 1927 ;  ;  ;  ; 24 ; Приор ; 680 
 5657 ; Почтовая карточка Кострома ; 1927 ;  ;  ;  ; 16 ; Приор ; 567 
 5658 ; Почтовая карточка Архангельск ; 1913 ;  ;  ;  ; 23 ; flutter ; 443 
 5659 ; Почтовая карточка Либава ; 1910 ;  ;  ;  ; 17 ; igaist ; 140 
 5660 ; Почтовая карточка Варшава ; 1923 ;  ;  ;  ; 22 ; ZIMOGOR ; 315 
 5661 ; Почтовая карточка Варшава ;  ;  ;  ;  ; 23 ; ZIMOGOR ; 426 
 5662 ; Почтовая карточка Варшава ; 1923 ;  ;  ;  ; 23 ; ZIMOGOR ; 204 
 5663 ; Почтовая карточка Варшава ; 1923 ;  ;  ;  ; 9 ; to-to ; 54 
 5664 ; Почтовая карточка Варшава ; 1923 ;  ;  ;  ; 20 ; ZIMOGOR ; 130 
 5665 ; Почтовая карточка С-Петербург ;  ;  ;  ;  ; 17 ; flutter ; 510 
 5666 ; Почтовая карточка Петроград ;  ;  ;  ;  ; 28 ; flutter ; 510 
 5667 ; Почтовая карточка Петроград ;  ;  ;  ;  ; 12 ; flutter ; 510 
 5668 ; Почтовая карточка Москва ;  ;  ;  ;  ; 42 ; flutter ; 414 
 5669 ; Почтовая карточка Польша ; 1925 ;  ;  ;  ; 9 ; to-to ; 68 
 5670 ; Почтовая карточка Польша ;  ;  ;  ;  ; 16 ; Numismatist ; 138 
 5671 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 11 ; flutter ; 101 
 5672 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 14 ; oleg632112 ; 58 
 5673 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 23 ; von_Schwarz ; 217 
 5674 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 25 ; Numismatist ; 330 
 5675 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 9 ; flutter ; 101 
 5676 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 9 ; цеховик ; 51 
 5677 ; Почтовая карточка Нидерланды ;  ;  ;  ;  ; 10 ; цеховик ; 51 
 5678 ; Почтовая карточка Польша ; 1924 ;  ;  ;  ; 9 ; to-to ; 54 
 5679 ; Почтовая карточка Польша ; 1924 ;  ;  ;  ; 18 ; ZIMOGOR ; 116 
 5680 ; Почтовая карточка Польша ; 1925 ;  ;  ;  ; 16 ; StasStas ; 215 
 5681 ; Открытка со спецгашением Гренландия ; 2003 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5682 ; Открытка со спецгашением Гренландия ; 2004 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5683 ; Конверт со спецгашением Гренландия ; 2003 ;  ;  ;  ; 9 ; dizdigator ; 101 
 5597 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 3 ; зуммер ; 18 
 5598 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 3 ; зуммер ; 18 
 5599 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 3 ; зуммер ; 18 
 5600 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 8 ; SER 888 ; 37 
 5601 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 5 ; SER 888 ; 18 
 5602 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 5 ; SER 888 ; 18 
 5603 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 4 ; hoop ; 12 
 5604 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 5 ; SER 888 ; 18 
 5605 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 7 ; SER 888 ; 24 
 5606 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 5 ; SER 888 ; 18 
 5607 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 3 ; lenskij1837 ; 12 
 5608 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; krass ; 41 
 5609 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; pref ; 45 
 5610 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 3 ; SER 888 ; 12 
 5611 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 4 ; mrchegevara ; 13 
 5612 ; Бона иностранная. Перу ;  ;  ;  ;  ; 7 ; krass ; 67 
 5613 ; Бона иностранная. Перу ;  ;  ;  ;  ; 5 ; SER 888 ; 34 
 5614 ; Бона иностранная. Перу ;  ;  ;  ;  ; 3 ; hoop ; 12 
 5615 ; Бона иностранная. Перу ;  ;  ;  ;  ; 3 ; Александр-78 ; 11 
 5616 ; Бона иностранная. Перу ;  ;  ;  ;  ; 3 ; SER 888 ; 12 
 5617 ; Бона иностранная. Перу ;  ;  ;  ;  ; 1 ; Александр-78 ; 2 
