 5556 ; Почтовая карточка Будапешт ; 1932 ;  ;  ;  ; 26 ; Приор ; 255 
 5557 ; Почтовая карточка Венгрия ;  ;  ;  ;  ; 7 ; to-to ; 45 
 5558 ; Почтовая карточка Венгрия ;  ;  ;  ;  ; 9 ; to-to ; 45 
 5559 ; Почтовая карточка Румыния ; 1924 ;  ;  ;  ; 9 ; to-to ; 32 
 5560 ; Почтовая карточка Румыния ; 1924 ;  ;  ;  ; 8 ; аймир ; 51 
 5561 ; Почтовая карточка Румыния ; 1925 ;  ;  ;  ; 9 ; велко ; 51 
 5562 ; Почтовая карточка Сербия ;  ;  ;  ;  ; 25 ; велко ; 102 
 5563 ; Почтовая карточка Загреб ; 1923 ;  ;  ;  ; 15 ; велко ; 255 
 5506 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 17 ; SER 888 ; 40 
 5507 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 5 ; Аврора ; 30 
 5508 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 29 ; трутень ; 107 
 5509 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 3 ; SER 888 ; 40 
 5510 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; бриз33 ; 20 
 5511 ; Бона иностранная. Перу ;  ;  ;  ;  ; 7 ; vladmarkin ; 40 
 5512 ; Бона иностранная. Перу ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5513 ; Бона иностранная. Перу ;  ;  ;  ;  ; 15 ; бриз33 ; 18 
 5514 ; Бона иностранная. Перу ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5515 ; Бона иностранная. Перу ;  ;  ;  ;  ; 5 ; танкер Дербент ; 100 
 5516 ; Бона иностранная. Перу ;  ;  ;  ;  ; 9 ; бриз33 ; 17 
 5517 ; Бона иностранная. Перу ;  ;  ;  ;  ; 22 ; element ; 30 
 5518 ; Лот бон. Китай ( 4шт.) ;  ;  ;  ;  ; 13 ; 4758 ; 69 
 5519 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 14 ; Ok203 ; 306 
 5520 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 23 ; бриз33 ; 248 
 5521 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 9 ; vladmarkin ; 257 
 5522 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 13 ; Vova1950 ; 271 
 5523 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 11 ; Ok203 ; 227 
 5524 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 11 ; Ok203 ; 203 
 5525 ; Лот нотгельдов ( 70шт.) ;  ;  ;  ;  ; 9 ; Ok203 ; 2380 
 5526 ; Акция. США ;  ;  ;  ;  ; 5 ; 333985 ; 57 
 5527 ; Акция. США ;  ;  ;  ;  ; 5 ; 333985 ; 57 
 5528 ; Акция. США ;  ;  ;  ;  ; 7 ; Micros ; 102 
 5529 ; Акция. США ;  ;  ;  ;  ; 7 ; Micros ; 102 
 5530 ; Акция. США ;  ;  ;  ;  ; 5 ; 333985 ; 57 
 5531 ; Акция. Германия ;  ;  ;  ;  ; 7 ; volkova21 ; 66 
 5532 ; Акция. Германия ;  ;  ;  ;  ; 7 ; volkova21 ; 66 
 5533 ; Акция. Германия ;  ;  ;  ;  ; 5 ; volkova21 ; 66 
 5534 ; Акция. Германия ;  ;  ;  ;  ; 7 ; volkova21 ; 66 
 5535 ; Акция. Германия ;  ;  ;  ;  ; 5 ; volkova21 ; 66 
 5536 ; Акция ; 1900 ;  ;  ;  ; 7 ; цеховик ; 153 
 5537 ; Конверт со спец. Гашением (5 штук) 1976 год Советская Антарктическая экспедиция ААНИИ ;  ;  ;  ;  ; 11 ; Vova1950 ; 59 
 5538 ; Конверт со спец. Гашением (5 штук) Купол Ватутина. Северная земля ;  ;  ;  ;  ; 5 ; vladmarkin ; 57 
 5539 ; Конверт со спец. Гашением (5 штук) 1988 год "САЭ Восток", Мирный, Ленинград ;  ;  ;  ;  ; 5 ; vladmarkin ; 57 
 5540 ; Почтовая карточка  со спец. Гашением (4 штуки) 1978 год ;  ;  ;  ;  ; 12 ; lsk54 ; 63 
 5541 ; Почтовая карточка со спец. Гашением 21.07.91 Музей Северного Мореплавания ;  ;  ;  ;  ; 9 ; Bro_Kable ; 24 
 5542 ; Почтовая карточка С-Петербург ; 1912 ;  ;  ;  ; 22 ; flutter ; 510 
 5543 ; Почтовая карточка С-Петербург ;  ;  ;  ;  ; 52 ; flutter ; 816 
 5544 ; Почтовая карточка Москва ;  ;  ;  ;  ; 5 ; Chatsky ; 204 
 5545 ; Почтовая карточка Москва ;  ;  ;  ;  ; 17 ; flutter ; 408 
 5546 ; Почтовая карточка Архангельск ; 1913 ;  ;  ;  ; 20 ; flutter ; 510 
 5547 ; Почтовая карточка Воронеж ; 1925 ;  ;  ;  ; 54 ; Приор ; 2040 
 5548 ; Почтовая карточка Виндава ; 1910 ;  ;  ;  ; 6 ; ZIMOGOR ; 102 
 5549 ; Почтовая карточка Тарту ; 1924 ;  ;  ;  ; 5 ; igaist ; 102 
 5550 ; Почтовая карточка Таллин ; 1923 ;  ;  ;  ; 5 ; to-to ; 114 
 5551 ; Почтовая карточка Каунас ; 1927 ;  ;  ;  ; 5 ; igaist ; 111 
 5552 ; Почтовая карточка Клайпеда ; 1923 ;  ;  ;  ; 5 ; igaist ; 111 
 5553 ; Почтовая карточка Либава ; 1927 ;  ;  ;  ; 9 ; igaist ; 147 
 5554 ; Почтовая карточка Литва ; 1927 ;  ;  ;  ; 5 ; to-to ; 89 
 5555 ; Почтовая карточка Будапешт ; 1922 ;  ;  ;  ; 9 ; volkova21 ; 51 
 5456 ; Бона иностранная. Непал ;  ;  ;  ;  ; 8 ; бриз33 ; 41 
 5457 ; Бона иностранная. Непал ;  ;  ;  ;  ; 26 ; 6x6 ; 101 
 5458 ; Бона иностранная. Гана ;  ;  ;  ;  ; 25 ; бриз33 ; 78 
 5459 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5460 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 9 ; 4758 ; 33 
 5461 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 13 ; 4758 ; 41 
 5462 ; Бона иностранная. Македония ;  ;  ;  ;  ; 11 ; трутень ; 45 
 5463 ; Бона иностранная. Македония ;  ;  ;  ;  ; 11 ; трутень ; 45 
 5464 ; Бона иностранная. Босния и Герцоговина ;  ;  ;  ;  ; 17 ; SER 888 ; 40 
 5465 ; Бона иностранная. Босния и Герцоговина ;  ;  ;  ;  ; 12 ; SER 888 ; 40 
 5466 ; Бона иностранная. Босния и Герцоговина ;  ;  ;  ;  ; 12 ; ZIMOGOR ; 42 
 5467 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 11 ; зуммер ; 45 
 5468 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 9 ; bratss ; 50 
 5469 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5470 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 15 ; зуммер ; 23 
 5471 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 9 ; М662 ; 250 
 5472 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 13 ; STANDART ; 50 
 5473 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 21 ; STANDART ; 50 
