 5644 ; Акция. США ;  ;  ;  ;  ; 6 ; магаз ; 69 
 5645 ; Акция. США ;  ;  ;  ;  ; 5 ; магаз ; 56 
 5646 ; Акция. США ;  ;  ;  ;  ; 9 ; ЛСВ ; 72 
 5647 ; Акция. США ;  ;  ;  ;  ; 5 ; магаз ; 56 
 5648 ; Акция. США ;  ;  ;  ;  ; 7 ; hhmm ; 77 
 5649 ; Акция. США ;  ;  ;  ;  ; 8 ; hhmm ; 78 
 5650 ; Акция. Германия ;  ;  ;  ;  ; 9 ; electra ; 102 
 5651 ; Акция. Германия ;  ;  ;  ;  ; 11 ; electra ; 102 
 5652 ; Акция. Германия ;  ;  ;  ;  ; 6 ; квв76 ; 100 
 5653 ; Акция. Германия ;  ;  ;  ;  ; 11 ; А.А.Д ; 102 
 5654 ; Акция ; 1989 ;  ;  ;  ; 18 ; Ustin ; 104 
 5655 ; Акция ; 1927 ;  ;  ;  ; 4 ; Ok203 ; 101 
 5656 ; Акция ; 1944 ;  ;  ;  ; 14 ; Ok203 ; 125 
 5657 ; Акция ; 1927 ;  ;  ;  ; 4 ; квв76 ; 100 
 5658 ; Акция ; 1928 ;  ;  ;  ; 6 ; квв76 ; 100 
 5659 ; Купоны ( 170шт.) ;  ;  ;  ;  ; 17 ; lx ; 885 
 5660 ; Конверт со спец. Гашением (5 штук) 1988 год "Северный полюс - 29" Беллинсгаузен ;  ;  ;  ;  ; 32 ; самка кота ; 359 
 5661 ; Конверт со спец. Гашением (3 штуки) 1977 год , "30 лет всесоюзному обществу ЗНАНИЕ", С Новым годом! ;  ;  ;  ;  ; 3 ; Краснодар ; 15 
 5662 ; Конверт со спец. Гашением (3 штуки)1977 год "Международный конгресс по судоходству, Конференция Совет Музеев, 200 лет гор. Павловску ;  ;  ;  ;  ; 3 ; oleg632112 ; 16 
 5663 ; Конверт со спец. Гашением (запечатан с вложением) "Молодёжная 1988-90" 34 САЭ ;  ;  ;  ;  ; 27 ; самка кота ; 117 
 5664 ; Конверт со спец. Гашением (3 штуки) 1989 год "75 лет полётам в Арктике", ледокол "Красин", Последний рейс ;  ;  ;  ;  ; 14 ; самка кота ; 206 
 5665 ; Конверт со спец. Гашением  (4 штуки) 2001 год 45 РАЭ, "Мирный", "Прогресс" ;  ;  ;  ;  ; 21 ; самка кота ; 355 
 5666 ; Конверт со спец. Гашением (5 штук) 2000-2001 года "Беллинсгаузен" ;  ;  ;  ;  ; 18 ; RAPAN ; 124 
 5667 ; Почтовая карточка Германия ; 1899 ;  ;  ;  ; 11 ; oleg632112 ; 53 
 5668 ; Почтовая карточка Германия ; 1899 ;  ;  ;  ; 18 ; А.А.Д ; 128 
 5669 ; Почтовая карточка Германия ; 1897 ;  ;  ;  ; 13 ; самка кота ; 102 
 5670 ; Почтовая карточка Германия ; 1897 ;  ;  ;  ; 11 ; to-to ; 55 
 5671 ; Почтовая карточка Германия ; 1898 ;  ;  ;  ; 13 ; bondars ; 116 
 5672 ; Почтовая карточка Германия ;  ;  ;  ;  ; 25 ; самка кота ; 204 
 5673 ; Почтовая карточка Германия ; 1898 ;  ;  ;  ; 11 ; von_Schwarz ; 316 
 5674 ; Почтовая карточка Германия ; 1898 ;  ;  ;  ; 10 ; sharapov.s21 ; 53 
 5675 ; Почтовая карточка Германия ; 1899 ;  ;  ;  ; 22 ; to-to ; 128 
 5676 ; Почтовая карточка Германия ; 1899 ;  ;  ;  ; 24 ; А.А.Д ; 123 
 5677 ; Лист Гознак с водяным знаком ; 1993 ;  ;  ;  ; 12 ; shelbyroush ; 510 
 5594 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; А.А.Д ; 104 
 5595 ; 1000 злотых Польша ; 1919 ;  ;  ;  ; 18 ; Russel ; 159 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 9 ; etwar55 ; 44 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 22 ; etwar55 ; 171 
 5598 ; Лот бон Хорватии. 100 шт ;  ;  ;  ; AU ; 21 ; Wulf ; 340 
 5599 ; Лот бон 100 штук Монголия ;  ;  ;  ; AU ; 14 ; Wulf ; 340 
 5600 ; Лот бон 100 штук Монголия ;  ;  ;  ; AU ; 14 ; Wulf ; 340 
 5601 ; Лот бон 100 штук Монголия ;  ;  ;  ; AU ; 14 ; Wulf ; 340 
 5602 ; Лот бон Хорватии. 100 шт ;  ;  ;  ; AU ; 21 ; А.А.Д ; 402 
 5603 ; Лот бон 100 штук Монголия ;  ;  ;  ; AU ; 16 ; Wulf ; 348 
 5604 ; Лот бон 100 рублей (100шт). Крым и Севастополь. Серия СК ; 2015 ;  ;  ;  ; 13 ; Oz35 ; 11321 
 5605 ; Лот бон Монголии 100 шт. ;  ;  ;  ;  ; 12 ; Wulf ; 340 
 5606 ; Альбом монет и купюр мира: 33шт ;  ;  ;  ;  ; 20 ; Russel ; 481 
 5607 ; Билет лотереи ; 1943 ;  ;  ;  ; 17 ; птичка16 ; 400 
 5608 ; Приватизационный чек на 10000 рублей ; 1992 ;  ;  ;  ; 19 ; Holder31 ; 546 
 5609 ; Облигация ; 1956 ;  ;  ;  ; 5 ; SANGOLD1 ; 11 
 5610 ; Облигация на 50 рублей ; 1982 ;  ;  ;  ; 11 ; папашаГарпагон ; 26 
 5611 ; Облигация ; 1992 ;  ;  ;  ; 7 ; Ustin ; 16 
 5612 ; Бумага ценная Германия ; 1941 ;  ;  ;  ; 21 ; electra ; 175 
 5613 ; Бумага ценная Германия ; 1941 ;  ;  ;  ; 16 ; electra ; 59 
 5614 ; Бумага ценная Германия ; 1940 ;  ;  ;  ; 11 ; electra ; 104 
 5615 ; Бумага ценная Германия ; 1941 ;  ;  ;  ; 16 ; electra ; 38 
 5616 ; Бумага ценная Германия ; 1938 ;  ;  ;  ; 12 ; electra ; 38 
 5617 ; Бумага ценная Германия ; 1934 ;  ;  ;  ; 8 ; electra ; 45 
 5618 ; Бумага ценная Германия ; 1932 ;  ;  ;  ; 12 ; electra ; 48 
 5619 ; Бумага ценная Германия ; 1926 ;  ;  ;  ; 10 ; electra ; 38 
 5620 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 17 ; electra ; 64 
 5621 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 16 ; electra ; 68 
 5622 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 14 ; electra ; 80 
 5623 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 10 ; electra ; 102 
 5624 ; Акция ; 1956 ;  ;  ;  ; 11 ; Russel ; 49 
 5625 ; Акция. США ;  ;  ;  ;  ; 9 ; ЛСВ ; 68 
 5626 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 5627 ; Акция. США ;  ;  ;  ;  ; 7 ; oleg632112 ; 38 
 5628 ; Акция. США ;  ;  ;  ;  ; 9 ; ЛСВ ; 68 
 5629 ; Акция. США ;  ;  ;  ;  ; 7 ; vladmarkin ; 34 
 5630 ; Акция. США ;  ;  ;  ;  ; 5 ; vladmarkin ; 34 
 5631 ; Акция. США ;  ;  ;  ;  ; 8 ; ЛСВ ; 38 
 5632 ; Акция. США ;  ;  ;  ;  ; 9 ; Ceregga ; 38 
 5633 ; Акция. США ;  ;  ;  ;  ; 6 ; vladmarkin ; 34 
 5634 ; Акция. США ;  ;  ;  ;  ; 6 ; vladmarkin ; 34 
 5635 ; Акция. США ;  ;  ;  ;  ; 3 ; vladmarkin ; 26 
 5636 ; Бумага ценная США ; 1951 ;  ;  ;  ; 5 ; vladmarkin ; 53 
 5637 ; Бумага ценная США ; 1956 ;  ;  ;  ; 4 ; vladmarkin ; 26 
 5638 ; Акция. США ;  ;  ;  ;  ; 9 ; vladmarkin ; 45 
 5639 ; Акция. Германия ;  ;  ;  ;  ; 14 ; electra ; 57 
 5640 ; Акция. Германия ;  ;  ;  ;  ; 8 ; квв76 ; 38 
 5641 ; Бумага ценная Египет ;  ;  ;  ;  ; 11 ; ЛСВ ; 115 
 5642 ; Бумага ценная Греция ; 1948 ;  ;  ;  ; 6 ; vladmarkin ; 14 
 5643 ; Акция. США ;  ;  ;  ;  ; 7 ; магаз ; 69 
 5544 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 6 ; SANGOLD1 ; 11 
 5545 ; 2 доллара США ; 2013 ;  ;  ; AU ; 16 ; tss ; 204 
 5546 ; Бона иностранная. Канада ;  ;  ;  ;  ; 17 ; pref ; 77 
 5547 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 26 ; Vova1950 ; 98 
 5548 ; Лот бон Индонезия, 5 шт ;  ;  ;  ; AU ; 5 ; [Nik] ; 21 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Slava O ; 100 
 5550 ; Бона иностранная Лесото ;  ;  ;  ; AU ; 20 ; Andreyspb ; 262 
 5551 ; Бона иностранная Лесото ;  ;  ;  ; AU ; 33 ; maner73 ; 305 
 5552 ; Бона иностранная Кувейт 1/2 динара ;  ;  ;  ;  ; 6 ; graff36alex ; 24 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Jon Snow ; 30 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 7 ; graff36alex ; 36 
 5555 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 19 ; А.А.Д ; 122 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 3 ; тикси3 ; 6 
 5557 ; Бона иностранная. Египет ;  ;  ;  ;  ; 5 ; ВВЛ ; 14 
 5558 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 3 ; SANGOLD1 ; 5 
 5559 ; Бона иностранная Ливан ;  ;  ;  ;  ; 9 ; тикси3 ; 21 
 5560 ; Бона иностранная Ливан ;  ;  ;  ;  ; 9 ; ВВЛ ; 21 
 5561 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 13 ; ВВЛ ; 24 
 5562 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 39 ; Andreyspb ; 71 
 5563 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 13 ; Yuraha76 ; 59 
 5564 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 10 ; Yuraha76 ; 59 
 5565 ; 10 марок Германия ; 1920 ;  ;  ; AU ; 21 ; alex09-63 ; 163 
 5566 ; Бона. 1 доллар. США ; 1957 ;  ;  ;  ; 10 ; volkova21 ; 91 
 5567 ; Лот бон Кореи 8 шт. ;  ;  ;  ;  ; 36 ; heavy_fly ; 437 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 11 ; тикси3 ; 24 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 14 ; наташа2712 ; 36 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ijod82 ; 2 
 5571 ; 1 марка Германия ; 1937 ;  ;  ; AU ; 31 ; CASABLANCA ; 164 
 5572 ; 2 марки Германия ;  ;  ;  ; AU ; 17 ; А.А.Д ; 68 
 5573 ; 2 марки Германия ;  ;  ;  ; AU ; 12 ; А.А.Д ; 69 
 5574 ; 2 марки Германия ;  ;  ;  ; AU ; 10 ; А.А.Д ; 57 
