 5577 ; Акция ; 1923 ;  ;  ;  ; 9 ; denis.davydov ; 120 
 5578 ; Акция ; 1923 ;  ;  ;  ; 9 ; denis.davydov ; 120 
 5579 ; Почтовая карточка Старая Русса ;  ;  ;  ;  ; 30 ; boroda ; 315 
 5580 ; Почтовая карточка Старая Русса ;  ;  ;  ;  ; 30 ; doc2 ; 442 
 5581 ; Почтовая карточка Старая Русса ;  ;  ;  ;  ; 30 ; boroda ; 312 
 5582 ; Почтовая карточка Старая Русса ;  ;  ;  ;  ; 22 ; самка кота ; 317 
 5583 ; Почтовая карточка Урал ;  ;  ;  ;  ; 21 ; птичка16 ; 400 
 5584 ; Почтовая карточка Урал ;  ;  ;  ;  ; 31 ; птичка16 ; 400 
 5585 ; Почтовая карточка Кавказские типы ;  ;  ;  ;  ; 8 ; careww ; 204 
 5586 ; Лот конвертов со спецгашением 2 шт ;  ;  ;  ;  ; 34 ; boroda ; 183 
 5527 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; diskus72 ; 41 
 5528 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 7 ; fadeev.dima ; 101 
 5529 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5530 ; Бона иностранная. Польша ;  ;  ;  ;  ; 12 ; hoop ; 30 
 5531 ; Бона иностранная. Польша ;  ;  ;  ;  ; 13 ; Yuraha76 ; 38 
 5532 ; Бона иностранная. Польша ;  ;  ;  ;  ; 17 ; 1alexs111 ; 20 
 5533 ; Бона иностранная. Польша ;  ;  ;  ;  ; 9 ; зуммер ; 90 
 5534 ; Бона иностранная. Польша ;  ;  ;  ;  ; 9 ; зуммер ; 126 
 5535 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; тикси3 ; 41 
 5536 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 8 ; SER 888 ; 40 
 5537 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 11 ; diskus72 ; 41 
 5538 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 6 ; тикси3 ; 41 
 5539 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; SER 888 ; 35 
 5540 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; 1alexs111 ; 35 
 5541 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; 1alexs111 ; 40 
 5542 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; 1alexs111 ; 40 
 5543 ; Бона иностранная. Германия ;  ;  ;  ;  ; 23 ; 1alexs111 ; 30 
 5544 ; Бона иностранная. Германия ;  ;  ;  ;  ; 18 ; 1alexs111 ; 24 
 5545 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; 1alexs111 ; 30 
 5546 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; 1alexs111 ; 30 
 5547 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; 1alexs111 ; 35 
 5548 ; Бона иностранная. Германия ;  ;  ;  ;  ; 20 ; 1alexs111 ; 30 
 5549 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; 1alexs111 ; 71 
 5550 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 16 ; бриз33 ; 41 
 5551 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 5 ; Ёхан из Баварии ; 46 
 5552 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 8 ; бриз33 ; 30 
 5553 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; SER 888 ; 23 
