 5860 ; Конверт со спец. Гашением "60 лет Казахской ССР" 1980г ;  ;  ;  ;  ; 3 ; Dinar02 ; 12 
 5861 ; Конверт со спец. Гашением "Первый день" 1971г ;  ;  ;  ;  ; 3 ; Dinar02 ; 12 
 5862 ; Почтовая карточка (2 штуки) Воинское ;  ;  ;  ;  ; 20 ; Ftog ; 2042 
 5863 ; Почтовая карточка (2 штуки) ;  ;  ;  ;  ; 31 ; doc2 ; 2049 
 5864 ; Почтовая карточка со спец. Гашением (2 штуки)1933г ;  ;  ;  ;  ; 19 ; Ftog ; 1567 
 5865 ; Почтовая карточка (2 штуки) 1932 г. ;  ;  ;  ;  ; 27 ; Ftog ; 1377 
 5866 ; Почтовая карточка (2 штуки) 1931 г . ;  ;  ;  ;  ; 21 ; ulf ; 816 
 5867 ; Почтовая карточка (3шт.) 1931 г. ;  ;  ;  ;  ; 28 ; Ftog ; 1560 
 5868 ; Почтовая карточка (2 штуки) Воинское ;  ;  ;  ;  ; 30 ; Ftog ; 2044 
 5869 ; Почтовая карточка  (4 штуки) ;  ;  ;  ;  ; 51 ; doc2 ; 2619 
 5870 ; Почтовая карточка  (3 штуки)  "На защиту СССР" ;  ;  ;  ;  ; 22 ; doc2 ; 2049 
 5871 ; Почтовая карточка (3 штуки) "Нашей Красной армии - Слава!" ;  ;  ;  ;  ; 24 ; Ftog ; 1224 
 5872 ; Почтовая карточка (2 штуки) 1932г. ;  ;  ;  ;  ; 21 ; Ftog ; 1013 
 5873 ; Почтовая карточка (2 штуки) Атомоход "Ленин" ;  ;  ;  ;  ; 47 ; doc2 ; 888 
 5874 ; Почтовая карточка со спец. Гашением (2 штуки) Воинское  "С Новым годом!"1943г ;  ;  ;  ;  ; 18 ; doc2 ; 816 
 5875 ; Почтовая карточка  (3 штуки) ;  ;  ;  ;  ; 24 ; Ftog ; 3573 
 5876 ; Почтовая карточка со спец. Гашением 1933г ;  ;  ;  ;  ; 6 ; doc2 ; 115 
 5877 ; Почтовая карточка со спец. Гашением 1932г ;  ;  ;  ;  ; 17 ; doc2 ; 579 
 5878 ; Почтовая карточка со спец. Гашением 1933 г. ;  ;  ;  ;  ; 20 ; doc2 ; 579 
 5879 ; Почтовая карточка со спец. Гашением 1936г. ;  ;  ;  ;  ; 11 ; ulf ; 204 
 5880 ; Почтовая карточка со спец. Гашением 1935г. ;  ;  ;  ;  ; 29 ; doc2 ; 772 
 5881 ; Почтовая карточка со спец. Гашением 1942г. ;  ;  ;  ;  ; 23 ; doc2 ; 714 
 5882 ; Почтовая карточка со спец. Гашением 1943г. ;  ;  ;  ;  ; 7 ; Vova1950 ; 68 
 5883 ; Почтовая карточка со спец. Гашением 1943г. ;  ;  ;  ;  ; 26 ; doc2 ; 691 
 5884 ; Почтовая карточка (4 штуки) ;  ;  ;  ;  ; 17 ; фифа ; 27 
 5885 ; Конверт со спец. Гашением "Первый учредительный съезд писателей РСФСР" 07.12.58 ;  ;  ;  ;  ; 5 ; Приор ; 16 
 5886 ; Почтовая карточка (Япония) ;  ;  ;  ;  ; 11 ; Sky2 ; 115 
 5887 ; Конверт со спец. Гашением (3 штуки) "Авиа" ;  ;  ;  ;  ; 27 ; RAPAN ; 150 
 5888 ; Конверт со спец. Гашением (3 штуки) "1-й полёт в Пхеньян, Каир, Будапешт" ;  ;  ;  ;  ; 11 ; фифа ; 65 
 5889 ; Конверт со спец. Гашением (4 штуки) "Города" ;  ;  ;  ;  ; 13 ; фифа ; 62 
 5890 ; Конверт со спец. Гашением (3 штуки) "Коллекционирование" ;  ;  ;  ;  ; 17 ; себер ; 57 
 5891 ; Конверт со спец. Гашением (4 штуки) ;  ;  ;  ;  ; 13 ; SER 888 ; 50 
 5892 ; Конверт со спец. Гашением (6 штук) "150-лет Кавказским минеральным водам" Ессентуки ;  ;  ;  ;  ; 9 ; RAPAN ; 62 
 5810 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; Chatsky ; 80 
 5811 ; Почтовая карточка ;  ;  ;  ;  ; 17 ; flutter ; 359 
 5812 ; Почтовая карточка  ;  ;  ;  ;  ; 17 ; flutter ; 565 
 5813 ; Почтовая карточка ;  ;  ;  ;  ; 36 ; Komposter ; 379 
 5814 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 46 ; ЛБС ; 690 
 5815 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 19 ; flutter ; 530 
 5816 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 29 ; RAPAN ; 238 
 5817 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 19 ; RAPAN ; 441 
 5818 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 21 ; flutter ; 541 
 5819 ; Почтовая карточка. Н. Новгород ;  ;  ;  ;  ; 7 ; flutter ; 420 
 5820 ; Почтовая карточка. Н. Новгород ;  ;  ;  ;  ; 3 ; Agava ; 340 
 5821 ; Почтовая карточка. Н. Новгород ;  ;  ;  ;  ; 7 ; flutter ; 363 
 5822 ; Почтовая карточка. Самара ;  ;  ;  ;  ; 5 ; von_Schwarz ; 340 
 5823 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 10 ; vlad77 ; 340 
 5824 ; Почтовая карточка. Сочи ;  ;  ;  ;  ; 21 ; doc2 ; 255 
 5825 ; Почтовая карточка. Анапа курорт ;  ;  ;  ;  ; 10 ; RAPAN ; 57 
 5826 ; Почтовая карточка. Армавир ;  ;  ;  ;  ; 11 ; ZIMOGOR ; 79 
 5827 ; Почтовая карточка р. Волга ;  ;  ;  ;  ; 7 ; vlad77 ; 96 
 5828 ; Почтовая карточка г. Плес ;  ;  ;  ;  ; 9 ; flutter ; 567 
 5829 ; Почтовая карточка г. Плес ;  ;  ;  ;  ; 9 ; flutter ; 567 
 5830 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; flutter ; 239 
 5831 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 55 
 5832 ; Почтовая карточка Москва ;  ;  ;  ;  ; 59 ; Komposter ; 570 
 5833 ; Почтовая карточка Москва ;  ;  ;  ;  ; 38 ; S5S1 ; 297 
 5834 ; Почтовая карточка Москва ;  ;  ;  ;  ; 20 ; vlad77 ; 185 
 5835 ; Почтовая карточка Москва ;  ;  ;  ;  ; 19 ; Папа с рацией ; 148 
 5836 ; Почтовая карточка С-Петербург ;  ;  ;  ;  ; 20 ; контраст ; 306 
 5837 ; Почтовая карточка Дрезден ;  ;  ;  ;  ; 9 ; контраст ; 73 
 5838 ; Почтовая карточка Дрезден ;  ;  ;  ;  ; 32 ; контраст ; 156 
 5839 ; Почтовая карточка Копенгаген ;  ;  ;  ;  ; 5 ; igaist ; 51 
 5840 ; Конверт со спец. Гашением с личной подписью начальника российской антарктической экспедиции В.Лукина (2001 г) ;  ;  ;  ;  ; 22 ; Папа с рацией ; 79 
 5841 ; Конверт со спец. Гашением с личной подписью полярного исследователя И.Д. Папанина ( 26.11.79 Москва-ород-герой) ;  ;  ;  ;  ; 53 ; Приор ; 2660 
 5842 ; Конверт со спец. Гашением , Научно-иссл. Судно "Проф. Зубов" 27.01.69 ;  ;  ;  ;  ; 12 ; Папа с рацией ; 68 
 5843 ; Конверт со спец. Гашением "18-я САЭ" ст. Ленинградская 23.03.73 ;  ;  ;  ;  ; 20 ; Папа с рацией ; 153 
 5844 ; Конверт со спец. Гашением   "Земля Франца-Иосифа"  (запечатан) ;  ;  ;  ;  ; 25 ; Папа с рацией ; 184 
 5845 ; Конверт со спец. Гашением ( 2 штуки)  "50 лет Пионерской организации В.И.Ленина" 19.05.72 ;  ;  ;  ;  ; 5 ; фифа ; 34 
 5846 ; Конверт со спец. Гашением (3 штуки) "100 лет со дня рождения В.И.Ленина" 22.04.70 ;  ;  ;  ;  ; 23 ; Ftog ; 192 
 5847 ; Конверт со спец. Гашением  (4 штуки) 1961 г ;  ;  ;  ;  ; 39 ; фифа ; 126 
 5848 ; Конверт со спец. Гашением (3 штуки) "Международный год ребёнка" 07.09.1979 ;  ;  ;  ;  ; 7 ; фифа ; 34 
 5849 ; Конверт со спец. Гашением (2 штуки)  1958г ;  ;  ;  ;  ; 18 ; Папа с рацией ; 114 
 5850 ; Конверт со спец. Гашением  (2 штуки) "Тбилиси" 1958г. ;  ;  ;  ;  ; 11 ; Dinar02 ; 79 
 5851 ; Конверт со спец. Гашением (2 штуки) 40 лет ВЛКСМ, Вильнюс 1958г ;  ;  ;  ;  ; 11 ; lsk54 ; 79 
 5852 ; Конверт со спец. Гашением (2 штуки) 1960г ;  ;  ;  ;  ; 13 ; doc2 ; 101 
 5853 ; Конверт со спец. Гашением (3 штуки) "Киев", "Ереван", "100 лет со дня рождения Чехова"1960г ;  ;  ;  ;  ; 13 ; Dinar02 ; 90 
 5854 ; Конверт со спец. Гашением (3 штуки) 1960г ;  ;  ;  ;  ; 11 ; фифа ; 104 
 5855 ; Конверт со спец. Гашением (2 штуки) "300 лет Иванофранковску", С Новым годом! 1962г ;  ;  ;  ;  ; 7 ; Dinar02 ; 36 
 5856 ; Конверт со спец. Гашением (2 штуки) "100 лет со дня рождения А.С.Попова" 1959г ;  ;  ;  ;  ; 15 ; Папа с рацией ; 114 
 5857 ; Конверт со спец. Гашением (2 штуки) "День Ленинской Марки"1969г ;  ;  ;  ;  ; 5 ; Ftog ; 16 
 5858 ; Конверт со спец. Гашением First day of issue 1977г ;  ;  ;  ;  ; 5 ; Emv ; 16 
 5859 ; Конверт со спец. Гашением (2 штуки) 1963, 1965 гг ;  ;  ;  ;  ; 5 ; Emv ; 31 
 5499 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; магаз ; 99 
 5500 ; Лот нотгельдов ( 10шт.) ;  ;  ;  ;  ; 18 ; Aziris ; 350 
 5501 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; 333985 ; 72 
 5502 ; Лот нотгельдов ( 100шт.) ;  ;  ;  ;  ; 23 ; Ok203 ; 3400 
 5503 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 23 ; Ok203 ; 247 
 5504 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 13 ; SER 888 ; 204 
 5505 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; Ok203 ; 247 
 5506 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; Ok203 ; 247 
 5507 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 11 ; 6x6 ; 40 
 5508 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 8 ; nic27 ; 40 
 5509 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 8 ; магаз ; 34 
 5510 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 6 ; магаз ; 26 
