 5678 ; Акция. Германия ;  ;  ;  ;  ; 21 ; Ok203 ; 83 
 5679 ; Купоны ( 9шт.) ;  ;  ;  ;  ; 21 ; 312 ; 80 
 5680 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 67 ; 2128508 ; 206 
 5801 ; Почтовая карточка "Броненосец" ;  ;  ;  ;  ; 33 ; flutter ; 1507 
 5802 ; Почтовая карточка "Нижний Новгород" ;  ;  ;  ;  ; 17 ; flutter ; 254 
 5803 ; Почтовая карточка "Борисоглебск" ;  ;  ;  ;  ; 23 ; flutter ; 396 
 5804 ; Почтовая карточка "Борисоглебск" ;  ;  ;  ;  ; 50 ; flutter ; 822 
 5805 ; Почтовая карточка "Киев. Софийский собор" ;  ;  ;  ;  ; 7 ; flutter ; 227 
 5806 ; Почтовая карточка "Ленинград. Казанский собор" ;  ;  ;  ;  ; 19 ; гоша334 ; 206 
 5807 ; Почтовая карточка " р.Волга" ;  ;  ;  ;  ; 9 ; flutter ; 255 
 5808 ; Почтовая карточка "Нижний Новгород" ;  ;  ;  ;  ; 9 ; flutter ; 255 
 5809 ; Почтовая карточка "Оренбург" ;  ;  ;  ;  ; 16 ; flutter ; 483 
 5810 ; Почтовая карточка  "Мариинская площадь" ;  ;  ;  ;  ; 9 ; vlad77 ; 152 
 5811 ; Почтовая карточка "Крым" ;  ;  ;  ;  ; 18 ; suomi ; 306 
 5812 ; Почтовая карточка "Ессентуки" ;  ;  ;  ;  ; 11 ; Meshok ; 150 
 5813 ; Почтовая карточка "Алупка" ;  ;  ;  ;  ; 28 ; vlad77 ; 402 
 5814 ; Почтовая карточка "Артиллерийский бой" ;  ;  ;  ;  ; 29 ; Wulf ; 228 
 5815 ; Почтовая карточка "Много выбирать - женатым не бывать" ;  ;  ;  ;  ; 13 ; Gtm ; 470 
 5816 ; Почтовая карточка "Петроград" ;  ;  ;  ;  ; 28 ; ZIMOGOR ; 303 
 5817 ; Почтовая карточка "С.-Петербург" ;  ;  ;  ;  ; 40 ; Babasya ; 405 
 5818 ; Почтовая карточка "Москва" ;  ;  ;  ;  ; 55 ; Babasya ; 357 
 5819 ; Почтовая карточка "р. Волга" ;  ;  ;  ;  ; 17 ; flutter ; 408 
 5820 ; Почтовая карточка ;  ;  ;  ;  ; 55 ; Wulf ; 602 
 5821 ; Почтовые карточки "Московский Метрополитен" (24 штуки) ;  ;  ;  ;  ; 107 ; птичка16 ; 2600 
 5822 ; Почтовые карточки со спец. Гашением  (6 штук) "Отечественное авиастроение" ;  ;  ;  ;  ; 19 ; Ok203 ; 454 
 5823 ; Почтовые карточки (5 штук) из комплекта "Агитационные открытки гражданской войны" ;  ;  ;  ;  ; 42 ; 822 ; 1086 
 5824 ; Конверт со спец. Гашением (2 штуки) Рига, 22.11.59 ;  ;  ;  ;  ; 17 ; graf Giraffe ; 23 
 5825 ; Почтовые карточки (7 штук) 1956г. ;  ;  ;  ;  ; 32 ; Russel ; 340 
 5826 ; Почтовые карточки (2 штуки) худ. Д. Дмитриев ;  ;  ;  ;  ; 13 ; Chatsky ; 248 
 5827 ; Почтовые карточки (2 штуки) "Птицы" Mexico ;  ;  ;  ;  ; 13 ; igaist ; 104 
 5828 ; Почтовые карточки (4 штуки) 1955 г. ;  ;  ;  ;  ; 23 ; Папа с рацией ; 165 
 5829 ; Почтовые карточки (7 штук) Из монографической подборки открыток "Moop" 1959г ;  ;  ;  ;  ; 19 ; себер ; 327 
 5830 ; Почтовые карточки (6штук) ATVIRUKAS ;  ;  ;  ;  ; 29 ; igaist ; 308 
 5831 ; Почтовые карточки (3 штуки) Издание треста "Мосрекламсправиздат" 1929 г ;  ;  ;  ;  ; 28 ; Babasya ; 550 
 5832 ; Почтовые карточки (3 штуки)  Издание Московского Коммунального Хозяйства  1926 г. ;  ;  ;  ;  ; 41 ; Babasya ; 898 
 5833 ; Почтовая  карточка со спец. гашением 10.05.17г ;  ;  ;  ;  ; 17 ; Fa1Con ; 136 
 5834 ; Почтовая карточка Москва ;  ;  ;  ;  ; 31 ; doc2 ; 1071 
 5835 ; Почтовая карточка Москва ;  ;  ;  ;  ; 35 ; doc2 ; 1071 
