 5893 ; Открытка ;  ;  ;  ;  ; 19 ; SWRUS ; 91 
 5894 ; Открытка ;  ;  ;  ;  ; 17 ; SWRUS ; 101 
 5895 ; Открытка ;  ;  ;  ;  ; 10 ; фрегат ; 65 
 5896 ; Открытка ;  ;  ;  ;  ; 9 ; фрегат ; 89 
 5897 ; Лот конвертов со спецгашением "19ая САЭ"  (3 штуки, 1974 год) ;  ;  ;  ;  ; 20 ; Папа с рацией ; 203 
 5898 ; Лот конвертов со спецгашением  "Антарктида" (4 штуки, 1991год ) ;  ;  ;  ;  ; 7 ; Папа с рацией ; 129 
 5899 ; Лот конвертов со спецгашением "Северный полюс- 31" (3 штуки, 1988год) ;  ;  ;  ;  ; 5 ; рост ; 51 
 5900 ; Конверт со спецгашением "Антарктическая экспедиция" 1969год ;  ;  ;  ;  ; 8 ; Папа с рацией ; 159 
 5901 ; Конверт со спецгашением "Завершающий оборот" 1960г ;  ;  ;  ;  ; 17 ; Ok203 ; 420 
 5902 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры (10 штук, разные штампы) ;  ;  ;  ;  ; 11 ; doc2 ; 293 
 5903 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры (7 штук) ;  ;  ;  ;  ; 12 ; doc2 ; 201 
 5904 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры (6 штук, разные виды спорта) ;  ;  ;  ;  ; 11 ; doc2 ; 201 
 5905 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры (4 штуки, Гимнастика) ;  ;  ;  ;  ; 9 ; doc2 ; 111 
 5906 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры (3 штуки, Лёгкая атлетика) ;  ;  ;  ;  ; 7 ; doc2 ; 111 
 5907 ; Лот конвертов со спецгашением . Москва-80 XXII Олимпийские игры ( 7 штук) ;  ;  ;  ;  ; 12 ; doc2 ; 242 
 5908 ; Лот конвертов со спецгашением (4 штуки+ почтовая карточка) 1963год ;  ;  ;  ;  ; 11 ; topotun ; 126 
 5909 ; Лот конвертов со спецгашением (2 штуки) 40 лет Советской Почтовой Марки 1961год ;  ;  ;  ;  ; 15 ; topotun ; 126 
 5910 ; Лот конвертов со спецгашением (2 штуки) 43-я годовщина Советской Армии  1961 год ;  ;  ;  ;  ; 10 ; doc2 ; 120 
 5911 ; Лот конвертов со спецгашением (5 штук) "20 лет со дня Победы Советского народа в Великой Отечественной Войне" 1965год ;  ;  ;  ;  ; 35 ; topotun ; 293 
 5912 ; Конверт со спецгашением "Норвежский Красный крест" отправлен полевой почтой из Финляндии во время II Мировой Войны ;  ;  ;  ;  ; 21 ; doc2 ; 400 
 5913 ; Конверт со спецгашением "Второй Всесоюзный съезд советских художников " (1963 год) ;  ;  ;  ;  ; 3 ; Ratmen ; 57 
 5914 ; Конверт со спецгашением (Токио, Япония 1967год) ;  ;  ;  ;  ; 9 ; look12 ; 16 
 5915 ; Лот конвертов со спецгашением (3 штуки) ;  ;  ;  ;  ; 7 ; Папа с рацией ; 113 
 5916 ; Лот конвертов со спецгашением (3 штуки) ;  ;  ;  ;  ; 9 ; Папа с рацией ; 113 
 5917 ; Конверт со спецгашением XXV лет Советской Антарктической экспедиции 1981 год ;  ;  ;  ;  ; 16 ; doc2 ; 161 
 5918 ; Лот конвертов со спецгашением  "Северный полюс- 26" (3 штуки) ;  ;  ;  ;  ; 14 ; Папа с рацией ; 204 
 5919 ; Лот конвертов со спецгашением  (2 штуки, 1977г) ;  ;  ;  ;  ; 9 ; Папа с рацией ; 51 
 5920 ; Лот конвертов со спецгашением "Мирный"  (2 штуки, 1979год) ;  ;  ;  ;  ; 9 ; Папа с рацией ; 113 
 5921 ; Лот конвертов со спецгашением  (3 штуки, 2001г) РАЭ "Прогресс" ;  ;  ;  ;  ; 23 ; Папа с рацией ; 335 
 5922 ; Лот конвертов со спецгашением  (2 штуки, одно с вложением, 1976г) ;  ;  ;  ;  ; 9 ; Папа с рацией ; 51 
 5923 ; Лот конвертов со спецгашением  "День космонавтики" (2 штуки, 1976год) ;  ;  ;  ;  ; 13 ; Папа с рацией ; 309 
 5924 ; Лот конвертов со спецгашением  (3 штуки, одно с вложением, 1989год) ;  ;  ;  ;  ; 7 ; Папа с рацией ; 113 
 5925 ; Лот конвертов со спецгашением "СП- 29" (4 штуки 1987/88года) ;  ;  ;  ;  ; 19 ; Папа с рацией ; 335 
 5926 ; Лот конвертов со спецгашением  "35 САЭ нач.ст. Будрецкий" (4 штуки, 1991г) ;  ;  ;  ;  ; 13 ; Папа с рацией ; 335 
 5843 ; Почтовая карточка "Воронеж" 1918 год ;  ;  ;  ;  ; 12 ; Блюхер ; 183 
 5844 ; Почтовая карточка (2 штуки) Ст. Грязи 1918 год ;  ;  ;  ;  ; 15 ; 222211 ; 488 
 5845 ; Почтовая карточка (2 штуки) Ст. Грязи 1918 год ;  ;  ;  ;  ; 14 ; flutter ; 509 
 5846 ; Почтовая карточка (2 штуки) Ст. Лиски 1917 год ;  ;  ;  ;  ; 4 ; 222211 ; 386 
 5847 ; Почтовая карточка "Корабль", прошла корабельную почту ;  ;  ;  ;  ; 10 ; контраст ; 132 
 5848 ; Лот почтовых карточек, прошедших корабельную почту (3 штуки, SILJA LINE) ;  ;  ;  ;  ; 7 ; aletta ; 91 
 5849 ; Почтовая карточка. Окр. Кисловодска ;  ;  ;  ;  ; 3 ; aletta ; 89 
 5850 ; Почтовая карточка до 1917 года ;  ;  ;  ;  ; 3 ; aletta ; 31 
 5851 ; Почтовая карточка. Левъ Толстой ;  ;  ;  ;  ; 25 ; Ratmen ; 120 
 5852 ; Почтовая карточка. Арцыбашсвъ. М. ;  ;  ;  ;  ; 29 ; doc2 ; 111 
 5853 ; Почтовая карточка. Дорога к лагерю. Путь в Комендатуру (Германия) ;  ;  ;  ;  ; 28 ; igaist ; 123 
 5854 ; Почтовая карточка. George studio. Fresno. Gal. ;  ;  ;  ;  ; 3 ; aletta ; 16 
 5855 ; Лот почтовых карточек с гашением до 1917 года (2 штуки) ;  ;  ;  ;  ; 10 ; aletta ; 82 
 5856 ; Почтовая карточка с гашением.  Париж ;  ;  ;  ;  ; 3 ; aletta ; 16 
 5857 ; Почтовая карточка. Зимняя ночь въ Литве ;  ;  ;  ;  ; 23 ; Ratmen ; 120 
 5858 ; Лот почтовых карточек (2 штуки) Париж ;  ;  ;  ;  ; 24 ; контраст ; 106 
 5859 ; Почтовая карточка.Gibraltar ;  ;  ;  ;  ; 3 ; aletta ; 16 
 5860 ; Почтовая карточка. Берлин ;  ;  ;  ;  ; 20 ; doc2 ; 186 
 5861 ; Почтовая карточка Дорога из Ниццы в Монако ;  ;  ;  ;  ; 8 ; aletta ; 67 
 5862 ; Лот почтовых карточек. (2 штуки, Германия) , Bad Neuenahr ;  ;  ;  ;  ; 9 ; _La_sombra_ ; 68 
 5863 ; Открытое письмо с гашением 1987год ;  ;  ;  ;  ; 4 ; SER 888 ; 11 
 5864 ; Лот почтовых карточек (одна марка - Ледокол "Ермак") ;  ;  ;  ;  ; 15 ; Папа с рацией ; 91 
 5865 ; Лот почтовых карточек (5 штук) ;  ;  ;  ;  ; 5 ; Папа с рацией ; 91 
 5866 ; Почтовая карточка (2 штуки,  надорвана с одной стороны) ;  ;  ;  ;  ; 5 ; Ratmen ; 31 
 5867 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 5 ; 333985 ; 67 
 5868 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 7 ; 333985 ; 114 
 5869 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 39 ; 333985 ; 53 
 5870 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 7 ; 333985 ; 114 
 5871 ; Открытка. Пятигорск ;  ;  ;  ;  ; 8 ; фрегат ; 66 
 5872 ; Открытка. Одесса ;  ;  ;  ;  ; 16 ; Блюхер ; 78 
 5873 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 10 ; магаз ; 66 
 5874 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 17 ; фрегат ; 66 
 5875 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5876 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5877 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 5 ; flutter ; 111 
 5878 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 5 ; flutter ; 111 
 5879 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 66 
 5880 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 66 
 5881 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 66 
 5882 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 7 ; flutter ; 203 
 5883 ; Открытка. Военно - Грузинская дорога ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5884 ; Открытка ;  ;  ;  ;  ; 10 ; cr2952 ; 67 
 5885 ; Открытка ;  ;  ;  ;  ; 11 ; фрегат ; 65 
 5886 ; Открытка ;  ;  ;  ;  ; 5 ; Ceregga ; 67 
 5887 ; Открытка ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5888 ; Открытка ;  ;  ;  ;  ; 9 ; 1023oxana ; 126 
 5889 ; Открытка ;  ;  ;  ;  ; 9 ; магаз ; 46 
 5890 ; Открытка ;  ;  ;  ;  ; 9 ; Ratmen ; 67 
 5891 ; Открытка ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5892 ; Открытка ;  ;  ;  ;  ; 21 ; SWRUS ; 104 
 5568 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 9 ; sos1 ; 300 
 5569 ; Лот нотгельдов. 12 шт ;  ;  ;  ;  ; 11 ; Ok203 ; 612 
 5570 ; Лот нотгельдов. 12 шт ;  ;  ;  ;  ; 15 ; Ok203 ; 612 
 5571 ; Лот нотгельдов. 100 шт ;  ;  ;  ;  ; 51 ; Ok203 ; 4125 
 5572 ; Лот нотгельдов. 100 шт ;  ;  ;  ;  ; 39 ; Ok203 ; 4125 
 5573 ; Лот нотгельдов ( 80шт.) ;  ;  ;  ;  ; 18 ; Ok203 ; 2985 
 5574 ; Лот нотгельдов ( 90шт.) ;  ;  ;  ;  ; 20 ; Ok203 ; 3345 
 5800 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 22 ; doc2 ; 255 
 5801 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 12 ; doc2 ; 255 
 5802 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 18 ; doc2 ; 283 
 5803 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 22 ; doc2 ; 283 
 5804 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 7 ; 333985 ; 114 
 5805 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 14 ; doc2 ; 254 
 5806 ; Открытка. Христос Воскрес ;  ;  ;  ;  ; 9 ; doc2 ; 333 
 5807 ; Открытка. Мюнхен ;  ;  ;  ;  ; 13 ; look12 ; 67 
 5808 ; Открытка. Дрезден ;  ;  ;  ;  ; 10 ; doc2 ; 221 
 5809 ; Открытка. Париж ;  ;  ;  ;  ; 9 ; doc2 ; 221 
 5810 ; Открытка. Париж ;  ;  ;  ;  ; 27 ; птичка16 ; 365 
 5811 ; Открытка. Париж ;  ;  ;  ;  ; 11 ; doc2 ; 222 
 5812 ; Открытка. Париж ;  ;  ;  ;  ; 13 ; контраст ; 127 
 5813 ; Открытка ;  ;  ;  ;  ; 5 ; цеховик ; 57 
 5814 ; Открытка ;  ;  ;  ;  ; 3 ; слива ; 35 
 5815 ; Открытка ;  ;  ;  ;  ; 5 ; цеховик ; 57 
 5816 ; Открытка ;  ;  ;  ;  ; 8 ; магаз ; 22 
 5817 ; Открытка ;  ;  ;  ;  ; 8 ; магаз ; 26 
 5818 ; Открытка ;  ;  ;  ;  ; 7 ; guronidze ; 89 
 5819 ; Открытка ;  ;  ;  ;  ; 3 ; цеховик ; 56 
 5820 ; Открытка ;  ;  ;  ;  ; 12 ; фрегат ; 65 
 5821 ; Открытка ;  ;  ;  ;  ; 11 ; магаз ; 26 
 5822 ; Открытка ;  ;  ;  ;  ; 5 ; guronidze ; 65 
 5823 ; Открытка ;  ;  ;  ;  ; 7 ; igaist ; 51 
 5824 ; Открытка ;  ;  ;  ;  ; 8 ; магаз ; 26 
 5825 ; Открытка ;  ;  ;  ;  ; 3 ; Dnestr ; 36 
 5826 ; Открытка ;  ;  ;  ;  ; 3 ; магаз ; 35 
 5827 ; Открытка ;  ;  ;  ;  ; 3 ; магаз ; 35 
 5828 ; Открытка ;  ;  ;  ;  ; 9 ; look12 ; 71 
 5829 ; Открытка ;  ;  ;  ;  ; 6 ; магаз ; 16 
 5830 ; Почтовая карточка до 1917г.  "Среди ночи" ;  ;  ;  ;  ; 10 ; Ratmen ; 137 
 5831 ; Почтовая карточка до 1917г. "У дверей школы" ;  ;  ;  ;  ; 7 ; Ratmen ; 114 
