 5987 ; Конверт со спецгашением "Космос" ; 1975 ;  ;  ;  ; 5 ; Ok203 ; 159 
 5988 ; Лот почтовых конвертов со спецгашением "Антарктика" (4 штуки) ;  ;  ;  ;  ; 3 ; Alex ekb ; 159 
 5989 ; Лот почтовых конвертов со спецгашением "Антарктика" (3 штуки) ;  ;  ;  ;  ; 4 ; Папа с рацией ; 114 
 5990 ; Лот почтовых конвертов со спецгашением "Антарктика" (4 штуки) ;  ;  ;  ;  ; 7 ; Папа с рацией ; 257 
 5991 ; Лот почтовых конвертов со спецгашением "Антарктика" (4 штуки) ;  ;  ;  ;  ; 5 ; Папа с рацией ; 227 
 5992 ; Лот почтовых конвертов со спецгашением "Антарктика" (4 штуки) ;  ;  ;  ;  ; 4 ; Папа с рацией ; 114 
 5993 ; Лот почтовых конвертов со спецгашением "Антарктика" (4 штуки) ;  ;  ;  ;  ; 10 ; Папа с рацией ; 257 
 5994 ; Лот почтовых конвертов со спецгашением "Северный полюс" (7 штук) ;  ;  ;  ;  ; 9 ; Alex ekb ; 367 
 5995 ; Лот почтовых конвертов (20 штук) Космос ;  ;  ;  ;  ; 11 ; Ok203 ; 624 
 5996 ; Лот почтовых конвертов (20 штук) Олимпиада- 80 ;  ;  ;  ;  ; 18 ; lenohota ; 261 
 5997 ; Лот почтовых конвертов (20 штук) Олимпиада- 80 ;  ;  ;  ;  ; 7 ; Папа с рацией ; 211 
 5998 ; Лот почтовых конвертов (30 штук) ; 1962 ;  ;  ;  ; 22 ; 1=1 ; 569 
 5937 ; Почтовая карточка "С.-Петербургъ" ;  ;  ;  ;  ; 33 ; flutter ; 509 
 5938 ; Почтовая карточка "Петергофъ" ;  ;  ;  ;  ; 5 ; aletta ; 131 
 5939 ; Почтовая карточка "Петергофъ" ;  ;  ;  ;  ; 4 ; ВЕПРЬ ; 128 
 5940 ; Почтовая карточка "Петроградъ" ;  ;  ;  ;  ; 7 ; flutter ; 244 
