 5974 ; КПД. Италия "Олимпийские игры" ; 1960 ;  ;  ;  ; 74 ; doc2 ; 1247 
 5975 ; КПД. Австрия ; 1964 ;  ;  ;  ; 31 ; lenohota ; 135 
 5976 ; КПД. США "Почтовая служба" ; 1973 ;  ;  ;  ; 9 ; lenohota ; 81 
 5977 ; КПД со спецгашением. США "Космос" ; 1986 ;  ;  ;  ; 38 ; Папа с рацией ; 335 
 5978 ; КПД со спецгашением ; 1993 ;  ;  ;  ; 50 ; Ratmen ; 197 
 5924 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 9 ; птичка16 ; 202 
 5925 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 16 ; птичка16 ; 404 
 5926 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 12 ; dimass70 ; 363 
 5927 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 14 ; птичка16 ; 404 
 5928 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 11 ; птичка16 ; 404 
 5929 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 7 ; Alex ekb ; 155 
 5930 ; Почтовая карточка. Швеция ;  ;  ;  ;  ; 26 ; von_Schwarz ; 204 
 5931 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 56 ; doc2 ; 708 
 5932 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 5 ; von_Schwarz ; 159 
 5933 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 10 ; Komposter ; 126 
 5934 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 5 ; flutter ; 264 
 5935 ; Почтовая карточка. Петергофъ ;  ;  ;  ;  ; 11 ; ВЕПРЬ ; 80 
 5936 ; Почтовая карточка. Петергофъ ;  ;  ;  ;  ; 16 ; Gin2268 ; 140 
 5937 ; Почтовая карточка. Петроградъ ;  ;  ;  ;  ; 7 ; Komposter ; 120 
 5938 ; Почтовая карточка. Монплезиръ ;  ;  ;  ;  ; 9 ; sornoc ; 117 
 5939 ; Почтовая карточка. Царское Село ;  ;  ;  ;  ; 36 ; flutter ; 328 
 5940 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 6 ; cr2952 ; 217 
 5941 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 8 ; cr2952 ; 217 
 5942 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 5943 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 13 ; murka1973 ; 421 
 5944 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 8 ; aa_ras ; 329 
 5945 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 6 ; aa_ras ; 293 
 5946 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 16 ; krass ; 568 
 5947 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 8 ; krass ; 523 
 5948 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 11 ; krass ; 523 
 5949 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 18 ; aa_ras ; 577 
 5950 ; Почтовая карточка Pin- Ups ;  ;  ;  ;  ; 26 ; aa_ras ; 589 
 5951 ; Почтовая карточка. Элвис Пресли ;  ;  ;  ;  ; 1 ; cr2952 ; 147 
 5952 ; Почтовая карточка. Элвис Пресли ;  ;  ;  ;  ; 8 ; aa_ras ; 306 
 5953 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 12 ; krass ; 319 
 5954 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 8 ; aa_ras ; 306 
 5955 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 14 ; aa_ras ; 306 
 5956 ; Почтовая карточка.  "Вера Холодная с дочерью" ;  ;  ;  ;  ; 10 ; aa_ras ; 306 
 5957 ; Почтовая карточка.  "Для милого дружка и сережка из ушка" ;  ;  ;  ;  ; 12 ; SS2008 ; 291 
 5958 ; Лот почтовых карточек со спецгашением. Германия (3 штуки) ; 1970 ;  ;  ;  ; 20 ; lenohota ; 125 
 5959 ; Лот почтовых карточек со спецгашением  (6 штук)  ХХ лет космической эры ; 1977 ;  ;  ;  ; 19 ; Папа с рацией ; 199 
 5960 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 21 ; Папа с рацией ; 289 
 5961 ; Лот почтовых карточек (14 штук) ;  ;  ;  ;  ; 14 ; Папа с рацией ; 355 
 5962 ; Лот почтовых карточек со спецгашением. СССР (8 штук) ;  ;  ;  ;  ; 23 ; Приор ; 370 
 5963 ; Лот открыток ,посвящённых Олимпиаде 1980г (12 штук) ;  ;  ;  ;  ; 29 ; Папа с рацией ; 445 
 5964 ; Лот почтовых карточек СССР "Новый год!" (23 штуки) ;  ;  ;  ;  ; 32 ; себер ; 451 
 5965 ; Лот почтовых карточек (45 штук) К.Э.Циолковский ; 1982 ;  ;  ;  ; 22 ; Ratmen ; 530 
 5966 ; Лот почтовых карточек (32 штуки) Америка ;  ;  ;  ;  ; 46 ; nikolas13 ; 1224 
 5967 ; Лот почтовых карточек.  (32 штуки) ;  ;  ;  ;  ; 26 ; nikolas13 ; 407 
 5968 ; Лот открыток "Русские броненосцы"  (16 штук) ; 1980 ;  ;  ;  ; 29 ; gandy ; 407 
 5969 ; Конверт с гашением 1978 ;  ;  ;  ;  ; 11 ; Папа с рацией ; 183 
 5970 ; Лот почтовых конвертов со спецгашением (2 штуки)  "Космос" ;  ;  ;  ;  ; 24 ; Папа с рацией ; 335 
 5971 ; Лот почтовых конвертов со спецгашением (3 штуки) ; 1958/1959 ;  ;  ;  ; 17 ; Ratmen ; 91 
 5972 ; Конверт с сургучной печатью ; 1903 ;  ;  ;  ; 31 ; змеелов ; 82 
 5973 ; Лот повреждённых писем и конвертов с сургучной печатью ; 1896-1905 ;  ;  ;  ; 27 ; змеелов ; 153 
 5874 ; Почтовая карточка. ( Лот 6шт.) ;  ;  ;  ;  ; 13 ; Ratmen ; 301 
 5875 ; Почтовая карточка. ( Лот 6шт.) ;  ;  ;  ;  ; 11 ; nikolas13 ; 230 
 5876 ; Почтовая карточка. ( Лот 6шт.) ;  ;  ;  ;  ; 7 ; Dnestr ; 170 
 5877 ; Почтовая карточка. ( Лот 6шт.) ;  ;  ;  ;  ; 11 ; nikolas13 ; 301 
 5878 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 8 ; aa_ras ; 329 
 5879 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 14 ; cr2952 ; 319 
 5880 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 24 ; Slavinator ; 727 
 5881 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 4 ; aa_ras ; 294 
 5882 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 10 ; aa_ras ; 465 
 5883 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 4 ; visitor ; 319 
 5884 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 6 ; aa_ras ; 351 
 5885 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 8 ; aa_ras ; 712 
 5886 ; Почтовая карточка Pin Ups ;  ;  ;  ;  ; 25 ; Slavinator ; 1022 
 5887 ; Почтовая карточка. Элвис Пресли ;  ;  ;  ;  ; 1 ; cr2952 ; 147 
 5888 ; Почтовая карточка. Элвис Пресли ;  ;  ;  ;  ; 1 ; cr2952 ; 147 
 5889 ; Почтовая карточка "Мерлин Монро" ;  ;  ;  ;  ; 6 ; aa_ras ; 357 
 5890 ; Почтовая карточка "Мерлин Монро" ;  ;  ;  ;  ; 12 ; krass ; 319 
 5891 ; Почтовая карточка "Мерлин Монро" ;  ;  ;  ;  ; 6 ; aa_ras ; 386 
 5892 ; Почтовая карточка "Мерлин Монро" ;  ;  ;  ;  ; 12 ; aa_ras ; 306 
 5893 ; Почтовая карточка. Севастьяновъ ;  ;  ;  ;  ; 5 ; aa_ras ; 67 
 5894 ; Почтовая карточка. ;  ;  ;  ;  ; 9 ; фрегат ; 60 
 5895 ; Почтовая карточка. "Ростовъ н/Д." ;  ;  ;  ;  ; 33 ; sony ; 293 
 5896 ; Почтовая карточка. "За урокомъ" ;  ;  ;  ;  ; 5 ; фрегат ; 60 
 5897 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 9 ; donbass ; 97 
 5898 ; Лот фотокарточек (2 штуки) ;  ;  ;  ;  ; 15 ; nikolas13 ; 82 
 5899 ; Фотокарточка  (Вологда. К. Бараньевъ" ;  ;  ;  ;  ; 29 ; doc2 ; 101 
 5900 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 18 ; Alex ekb ; 255 
 5901 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 19 ; птичка16 ; 404 
 5902 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 9 ; птичка16 ; 202 
 5903 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 9 ; dimass70 ; 167 
 5904 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 18 ; dimass70 ; 363 
 5905 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 18 ; птичка16 ; 404 
 5906 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 11 ; птичка16 ; 202 
 5907 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 11 ; птичка16 ; 201 
 5908 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 13 ; птичка16 ; 404 
 5909 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 9 ; dimass70 ; 159 
 5910 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 7 ; Alex ekb ; 155 
 5911 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 9 ; птичка16 ; 202 
 5912 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 7 ; Alex ekb ; 155 
 5913 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 13 ; птичка16 ; 404 
 5914 ; Почтовая карточка до 1917 года. Уралъ ;  ;  ;  ;  ; 11 ; птичка16 ; 404 
