 5966 ; КПД США ; 1938 ;  ;  ;  ; 17 ; Либра ; 106 
 5967 ; Лот почтовых конвертов (КПД Финляндия, 2 штуки) "Новый год" ;  ;  ;  ;  ; 13 ; Alex ekb ; 111 
 5968 ; Лот почтовых конвертов (КПД Венгрия, 2 штуки) ;  ;  ;  ;  ; 9 ; aletta ; 22 
 5969 ; Лот почтовых конвертов (КПД США, 2 штуки) ; 1948 ;  ;  ;  ; 11 ; зашел посмотреть ; 87 
 5970 ; Лот почтовых конвертов (КПД США, 4 штуки) ; 1948 ;  ;  ;  ; 12 ; aletta ; 99 
 5971 ; Лот почтовых конвертов (КПД США, 2 штуки) ; 1948 ;  ;  ;  ; 13 ; зашел посмотреть ; 87 
 5972 ; КПД США ; 1949 ;  ;  ;  ; 36 ; mirumir ; 114 
 5973 ; КПД США ; 1950 ;  ;  ;  ; 21 ; doc2 ; 170 
 5974 ; Лот почтовых конвертов (КПД Швейцария, 3 штуки) ;  ;  ;  ;  ; 13 ; Папа с рацией ; 99 
 5975 ; КПД США ; 1952 ;  ;  ;  ; 7 ; mirumir ; 77 
 5976 ; Лот почтовых конвертов (КПД США, 2 штуки) ; 1953 ;  ;  ;  ; 22 ; Fa1Con ; 159 
 5977 ; Лот почтовых конвертов (КПД США, 4 штуки) Маннергейм ; 1960 ;  ;  ;  ; 27 ; Либра ; 228 
 5978 ; Почтовый  конверт со спецгашением с Полярной станции ; 2007 ;  ;  ;  ; 39 ; Папа с рацией ; 303 
 5979 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 13 ; Папа с рацией ; 453 
 5980 ; Лот почтовых конвертов со спецгашением (80 штук) Олимпиада-80 ;  ;  ;  ;  ; 42 ; topotun ; 2044 
 5981 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов. Редакция 38 ;  ;  ;  ;  ; 42 ; Гость с Севера ; 262 
 5982 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год. ;  ;  ;  ;  ; 32 ; чукча ; 204 
 5983 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год. ;  ;  ;  ;  ; 17 ; val_diver ; 113 
 5984 ; В.П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг. ;  ;  ;  ;  ; 43 ; чукча ; 157 
 5985 ; Клады в вашем доме. 2009 год ;  ;  ;  ;  ; 16 ; чукча ; 227 
 5916 ; Почтовая карточка. Познань. Польша ;  ;  ;  ;  ; 17 ; igaist ; 101 
 5917 ; Почтовая карточка. Нидерланды. Парад ;  ;  ;  ;  ; 5 ; bristol ; 128 
 5918 ; Почтовая карточка. "Свободный город Фиуме. Италия. Порт" ;  ;  ;  ;  ; 3 ; aletta ; 48 
 5919 ; Лот почтовых карточек (3 штуки) Рим ;  ;  ;  ;  ; 13 ; Алекс8787 ; 148 
 5920 ; Лот почтовых карточек (2 штуки) Париж ;  ;  ;  ;  ; 15 ; контраст ; 147 
 5921 ; Почтовая карточка. Италия . Пиза ;  ;  ;  ;  ; 3 ; aletta ; 48 
 5922 ; Лот почтовых карточек (2 штуки) Великобритания. Ливерпуль ;  ;  ;  ;  ; 8 ; Алекс8787 ; 97 
 5923 ; Лот почтовых карточек (2 штуки) Нидерланды ;  ;  ;  ;  ; 7 ; nikolas13 ; 95 
 5924 ; Лот почтовых карточек (2 штуки) Голландия ;  ;  ;  ;  ; 7 ; nikolas13 ; 95 
 5925 ; Лот почтовых карточек (3 штуки) "Французская колония" ;  ;  ;  ;  ; 18 ; ВЕПРЬ ; 157 
 5926 ; Лот почтовых карточек (2 штуки) Дрезден ;  ;  ;  ;  ; 7 ; nikolas13 ; 95 
 5927 ; Лот почтовых карточек (3 штуки) Мюнхен ;  ;  ;  ;  ; 10 ; nikolas13 ; 151 
 5928 ; Лот почтовых карточек (2 штуки) Karlsbad ;  ;  ;  ;  ; 7 ; nikolas13 ; 95 
 5929 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 26 ; flutter ; 352 
 5930 ; Почтовая карточка. В пользу  Общины Св. Евгении (Красный крест) "Харьковъ" ;  ;  ;  ;  ; 15 ; R1971 ; 152 
 5931 ; Почтовая карточка. В пользу  Общины Св. Евгении (Красный крест) "Крымъ" ;  ;  ;  ;  ; 34 ; ВЕПРЬ ; 127 
 5932 ; Почтовая карточка. В пользу  Общины Св. Евгении (Красный крест) "Павловскъ" ;  ;  ;  ;  ; 3 ; aletta ; 48 
 5933 ; Почтовая карточка. В пользу  Общины Св. Евгении (Красный крест) "Малороссия" ;  ;  ;  ;  ; 5 ; aletta ; 67 
 5934 ; Почтовая карточка. В пользу  Общины Св. Евгении (Красный крест) ;  ;  ;  ;  ; 3 ; aletta ; 48 
 5935 ; Лот почтовых карточек (10 штук) "50 лет Октября!" ;  ;  ;  ;  ; 16 ; topotun ; 255 
 5936 ; Лот почтовых карточек (10 штук) "50 лет Октября!" ;  ;  ;  ;  ; 25 ; topotun ; 273 
 5937 ; Лот почтовых карточек (9 штук) ;  ;  ;  ;  ; 15 ; Alex ekb ; 629 
 5938 ; Лот почтовых карточек (9 штук) ;  ;  ;  ;  ; 22 ; Alex ekb ; 739 
 5939 ; Лот почтовых карточек (10 штук) ;  ;  ;  ;  ; 24 ; Ravilich ; 450 
 5940 ; Лот почтовых конвертов (КПД США, 3 штуки) ; 1956 ;  ;  ;  ; 14 ; Vitalievich ; 142 
 5941 ; Лот почтовых конвертов (КПД США, 3 штуки) ; 1955 ;  ;  ;  ; 15 ; зашел посмотреть ; 124 
 5942 ; Лот почтовых конвертов (КПД США, 2 штуки) ; 1955 ;  ;  ;  ; 7 ; зашел посмотреть ; 87 
 5943 ; Лот почтовых конвертов (КПД США, 2 штуки) ; 1954 ;  ;  ;  ; 16 ; зашел посмотреть ; 114 
 5944 ; Лот почтовых конвертов (КПД Финляндии, 4 штуки) "Спорт" ;  ;  ;  ;  ; 5 ; aletta ; 19 
 5945 ; Лот почтовых конвертов (КПД Финляндии, 4 штуки) "Новый год!" ;  ;  ;  ;  ; 5 ; aletta ; 16 
 5946 ; Лот почтовых конвертов (КПД Финляндии, 3 штуки) "Новый год!" ;  ;  ;  ;  ; 3 ; aletta ; 16 
 5947 ; Лот почтовых конвертов со спецгашением  (10 штук) ;  ;  ;  ;  ; 5 ; Ratmen ; 26 
 5948 ; Лот почтовых конвертов со спецгашением  (10 штук) ;  ;  ;  ;  ; 3 ; Ratmen ; 57 
 5949 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 21 ; Папа с рацией ; 451 
 5950 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 15 ; Ok203 ; 569 
 5951 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 9 ; Папа с рацией ; 261 
 5952 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 9 ; Папа с рацией ; 261 
 5953 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 8 ; Папа с рацией ; 261 
 5954 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 10 ; Папа с рацией ; 335 
 5955 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 18 ; Ok203 ; 414 
 5956 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 7 ; Папа с рацией ; 261 
 5957 ; Лот почтовых конвертов со спецгашением  (10 штук)  "Космос" ;  ;  ;  ;  ; 8 ; Папа с рацией ; 261 
