 5980 ; Конверт со спец. Гашением и с штампом прибытия (запечатан) с подписями а/л "Советский Союз" 21.05.98 ;  ;  ;  ;  ; 15 ; Папа с рацией ; 177 
 5981 ; Конверт со спец. Гашением и с штампом прибытия 1998 "Академик Федоров" ;  ;  ;  ;  ; 11 ; Папа с рацией ; 136 
 5982 ; Конверт со спец. Гашением (2 штуки) САЭ "Мирный" 12.03.79 ;  ;  ;  ;  ; 13 ; Папа с рацией ; 126 
 5983 ; Конверт со спец. Гашением и с штампом прибытия 11.09.87 Мурманск 10 лет Похода на Полюс "Арктика" ;  ;  ;  ;  ; 25 ; Папа с рацией ; 128 
 5984 ; Конверт со спец. Гашением  (3 штуки) САЭ "Мирный" 29.11.88 ;  ;  ;  ;  ; 25 ; lenohota ; 33 
 5985 ; Лот почтовых конвертов СССР со спецгашением (9 штук) ;  ;  ;  ;  ; 7 ; Ratmen ; 408 
 5986 ; Лот почтовых конвертов СССР со спецгашением (5 штук) ;  ;  ;  ;  ; 11 ; maymuse ; 293 
 5987 ; Лот почтовых конвертов СССР. Олимпиада-80 (6 штук) ;  ;  ;  ;  ; 21 ; Папа с рацией ; 293 
 5988 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады) "Олимпийский велотрек" ;  ;  ;  ;  ; 5 ; Ratmen ; 13 
 5989 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады) "Третьяковская галерея" ;  ;  ;  ;  ; 9 ; Ratmen ; 114 
 5990 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады) "СССР- участник семи олимпиад" ;  ;  ;  ;  ; 3 ; Ratmen ; 11 
 5991 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады) Стадион  "Динамо" ;  ;  ;  ;  ; 3 ; Ratmen ; 11 
 5992 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады)  Универсальный спортивный зал "Дружба" ;  ;  ;  ;  ; 3 ; Ratmen ; 11 
 5993 ; Лот почтовых карточек (10 штук, Игры XXII олимпиады) "Стадион имени С.М. Кирова" ;  ;  ;  ;  ; 14 ; Ratmen ; 22 
