 351 ; Медаль "За труды и храбрость при взятии Праги 24 октября 1794г" Екатерина II Новодел ;  ;  ; Br ; XF ; 38 ; Брат ; 20000 
 352 ; Медаль "За труды и храбрость при взятии Ганжи 3 января 1804г" D-34мм Новодел ;  ;  ; Br ; VF ; 43 ; Жбанов ; 26000 
 353 ; Плакета "За путешествие вокруг света" Новодел ;  ;  ; Br ; VF+ ; 33 ; Жбанов ; 30000 
 354 ; Медаль "В честь 25-летия шефства Николая I над 6-м Кирасирским полком королевства Пруссия" D-33мм Новодел ;  ;  ; Br ; XF+ ; 37 ; Жбанов ; 18000 
 355 ; Медаль "За возобновление Зимнего дворца" Николая I D-33мм Новодел ;  ;  ; Br ; XF+ ; 39 ; Жбанов ; 30000 
 356 ; Знак Отличник соц.соревнования министерство западугля  СССР №3333 ;  ;  ; Br, эмаль ; VF-XF ; 45 ; offroad ; 8500 
 357 ; Знак Отличник соц.соревнования наркоммясомолпрома  СССР №1428 ;  ;  ; Ag,эмаль ; XF ; 47 ; nivada12 ; 20514 
 358 ; Знак Отличник соц.соревнования наркомсовхозов СССР №1854 ;  ;  ; Ag,эмаль ; XF ; 63 ; legallegal ; 40000 
 359 ; Знак Отличник городского хозяйства Москвы №580 ;  ;  ; Ag,эмаль ; XF+ ; 46 ; Sky2 ; 32000 
 360 ; Знак Метро имени Л.М.Кагановича II очередь 1938г. №25703 ;  ;  ; Ag,эмаль ; XF ; 72 ; vic-dmitri ; 22000 
 361 ; Жетон призовой секции кровного собаководства ;  ;  ; Ag,эмаль ; XF ; 35 ; Vitek99 ; 4200 
 362 ; Знак За отличную стрельбу РККА ;  ;  ; Ж/м,эмаль ; VF ; 53 ; Sky2 ; 15000 
 363 ; Знак За активную работу в ЦК ПОСЛЕДГОЛ (комиссии по ликвидации последствий голода при ВЦИК. РСФСР) ;  ;  ; Ag,эмаль ; VF ; 77 ; сторож91 ; 55000 
 301 ; Полушка ; 1759 ;  ; Cu ; VF+ ; 56 ; Продано в зале ; 5750 
