 6610 ; Пуговица Швеция ; начало 20 века ;  ; Ж/м ;  ; 9 ; Meshok ; 255 
 6611 ; Пуговица Швеция ; начало 20 века ;  ; Ж/м ;  ; 11 ; Meshok ; 255 
 6612 ; Пуговица Швеция ; начало 20 века ;  ; Ж/м ;  ; 11 ; Meshok ; 225 
 6613 ; Пуговица Швеция ; начало 20 века ;  ; Ж/м ;  ; 20 ; Meshok ; 250 
 6614 ; Пуговица Швеция ; начало 20 века ;  ; Ж/м ;  ; 10 ; Meshok ; 255 
 6615 ; Пуговица Швеция ; начало 20 века ;  ; Б/м ;  ; 9 ; Meshok ; 255 
 6616 ; Тарелка 4 шт. Клеймо CARLSBAD.26. D-235 мм ;  ;  ;  ;  ; 35 ; Kartu ; 906 
 6617 ; Сырница. Фабрика М.С.Кузнецова в Риге. Размер 250х125 ;  ;  ;  ;  ; 24 ; лена ; 1500 
 6618 ; Корпус каретных часов. Латунь. Размер 100х95 h130 ;  ;  ; Ж/м ;  ; 39 ; alapabula ; 7254 
 6619 ; Марочница. Латунь. Размер 115х75 h50 ;  ;  ; Ж/м ;  ; 29 ; alapabula ; 2549 
 6620 ; Рукоять печать. Бюст Помпея. Италия. L-105 мм ; середина 19в ;  ; Базальт ;  ; 16 ; alfvolkov ; 1254 
 6506 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 32 ; schwab ; 1700 
 6507 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 52 ; Dimitr1 ; 556 
 6508 ; Псевдонимы российского рубля ;  ;  ;  ;  ; 49 ; aleksandr733 ; 227 
 6509 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 39 ; SwaggaRakka ; 320 
 6510 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 38 ; viridis ; 315 
 6511 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 87 ; Terem ; 301 
 6512 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 16 ; Terem ; 126 
 6513 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 16 ; велес ; 127 
 6514 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 17 ; SIEMENS_S75 ; 124 
 6515 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 16 ; 1=1 ; 158 
 6516 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 10 ; Ser_doh ; 124 
 6517 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 15 ; alfvolkov ; 172 
 6518 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 3 ; maximus8404 ; 152 
 6519 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 17 ; brigand811 ; 170 
 6520 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 24 ; горный ; 179 
 6521 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 16 ; Rober ; 59 
 6522 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2017 годов. Редакция 43 ;  ;  ;  ;  ; 11 ; barbos ; 23 
 6523 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2013 годов. Редакция 34 ;  ;  ;  ;  ; 5 ; barbos ; 22 
 6524 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 24 ; Deol86 ; 101 
 6525 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 3 ; barbos ; 4 
 6526 ; Каталог-справочник. Юбилейные и памятные монеты Казахстана 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 7 ; Ser_doh ; 28 
 6527 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 7 ; Ser_doh ; 38 
 6528 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 26 ; barbos ; 193 
 6529 ; Сборник коллекционных аукционов  «Конрос» N 6-10, 2001 год, с результатами ;  ;  ;  ;  ; 40 ; Zakhapisty ; 219 
