 6620 ; Пуговица ;  ;  ; Б/м ;  ; 22 ; stilsb ; 249 
 6621 ; Пуговица ;  ;  ; Ж/м ;  ; 10 ; salim ; 91 
 6622 ; Пуговица ;  ;  ; Ж/м ;  ; 25 ; persik ; 91 
 6623 ; Пуговица ;  ;  ; Ж/м ;  ; 24 ; salim ; 124 
 6624 ; Пуговица ;  ;  ; Ж/м ;  ; 37 ; фюрстен ; 339 
 6625 ; Пуговица ;  ;  ; Ж/м ;  ; 16 ; doc2 ; 591 
 6626 ; Пуговица ;  ;  ; Ж/м ;  ; 40 ; doc2 ; 467 
 6627 ; Пуговица ;  ;  ; Ж/м ;  ; 29 ; stilsb ; 306 
 6628 ; Пуговица ;  ;  ; Ж/м ;  ; 40 ; doc2 ; 420 
 6629 ; Пуговица ;  ;  ; Ж/м ;  ; 17 ; doc2 ; 340 
 6630 ; Пуговица ;  ;  ; Ж/м ;  ; 30 ; doc2 ; 414 
 6631 ; Пуговица ;  ;  ; Ж/м ;  ; 49 ; stilsb ; 197 
 6632 ; Пуговица ;  ;  ; Ж/м ;  ; 28 ; Гектор8 ; 227 
 6633 ; Пуговица ;  ;  ; Ж/м ;  ; 31 ; stilsb ; 378 
 6634 ; Пуговица ;  ;  ; Ж/м ;  ; 25 ; doc2 ; 273 
 6635 ; Пуговица ;  ;  ; Ж/м ;  ; 11 ; doc2 ; 255 
 6636 ; Пуговица ;  ;  ; Ж/м ;  ; 35 ; Gin2268 ; 239 
 6637 ; Пуговица ;  ;  ; Ж/м ;  ; 17 ; doc2 ; 407 
 6638 ; Пуговица ;  ;  ; Ж/м ;  ; 29 ; doc2 ; 432 
 6639 ; Пуговица ;  ;  ; Ж/м ;  ; 12 ; stilsb ; 216 
 6640 ; Пуговица ;  ;  ; Ж/м ;  ; 19 ; doc2 ; 342 
 6641 ; Пуговица ;  ;  ; Ж/м ;  ; 23 ; doc2 ; 335 
 6642 ; Пуговица ;  ;  ; Ж/м ;  ; 48 ; doc2 ; 524 
 6643 ; Пуговица ;  ;  ; Ж/м ;  ; 27 ; salim ; 199 
 6644 ; Пуговица ;  ;  ; Ж/м ;  ; 15 ; stilsb ; 207 
 6645 ; Пуговица ;  ;  ; Ж/м ;  ; 30 ; фюрстен ; 247 
 6646 ; Пуговица ;  ;  ; Ж/м ;  ; 46 ; stilsb ; 335 
 6647 ; Пуговица ;  ;  ; Ж/м ;  ; 21 ; salim ; 192 
 6648 ; Пуговица ;  ;  ; Ж/м ;  ; 36 ; stilsb ; 270 
 6649 ; Пуговица ;  ;  ; Б/м ;  ; 48 ; фюрстен ; 227 
 6650 ; Пуговица ;  ;  ; Ж/м ;  ; 60 ; фюрстен ; 334 
 6651 ; Пуговица ;  ;  ; Ж/м ;  ; 54 ; doc2 ; 343 
 6652 ; Пуговица ;  ;  ;  ;  ; 20 ; salim ; 104 
 6653 ; Пуговица ;  ;  ;  ;  ; 6 ; salim ; 36 
 6654 ; Пуговица ;  ;  ;  ;  ; 13 ; О)(ОТНИК ; 74 
 6655 ; Пуговица ;  ;  ;  ;  ; 11 ; DIMA 57 ; 95 
 6656 ; Пуговица ;  ;  ;  ;  ; 5 ; ask ; 26 
 6657 ; Пуговица ;  ;  ;  ;  ; 23 ; ask ; 91 
 6658 ; Пуговица ;  ;  ;  ;  ; 2 ; О)(ОТНИК ; 3 
 6659 ; Пуговица ;  ;  ;  ;  ; 8 ; Russman ; 12 
 6660 ; Пуговица США ;  ;  ;  ;  ; 1 ; Superpelmen ; 2 
 6661 ; Пуговица ;  ;  ;  ;  ; 26 ; salim ; 114 
 6662 ; Пуговица ;  ;  ;  ;  ; 15 ; DPSKR ; 71 
 6663 ; Пуговица ;  ;  ;  ;  ; 8 ; О)(ОТНИК ; 9 
 6664 ; Пуговица ;  ;  ;  ;  ; 22 ; О)(ОТНИК ; 45 
 6665 ; Пуговица ;  ;  ;  ;  ; 20 ; О)(ОТНИК ; 45 
 6666 ; Лот пуговиц 2шт ;  ;  ;  ;  ; 20 ; (.!.) ; 46 
 6667 ; Свисток оловянный h-73мм ;  ;  ; Ж/м ;  ; 6 ; Barin13 ; 124 
 6501 ; Репринтное издание. Ю. Иверсена. 1874 год. Неизданные и редкие русские медали ;  ;  ;  ;  ; 24 ; ВУЛ ; 46 
 6502 ; Каталог почтовых марок Швейцарии и Лихтенштейна 1998 ;  ;  ;  ;  ; 1 ; aletta ; 2 
 6503 ; В.В. Уздеников. Монеты России 1700-1917. Издательство "Финансы и статистика". Москва 1986 ;  ;  ;  ;  ; 17 ; Голдер ; 623 
 6504 ; Журнал Петербургский коллекционер 1 (57). 2010 ;  ;  ;  ;  ; 11 ; 102.meshok ; 100 
 6505 ; А.А.Щелоков/ Атлас бумажных денег РСФСР 1918-1924. Издетельство "ЭКСМО". Москва 2013 ;  ;  ;  ;  ; 64 ; Babasya ; 1357 
 6506 ; Журнал Петербургский коллекционер 2 (64). 2011 ;  ;  ;  ;  ; 15 ; 102.meshok ; 100 
 6507 ; Кудряшов Е.В. Бесфамильная В.А. Капитульные списки пожалованных знаком отличия военного ордена Святого Георгия 4 степени №21985-№23500 №28502-№31000. Издательство: "БУКИ ВЕДИ". Москва 2015 ;  ;  ;  ;  ; 25 ; m-antique ; 516 
 6508 ; Кудряшов Е.В. Бесфамильная В.А.  списки пожалованных Георгиевской медалью "За храбрость". Издательство: "БУКИ ВЕДИ". Москва 2015 ;  ;  ;  ;  ; 41 ; m-antique ; 1281 
 6509 ; А.А Щелоков. Монеты СССР. Издательство Финансы и Статистика. Москва 1986 ;  ;  ;  ;  ; 9 ; goro-vovka ; 510 
 6510 ; Кудряшов Е.В. Бесфамильная В.А. Капитульные списки пожалованных знаком отличия военного ордена Святого Георгия 4 степени №81000-91100. Издательство: "Миттель Пресс". Москва 2016 ;  ;  ;  ;  ; 32 ; m-antique ; 1278 
 6511 ; Гомулин Е.В. Ишенин. М.А. Капитульные списки пожалованных знаком отличия военного ордена Святого Георгия 4 степени №2-30000. Издательство: "Миттель Пресс". Москва 2019 ;  ;  ;  ;  ; 69 ; icebreaker ; 2334 
 6512 ; Аукционный каталог Gorny & Mosch. 13/14 октября 2016 ;  ;  ;  ;  ; 6 ; ВУЛ ; 57 
 6513 ; Кавалеры ордена Святого Георгия победоносца ; 1994 ;  ;  ;  ; 13 ; жених ; 385 
 6514 ; В.Д. Кривцов. Аверс №7. Энциклопедический справочник для нумизматов. Москва, 2005 ;  ;  ;  ;  ; 41 ; Babasya ; 2244 
 6515 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 278. 22 июня 2016 ;  ;  ;  ;  ; 13 ; ВУЛ ; 79 
 6516 ; Аукционный каталог DNW. Аукцион 142. 13,14,15 сентября 2017 ;  ;  ;  ;  ; 7 ; ВУЛ ; 34 
