 6607 ; Блюдце фирмы Александр Качъ ;  ;  ; Ж/м ;  ; 44 ; volkova21 ; 263 
 6608 ; Подстаканник ;  ;  ; Ж/м ;  ; 43 ; coba ; 2550 
 6609 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 6610 ; Зеркальце. Эмаль ;  ;  ; Ж/м ;  ; 13 ; WASP ; 200 
 6611 ; Бюст маленький. ;  ;  ; Ж/м ;  ; 21 ; lavist ; 337 
 6612 ; Копилка на 1 фунт стерлингов ;  ;  ; Б/м ;  ; 22 ; Sky2 ; 793 
 6613 ; Набор вилок 6 штук. Фирма Александр Качъ. ;  ;  ; Ж/м ;  ; 37 ; 21011984andrei ; 1100 
 6614 ; Набор ложек 6 штук. Фирма Кольчугин.з-д ;  ;  ; Ж/м ;  ; 38 ; esacsa ; 516 
 6615 ; Паштетница Fraget ;  ;  ; Ж/м ;  ; 32 ; coba ; 1040 
 6616 ; Компас ;  ;  ; Ж/м ;  ; 37 ; flutter ; 665 
 6617 ; Канделябр Barker Ellis. Англия ;  ;  ; Ж/м ;  ; 29 ; Espaniol_2015 ; 1530 
 6618 ; Кружка пивная Rotary Club of Berwick-upon-Tweed. Англия ;  ;  ; Ж/м ;  ; 43 ; 111111 ; 2251 
 6619 ; Пушка лафетная, модель. Латунь ;  ;  ; Ж/м ;  ; 57 ; Месси ; 2043 
 6620 ; Поднос большой. Швеция ;  ;  ; Ж/м ;  ; 29 ; $@€ ; 1780 
 6621 ; Стопка  3 шт. ;  ;  ; Ж/м ;  ; 24 ; fish77 ; 357 
 6622 ; Молочник и сахарница. Европа ;  ;  ; Ж/м ;  ; 37 ; 76895 ; 1348 
 6623 ; Медный горшок для соли. Швеция ;  ;  ; Cu ;  ; 63 ; ОВМ ; 1579 
 6624 ; Медный горшок для соли. ;  ;  ; Cu ;  ; 46 ; volkova21 ; 1222 
 6625 ; Медная солонка ;  ;  ; Cu ;  ; 20 ; volkova21 ; 261 
 6626 ; Сахарница ;  ;  ; Ж/м ;  ; 48 ; $@€ ; 814 
 6627 ; Чайник с узором. Европа ;  ;  ; Ж/м ;  ; 45 ; $@€ ; 1587 
 6628 ; Кофейник с узорм. Англия ;  ;  ; Жм ;  ; 22 ; 100924 ; 1528 
 6629 ; Конфетница. Англия ;  ;  ; Ж/м ;  ; 52 ; $@€ ; 1247 
 6630 ; Горшок медный с ручкой ;  ;  ; Cu ;  ; 39 ; ОВМ ; 816 
 6631 ; Вазочка ALPAKKA. Европа ;  ;  ; Ж/м ;  ; 36 ; Sk-masshtab ; 354 
 6632 ; Щипцы для сахара. Европа ;  ;  ; Ж/м ;  ; 15 ; flutter ; 287 
 6633 ; Монетница. Европа ;  ;  ; Ж/м ;  ; 43 ; Sky2 ; 1133 
 6634 ; Подсечники парные, тяжелые. Латунь ;  ;  ; Ж/м ;  ; 74 ; 111111 ; 2042 
 6635 ; Кружка ;  ;  ; Ж/м ;  ; 34 ; Tall Ships ; 533 
 6636 ; Чайник медный на 1.5 литра. Европа ;  ;  ; Ж/м ;  ; 32 ; Жордж ; 1275 
 6637 ; Копилка металлическая Tailor Law & Co. Англия ;  ;  ; Ж/м ;  ; 53 ; Sky2 ; 809 
 6638 ; Копилка Barclays Bank с кодом. Англия ;  ;  ;  ;  ; 66 ; -$$$- ; 804 
 6639 ; Модель авто 1:43 OXFORD DIE-CAST. Англия ;  ;  ;  ;  ; 58 ; Женя50 ; 1438 
 6640 ; Наперсток серебряный Henry Griffith & Sons Ltd. Англия ;  ;  ; Ag ;  ; 46 ; KAIN1955 ; 1262 
 6641 ; Пуговица ;  ;  ; Ж/м ;  ; 7 ; doc2 ; 114 
 6642 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 11 ; Hellssten ; 93 
 6643 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 17 ; doc2 ; 202 
 6644 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 14 ; doc2 ; 111 
 6645 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 12 ; doc2 ; 222 
 6646 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 12 ; doc2 ; 222 
 6647 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 13 ; doc2 ; 132 
 6648 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 7 ; doc2 ; 122 
 6649 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 11 ; doc2 ; 169 
 6650 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 6 ; Fest ; 111 
 6651 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 11 ; doc2 ; 169 
 6652 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 10 ; doc2 ; 153 
 6653 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 3 ; Vox ; 74 
 6654 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Ж/м ;  ; 3 ; Vox ; 74 
 6655 ; Пуговица Швеция ; конец XIX - нач XX века ;  ; Б/м ;  ; 14 ; doc2 ; 169 
 6656 ; Пряжка ;  ;  ; Ж/м ;  ; 86 ; jugla ; 6331 
 6519 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 25 ; Valli1407 ; 176 
 6520 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 28 ; Sergey Pavlov ; 186 
 6521 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 25 ; prostor.71 ; 176 
 6522 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 11 ; Espaniol_2015 ; 84 
 6523 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 19 ; carre ; 153 
 6524 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 33 ; Чуча ; 87 
 6525 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 18 ; student123 ; 126 
 6526 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 23 ; student123 ; 101 
 6527 ; Открытки к 200-летию Петербурга. С. С. Мяник ;  ;  ;  ;  ; 40 ; Краснодар ; 214 
 6528 ; Сборник коллекционных аукционов  «Конрос» N17 – 20, 2003 год, с результатами ;  ;  ;  ;  ; 5 ; Тони ; 46 
 6529 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 10 ; prostor.71 ; 69 
 6530 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 39 ; *T*T*T* ; 7242 
 6531 ; Оптовый лот, 54 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 6 ; mirny ; 306 
 6532 ; Оптовый лот, 20 книг (коробка). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 18 ; zaborr ; 2155 
 6533 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 18 ; Бигль ; 1400 
 6534 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 36 ; zaborr ; 6720 
 6535 ; Е.И. Овсянкин. Архангельские деньги. Второе, переработанное и дополненное издание. Архангельск 2008 ;  ;  ;  ;  ; 13 ; psrjdf1863 ; 212 
 6536 ; С.И. Поляков. Полоцкий кадетский корпус. История в лицах. Выпуск 12. 2010г ;  ;  ;  ;  ; 17 ; Маша-растеряша ; 100 
 6537 ; Музей истории денег. Санкт-Петербург. АО "Гознак". ;  ;  ;  ;  ; 29 ; Maksim92 ; 304 
 6538 ; М. Гаршин. Русские монеты. Репринтное издание ;  ;  ;  ;  ; 8 ; ВУЛ ; 79 
 6539 ; Фалеристика Всесоюзного студенческого отряда. Санкт-Петербург. Издательство "Александр ПРИНТ" 2009 ;  ;  ;  ;  ; 18 ; серж 78 ; 426 
 6540 ; Константиновский рубль. Москва. Финансы и статистика. 1991 ;  ;  ;  ;  ; 19 ; Kurgan ; 211 
 6541 ; Каталог почтовых марок Швейцарии и Лихтенштейна 1997 ;  ;  ;  ;  ; 5 ; aletta ; 13 
 6542 ; М.М. Максимов. Очерк о золоте. Издательство "Недра" 1977 ;  ;  ;  ;  ; 7 ; жених ; 114 
 6543 ; Художники Гознака. Иван Иванович Дубасов. Экспозиция "История денег". Санкт-Петербург, 2018 ;  ;  ;  ;  ; 32 ; Asandr ; 210 
 6544 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 17 ; Ефимка ; 215 
 6545 ; В.В. Нечитайло. Каталог монет крымского хана Шахин-Гирея. Киев 2012 ;  ;  ;  ;  ; 43 ; KFV19 ; 784 
 6546 ; М.В. Забураев. Разновидности двухкопеечных монет 1810-1830г. Практическо руководство для собирателей монет. Санкт-Петербург, 2013 ;  ;  ;  ;  ; 32 ; olq ; 997 
 6547 ; Е.И. Овсянкин. Архангельские деньги. Второе, переработанное и дополненное издание. Архангельск 2008 ;  ;  ;  ;  ; 12 ; aleks1753 ; 228 
 6548 ; И.М. Станиславский. Монеты Боспорского царства и их стоимость 1вв. До н.э. - IV н.э. Москва, 2000 ;  ;  ;  ;  ; 23 ; Kurgan ; 1236 
 6549 ; Памятные и инвестиционные монеты России. Alligator money project. Май 2017 ;  ;  ;  ;  ; 22 ; ___AleX___ ; 88 
 6550 ; Каталог почтовых марок Германии и Западной Европы. 1993/94 ;  ;  ;  ;  ; 17 ; aletta ; 73 
 6551 ; Каталог почтовых почтовый карточек Германии 1995 ;  ;  ;  ;  ; 3 ; aletta ; 32 
 6552 ; Специализированный каталог почтовых марок 1923-1940. Часть 1. Санкт-Петербур 1999 ;  ;  ;  ;  ; 46 ; гоша334 ; 510 
 6553 ; Каталог Российских монет (1725-1970) Роберт Р.Харрис. Санка Круз. Калифорния. США ;  ;  ;  ;  ; 53 ; uxx ; 466 
 6554 ; Сергей Соломка. Каталог почтовых марок. Санкт-Петербур  2005г ;  ;  ;  ;  ; 15 ; vlad77 ; 192 
 6555 ; Двести лет истории Гознака 1818+. Музей истории денег АО "Гознак" ;  ;  ;  ;  ; 33 ; Ravak_1981 ; 401 
 6556 ; Я.М. Белицкий, Г.Н. Глезер. Рассказы об открытках. Издательство: "Радио и связь". Москва 1986 ;  ;  ;  ;  ; 36 ; Григорий Богослов ; 343 
 6557 ; Коллекция служит людям. Лениздат 1973г ;  ;  ;  ;  ; 5 ; vladimirV ; 100 
 6558 ; Каталог почтовых карточек и конвертов с оригинальными марками. Второе издание. Санкт-Петербур  2006г ;  ;  ;  ;  ; 8 ; Григорий Богослов ; 134 
 6559 ; Аукционный каталог Bruun Rasmussen. Аукцион 746. 16 июня 2005г ;  ;  ;  ;  ; 19 ; ВУЛ ; 102 
 6560 ; Каталог рекламно-агитационных  почтовых карточек и конвертов, односторонних карточек СССР 1924-1980. Санкт-Петербург 2002 ;  ;  ;  ;  ; 9 ; Георг ; 242 
 6561 ; Эротические фотографии WOMEN BY WOMEN ;  ;  ;  ;  ; 32 ; 462 ; 999 
 6562 ; Книга LA PHOTO DE CHARME ;  ;  ;  ;  ; 9 ; aletta ; 819 
 6601 ; Кофейник Nilsson Eskilstuna. Швеция ;  ;  ; Ж/м ;  ; 51 ; mask ; 2313 
 6602 ; Кофейник VINERS OF SHEFFIELD. Англия ;  ;  ; Ж/м ;  ; 22 ; $@€ ; 1530 
 6603 ; Солонка NORBLIN&Co GALW WARSZAWA ;  ;  ; Ж/м ;  ; 16 ; volkova21 ; 408 
 6604 ; Копилка Утка. Англия ;  ;  ; Ж/м ;  ; 83 ; psrjdf1863 ; 1367 
 6605 ; Подстаканник эмаль. ;  ;  ; Ж/м ;  ; 32 ; ОВМ ; 453 
 6606 ; Подстаканник Ветка винограда  NORBLIN&Co GALW WARSZAWA ;  ;  ; Ж/м ;  ; 11 ; flutter ; 510 
 6469 ; Лист №7 для альбома «Памятные монеты Республики Казахстан». Россия, #3213077 ;  ;  ;  ;  ; 11 ; LEXAI ; 31 
 6470 ; Лист №2 для альбома «Памятные монеты Республики Казахстан». Россия, #3214072 ;  ;  ;  ;  ; 3 ; LEXAI ; 23 
