 6605 ; Стопка большая/стакан узорный. Европа ;  ;  ; Ж/м ;  ; 26 ; volkova21 ; 475 
 6606 ; Зажигалка настольная Ronson. Франция ;  ;  ; Ж/м ;  ; 35 ; EMF ; 1530 
 6607 ; Шейкер. Европа ;  ;  ; Ж/м ;  ; 5 ; alapabula ; 714 
 6608 ; Набор для паштета WELLNER. Германия ;  ;  ; Ж/м ;  ; 40 ; Виталий74 ; 1324 
 6609 ; Кольцо для салфеток h-20мм. Европа ;  ;  ; Ж/м ;  ; 22 ; ВМШ ; 147 
 6610 ; Кольцо для салфеток h-27мм. Европа ;  ;  ; Ж/м ;  ; 36 ; ВМШ ; 169 
 6611 ; Кольцо для салфеток h-33мм. Европа ;  ;  ; Ж/м ;  ; 24 ; ВМШ ; 318 
 6612 ; Ведро для льда. Европа ;  ;  ; Ж/м ;  ; 41 ; alapabula ; 2607 
 6613 ; Блюдо под устрицы. Европа ;  ;  ; Ж/м ;  ; 18 ; $@€ ; 680 
 6614 ; Хрустальный набор 2 предмета. Европа ;  ;  ;  ;  ; 79 ; никсер ; 2133 
 6615 ; Набор столовых принадлежностей 50 предметов. GEE&HOLMES LTD. Англия ;  ;  ; Ж/м ;  ; 47 ; Agava ; 4866 
 6616 ; Набор из 6 рюмок в коробке. СССР ;  ;  ; Ж/м ;  ; 37 ; fish77 ; 2607 
 6617 ; Сахарница и молочник ;  ;  ;  ;  ; 56 ; krass ; 3434 
 6618 ; Ложка для икры. ;  ;  ; Ag ;  ; 40 ; $@€ ; 2660 
 6619 ; Брошь  Франц Иосиф. Европа ;  ;  ;  ;  ; 22 ; Чуча ; 349 
 6620 ; Часы карманные, ключевые. Европа ;  ;  ;  ;  ; 67 ; volkova21 ; 1593 
 6621 ; Щипцы для сахара Fraget WARSZAWIE ;  ;  ; Ж/м ;  ; 25 ; Reks ; 1206 
 6622 ; Стакан. Европа ;  ;  ; Ж/м ;  ; 16 ; volkova21 ; 585 
 6623 ; Ложечка чайная. ;  ;  ; Ag ;  ; 39 ; Goshka ; 3089 
 6624 ; Подстаканник. Ягоды. ;  ;  ; Ж/м ;  ; 21 ; volkova21 ; 691 
 6625 ; Лопатка для торта ;  ;  ; Ж/м ;  ; 50 ; Дарвин ; 220 
 6626 ; Икорница ;  ;  ; Ж/м ;  ; 27 ; krass ; 1530 
 6627 ; Накладка ;  ;  ; Ж/м ;  ; 20 ; RAPAN ; 663 
 6628 ; Стопка мельхиор ;  ;  ; Ж/м ;  ; 19 ; volkova21 ; 239 
 6629 ; Накладка/эмблема ВСЕГДА ГОТОВ ;  ;  ; Ж/м ;  ; 7 ; volkova21 ; 608 
 6630 ; Погоны Старшего лейтенанта ж/д войск, обр. 1943 г. ;  ;  ;  ;  ; 32 ; Прохожий_21 ; 3186 
 6631 ; Блюдо слоны ;  ;  ; Ж/м ;  ; 50 ; Жордж ; 2550 
 6632 ; Часы карманные. D-45мм. Швейцария ;  ;  ; Ag ;  ; 69 ; Rober ; 1773 
 6633 ; Часы карманные BEVILARD, ключевые, D-50мм ;  ;  ;  ;  ; 54 ; flutter ; 1206 
 6634 ; Подстаканник ;  ;  ; Ж/м ;  ; 14 ; Юра Хой ; 305 
 6635 ; Соусник ;  ;  ; Ж/м ;  ; 11 ; Kartu ; 453 
 6636 ; Кожанный чехол ;  ;  ;  ;  ; 13 ; Sky2 ; 333 
 6637 ; Пули дульные, лот из 6 штук ;  ;  ;  ;  ; 67 ; lenohota ; 329 
 6638 ; Конфетница скань. ;  ;  ;  ;  ; 59 ; Logistik ; 982 
 6639 ; Парные ложечки. Утки. 2шт. ;  ;  ; Ag ;  ; 73 ; Pipe ; 3468 
 6640 ; Ложка с узором. Европа ;  ;  ; Ag ;  ; 32 ; Alex22D ; 1203 
 6641 ; Ситечко для чая. Европа ;  ;  ; Ag ;  ; 34 ; $@€ ; 1360 
 6642 ; Вилка для мяса. Европа ;  ;  ; Ag ;  ; 38 ; Dimius ; 1111 
 6643 ; Вилка для рыбы. Европа ;  ;  ; Ag ;  ; 40 ; Приор ; 870 
 6644 ; Ложка чайная узор. Швеция ;  ;  ; Ag ;  ; 46 ; Goshka ; 956 
 6645 ; Ложка чайная лилии. Gotland ;  ;  ; Ag ;  ; 102 ; ask ; 1332 
 6646 ; Брошь. Ружье. Европа. Серебрение ;  ;  ; ж/м ;  ; 35 ; roza77 ; 444 
 6504 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 16 ; Wireless oyster ; 134 
 6505 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 22 ; Starche ; 134 
 6506 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 16 ; Wireless oyster ; 123 
 6507 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 33 ; Starche ; 169 
 6508 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 29 ; Starche ; 187 
 6509 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 32 ; Starche ; 171 
 6510 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 8 ; Андрей/Пермь ; 165 
 6511 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 8 ; Wireless oyster ; 153 
 6512 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 5 ; ppp ; 152 
 6513 ; Репринтное издание. Ю. Иверсена. 1874 год. Неизданные и редкие русские медали ;  ;  ;  ;  ; 7 ; kotik309 ; 9 
 6514 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 33 ; Starche ; 48 
 6515 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 24 ; solo5 ; 255 
 6516 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 8 ; Чуча ; 44 
 6517 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 2 ; az717 ; 3 
 6518 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 30 ; Starche ; 41 
 6519 ; Клады в вашем доме. 2009 год ;  ;  ;  ;  ; 7 ; ярамаска ; 83 
 6520 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2017 годов. Редакция 43 ;  ;  ;  ;  ; 5 ; az717 ; 5 
 6521 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2013 годов. Редакция 34 ;  ;  ;  ;  ; 3 ; nikki999 ; 3 
 6522 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург. 2019 ;  ;  ;  ;  ; 38 ; vlad77 ; 475 
 6523 ; Михаил Стрелов. Юбилейные и памятные монеты вышедшие на территории бывшего СССР в 19-21 веках. 2003г ;  ;  ;  ;  ; 9 ; Ravak_1981 ; 203 
 6524 ; Каталог монет России 1700-1917гг. Редакция 3 Январь 2018 года. Нумизмания. Санкт-Петербург ;  ;  ;  ;  ; 42 ; Starche ; 214 
 6525 ; Каталог Юбилейные и памятные монеты СССР 1965-1989гг ;  ;  ;  ;  ; 22 ; vladmarkin ; 38 
 6526 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 5 ; scaevola ; 500 
 6527 ; Аукционный каталог World-Wide Coins of California James F. Elmen. Монеты и медали мира. 15 мая 2014 ;  ;  ;  ;  ; 6 ; vlad77 ; 80 
 6528 ; Аукционный каталог World-Wide Coins of California James F. Elmen. Монеты и медали мира. 25 января 2018 ;  ;  ;  ;  ; 10 ; vlad77 ; 163 
 6529 ; О древних русских и славянских монетах. Письмо князю С.Г. Строганову. 1885 г. ;  ;  ;  ;  ; 20 ; Kartu ; 2550 
 6530 ; Книга "Искуство медали" А.В. Косарева ;  ;  ;  ;  ; 7 ; scaevola ; 107 
 6531 ; Аукционный каталог World-Wide Coins of California James F. Elmen. Монеты и медали мира. 18 мая 2017 ;  ;  ;  ;  ; 9 ; vlad77 ; 163 
 6532 ; Г.А. Федоров-Давыдов. Монеты рассказывают. ;  ;  ;  ;  ; 13 ; Kartu ; 159 
 6533 ; Лот из 4-х каталогов SNY № 1,2,3,4. 2012г ;  ;  ;  ;  ; 32 ; vlad77 ; 115 
 6534 ; А.Н. Чеснокова. Северная столица в старых открытках. Немцы в Петербурге. Издательство: "САТИС". Санкт-Петербург 2001 ;  ;  ;  ;  ; 17 ; vladimirV ; 400 
 6535 ; Аукцин №3 медные монеты Российской Империи. 28 февраля 2009г ;  ;  ;  ;  ; 11 ; vlad77 ; 92 
 6536 ; Лот из 4-х каталогов SNY № 1,2,3,4. 2011г ;  ;  ;  ;  ; 27 ; vlad77 ; 114 
 6537 ; Летний нумизматический аукцион. Монеты и медали. Аукцион № 58. 20 июня 2009 ;  ;  ;  ;  ; 11 ; vlad77 ; 155 
 6538 ; Справочник цен. Закрытые письма СССР 1941-1945 ;  ;  ;  ;  ; 39 ; graff36alex ; 503 
 6539 ; Самые красивые и знаменитые деньги мира. Мир энциклопедии Аванта+. Астрель. Москва ;  ;  ;  ;  ; 33 ; scaevola ; 528 
 6540 ; Аукцион № 1 Антикварные книги, карты, фотографии, плакаты. 28 марта 2009 ;  ;  ;  ;  ; 7 ; cr5400 ; 73 
 6541 ; Аукцион № 2 Ордена, медали и монеты Императорской России. 13 декабря 2008г ;  ;  ;  ;  ; 13 ; vlad77 ; 207 
 6542 ; Аукцион номинал. Второй аукцион союза бонистов. Москва. 28-29 апреля 2012г ;  ;  ;  ;  ; 18 ; 76895 ; 114 
 6543 ; Аукционный каталог BALDWINN S AUCTIONS. Аукцион 57. 23-24 сентября 2008 ;  ;  ;  ;  ; 9 ; vlad77 ; 79 
 6544 ; Лот из 4-х каталогов SNY № 1,2,3,4. 2010г ;  ;  ;  ;  ; 8 ; vlad77 ; 102 
 6545 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 21 ; zaborr ; 6999 
 6546 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 61 ; zaborr ; 1428 
 6547 ; Оптовый лот. 6 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 49 ; Sky2 ; 1733 
 6548 ; Оптовый лот. 4 книги (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 38 ; Terem ; 4230 
 6549 ; Оптовый лот. 40 книг (10 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 30 ; Terem ; 33295 
 6601 ; Зеркало 19 век. Япония ;  ;  ; Ж/м ;  ; 37 ; hobby19 ; 2122 
 6602 ; Поднос BOSSI. Италия ;  ;  ; Ж/м ;  ; 50 ; GOBSEK ; 1040 
 6603 ; Сахарница WESKEMANN. Европа ;  ;  ; Ж/м ;  ; 58 ; $@€ ; 1501 
 6604 ; Икорница. Европа ;  ;  ; Ж/м ;  ; 21 ; $@€ ; 906 
 6454 ; Лист для монет серии "200 лет Победы в Отечественной войне". Россия, #А22Р6 ;  ;  ;  ;  ; 11 ; Ok13 ; 82 
 6455 ; Лист №3 для боны "Игры 2014 в Сочи". Россия, #5514033 ;  ;  ;  ;  ; 7 ; Meshok ; 65 
 6456 ; Лист №1 для Альбома «Памятные монеты России из недрагоценных металлов». Россия, #3113051 ;  ;  ;  ;  ; 7 ; LEXAI ; 78 
 6457 ; Лист №3 для Альбома «Памятные монеты России из недрагоценных металлов». Россия, #4813053 ;  ;  ;  ;  ; 7 ; flutter ; 79 
 6458 ; Лист на 8 монет 10 рублей. Серии: Города воинской славы. Альбо Нумисматико, #4613063 ;  ;  ;  ;  ; 5 ; flutter ; 80 
 6459 ; Лист для набора монет«50 лет Великой Победы». Россия, #1411051 ;  ;  ;  ;  ; 7 ; LEXAI ; 78 
