 6651 ; Шкатулка ALBERTVS DVRERVS. Европа ;  ;  ; Ж/м ;  ; 62 ; krass ; 3611 
 6652 ; Чайная ложка. Швеция ;  ;  ; Ag ;  ; 39 ; 1023oxana ; 1790 
 6653 ; Вилка. Швеция ;  ;  ; Ag ;  ; 21 ; Meshok ; 804 
 6654 ; Ложечка маленькая. Швеция ;  ;  ; Ag ;  ; 14 ; ask ; 456 
 6655 ; Ложка. Европа ;  ;  ; Ag ;  ; 71 ; КВ50 ; 1181 
 6656 ; Фигура. Обезьяна. Мрамор ;  ;  ;  ;  ; 74 ; Dahan ; 1057 
 6657 ; Фигура. Лев. Мрамор ;  ;  ;  ;  ; 33 ; Ma_X_iM ; 702 
 6658 ; Фигура. Орел. Мрамор ;  ;  ;  ;  ; 78 ; Ma_X_iM ; 769 
 6659 ; Коллекционная модель автомобиля Москвич-403. Германия, Herpa. Масштаб 1/87 ;  ;  ;  ;  ; 27 ; танкер Дербент ; 1062 
 6660 ; Модель автомобиля Corgi toys Bond Bug 700ES. Великобритания ; 1970 ;  ;  ;  ; 59 ; hobby19 ; 624 
 6661 ; Коллекционная модель DAF XF 105SSC Zugmaschine. Германия, Hepra. Масштаб 1/87 (менее 200 экз.) ;  ;  ;  ;  ; 62 ; EmCteklo ; 818 
 6662 ; Винтажная модель бензовоза "Majorette". Франция. Коробка (из коробки не вынимался) ;  ;  ; Металл, пластик ;  ; 49 ; Asandr ; 800 
 6663 ; Пресс-папье Кабуто самруая. Япония ;  ;  ; Ж/м ;  ; 28 ; oleghh7 ; 713 
 6664 ; Пресс-папье криминальной полиции г. Осака. Р-ры~96х73мм. Япония. Коробка ;  ;  ; Ж/м ;  ; 36 ; Sky2 ; 795 
 6601 ; Кошелек с монограммой 84 проба ;  ;  ; Ag ;  ; 115 ; Русские не сдаются ; 6821 
 6602 ; Кофейник. Европа ;  ;  ; Ж/м ;  ; 46 ; Kartu ; 1796 
 6603 ; Кофейник, ручка бакелит. Англия ;  ;  ; Ж/м ;  ; 47 ; evgen 66 ; 1561 
 6604 ; Конфетница. Англия ;  ;  ; Ж/м ;  ; 63 ; evgen 66 ; 1020 
 6605 ; Молочник. Англия ;  ;  ; Ж/м ;  ; 22 ; evgen 66 ; 512 
 6606 ; Сахарница. Англия ;  ;  ; Ж/м ;  ; 46 ; Pipe ; 2276 
 6607 ; Шкатулка. Тюбенген. Германия ;  ;  ; Ж/м ;  ; 35 ; vlasik ; 1112 
 6608 ; Пепельница. Пчела. Касли ;  ;  ; Ж/м ;  ; 63 ; scaevola ; 5100 
 6609 ; Подсвечники 2 шт. ;  ;  ; Ж/м ;  ; 62 ; алкид ; 972 
 6610 ; Икона БМ Споручница грешных ;  ;  ;  ;  ; 40 ; krass ; 3853 
 6611 ; Кофейник средний. NORBLIN&Co WARSZAWA ;  ;  ; Ж/м ;  ; 31 ; алкид ; 2244 
 6612 ; Сливочник. SCHIFFERS WARSZAWIE ;  ;  ; Ж/м ;  ; 27 ; Kartu ; 2544 
 6613 ; Подстаканник. ;  ;  ; Ag ;  ; 63 ; Maxim914 ; 3096 
 6614 ; Ложка. ;  ;  ; Ag ;  ; 56 ; фюрстен ; 1451 
 6615 ; Чайные ложки. 2шт. ;  ;  ; Ag ;  ; 46 ; Nelgom ; 1708 
 6616 ; Ковш медный. ;  ;  ; Ж/м ;  ; 26 ; алкид ; 563 
 6617 ; Поднос для кофейного набора. NORBLIN&Co WARSZAWA ;  ;  ; Ж/м ;  ; 18 ; evgen 66 ; 1593 
 6618 ; Бюст А.П.Чехов. Монументскульптура 1956 г., автор Полякова Т. ;  ;  ; Б/м ;  ; 20 ; V5 ; 5000 
 6619 ; Подсвечник с гасителем. Англия ;  ;  ; Ж/м ;  ; 43 ; Жордж ; 1675 
 6620 ; Кофейник. F.B. Rogers. Америка ;  ;  ; Ж/м ;  ; 48 ; КВ50 ; 1937 
 6621 ; Молочник. Англия ;  ;  ; Ж/м ;  ; 24 ; kompman ; 722 
 6622 ; Соусник. Англия ;  ;  ; Ж/м ;  ; 35 ; Оляяя ; 683 
 6623 ; Пепельница. ;  ;  ; Ж/м ;  ; 33 ; stilsb ; 556 
 6624 ; Набор бокалов 2 шт. Англия ;  ;  ; Ж/м ;  ; 63 ; КВ50 ; 750 
 6625 ; Кружка пивная, масоны. Англия ;  ;  ; Ж/м ;  ; 59 ; Жордж ; 2948 
 6626 ; Пашотница. Англия ;  ;  ; Ж/м ;  ; 10 ; mirumir ; 204 
 6627 ; Копилка алфавит. ;  ;  ; Ж/м ;  ; 42 ; Лоцман ; 793 
 6628 ; Бокал для вина. Англия ;  ;  ; Ж/м ;  ; 32 ; oleghh7 ; 527 
 6629 ; Бокал для вина, маленький. Англия ;  ;  ; Ж/м ;  ; 28 ; КВ50 ; 359 
 6630 ; Лопатка. Коробка. Англия ;  ;  ; Ж/м ;  ; 23 ; oleghh7 ; 708 
 6631 ; Столовый набор из 3 предметов. Коробка. Англия ;  ;  ; Ж/м ;  ; 19 ; Meshok ; 784 
 6632 ; Столовый набор из 2 предметов. Коробка. Англия ;  ;  ; Ж/м ;  ; 23 ; Kartu ; 1195 
 6633 ; Набор чайных ложек 6 шт. Коробка. Англия ;  ;  ; Ж/м ;  ; 23 ; боровик ; 1062 
 6634 ; Книжка копилка. Англия ;  ;  ; Ж/м ;  ; 111 ; Лоцман ; 1122 
 6635 ; Копилка утка. Англия ;  ;  ; Ж/м ;  ; 20 ; $@€ ; 805 
 6636 ; Набор чайных ложек 10 шт. Англия ;  ;  ; Ж/м ;  ; 17 ; Nelgom ; 603 
 6637 ; Лопатка для торта. Англия ;  ;  ; Ж/м ;  ; 55 ; Agava ; 434 
 6638 ; Щипцы для сахара. ;  ;  ; Ж/м ;  ; 32 ; Экскурсовод ; 135 
 6639 ; Крест нательный ;  ;  ; Ж/м ;  ; 51 ; фюрстен ; 512 
 6640 ; Стакан оловянный. Европа ;  ;  ; Ж/м ;  ; 35 ; vlasik ; 465 
 6641 ; Стаканы парные оловянные. Европа. 2шт. ;  ;  ; Ж/м ;  ; 19 ; kompman ; 1008 
 6642 ; Стопка оловянная. Европа ;  ;  ; Ж/м ;  ; 45 ; Ибранец ; 334 
 6643 ; Стопки парные оловянные. Европа. 2 шт ;  ;  ; Ж/м ;  ; 25 ; триори ; 430 
 6644 ; Стопка чернение, высокая ;  ;  ; Ag ;  ; 64 ; RAPAN ; 2075 
 6645 ; Стопка, чернение. ;  ;  ; Ag ;  ; 53 ; RAPAN ; 1729 
 6646 ; Рюмка, чернение ;  ;  ; Ag ;  ; 42 ; ЗАБРАЛО ; 1856 
