 6641 ; Вилка для рыбы.1931 г. Дания ;  ;  ; Ag ;  ; 16 ; donbass ; 692 
 6642 ; Вилка с узором. 1949 г. Дания ;  ;  ; Ag ;  ; 32 ; kompman ; 727 
 6643 ; Ложка чайная с узором. 1915 г. Дания ;  ;  ; Ag ;  ; 59 ; ask ; 1923 
 6644 ; Ложка чайная. Любек ;  ;  ; Ag ;  ; 25 ; corsar ; 541 
 6645 ; Ложка чайная. 2 шт ;  ;  ; Ж/м ;  ; 9 ; oleghh7 ; 333 
 6646 ; Номерок завод им.Молотова ;  ;  ; Al ;  ; 17 ; Чуча ; 77 
 6647 ; К.Маркс и Ф.Энгельс "Коммунистический МАНИФЕСТ" 1923г. ;  ;  ;  ;  ; 83 ; svzg ; 674 
 6648 ; Модель. Альфа Ромео. Herpa. 1/87. Германия ; 1990-е гг ;  ;  ;  ; 36 ; Жордж ; 999 
 6649 ; Модель.  Руссо-Балт. 1/43. СССР ; 1980-егг ;  ; Металл ;  ; 35 ; Agava ; 906 
 6650 ; Модель. Mercedes 190E раллийный DTM.. Herpa, 1/87. Германия ;  ;  ;  ;  ; 36 ; Жордж ; 1018 
 6651 ; Модель. Фольксваген Пассат B3. Фирма Herpa. 1/87. Германия ; 1990-е гг ;  ;  ;  ; 27 ; AAOO ; 263 
 6652 ; Модель. MB Vaneo. Фирма Herpa. 1/87. Германия ; 1990-е гг ;  ;  ;  ; 14 ; hobby19 ; 199 
 6653 ; Пуговица ;  ;  ; Ж/м ;  ; 15 ; doc2 ; 545 
 6654 ; Пуговица ;  ;  ; Ж/м ;  ; 21 ; doc2 ; 550 
 6655 ; Пуговица ;  ;  ; Ж/м ;  ; 15 ; erwin ; 867 
 6656 ; Пуговица ;  ;  ; Ж/м ;  ; 5 ; doc2 ; 333 
 6657 ; Пуговица ;  ;  ; Ж/м ;  ; 27 ; erwin ; 703 
 6658 ; Пуговица ;  ;  ; Ж/м ;  ; 15 ; ask ; 105 
