 6627 ; Шкатулка маленькая. Эмаль ;  ;  ; Ж/м ;  ; 19 ; Ricky Spanish ; 816 
 6628 ; Фруктница. Скань? ;  ;  ; Ж/м ;  ; 51 ; Ricky Spanish ; 619 
 6629 ; Подстаканник СССР ;  ;  ; Ж/м ;  ; 52 ; evgen 66 ; 1020 
 6630 ; Кувшин маленький/вазочка. ;  ;  ; Ж/м ;  ; 52 ; Лоцман ; 768 
 6631 ; Набор чайных ложек Волга 6шт. ;  ;  ; Ж/м ;  ; 49 ; fish77 ; 500 
 6632 ; Набор чайных ложек 6шт. ;  ;  ; Ж/м ;  ; 25 ; Копеечка ; 341 
 6633 ; Икона Богородицы "Неопалимая Купина" ;  ;  ;  ;  ; 71 ; zef ; 4950 
 6634 ; Икона Богородицы "Нечаянная радость" ;  ;  ;  ;  ; 94 ; zef ; 5209 
 6635 ; Икона Богородица Владимирская ;  ;  ;  ;  ; 88 ; vlasik ; 4036 
 6636 ; Крест нательный. ;  ;  ; Ж/м ;  ; 25 ; КСИФОС ; 614 
 6637 ; Подставка/блюдце 6шт., Европа. ;  ;  ; Ж/м ;  ; 82 ; КСИФОС ; 278 
 6638 ; Эполет Ленинградский Горный институт ;  ;  ; Ж/м ;  ; 68 ; Алексей73 ; 691 
 6639 ; Бинокль. ;  ;  ; Ж/м ;  ; 44 ; zef ; 941 
 6640 ; Навесной винтовой замок. ;  ;  ; Ж/м ;  ; 21 ; Ибранец ; 867 
 6641 ; Карандашница/чернильница, мыльный камень. ;  ;  ;  ;  ; 13 ; КСИФОС ; 340 
 6642 ; Тарелка 5 шт, Т-ва М.С. Кузнецова въ Будахъ ;  ;  ;  ;  ; 50 ; Руслан1981 ; 3319 
 6643 ; Иглы граммофонные. МОСОБЛСОВНАРХОЗ ;  ;  ;  ;  ; 116 ; шарик ; 1145 
 6644 ; Ваза. Индия ;  ;  ; Ж/м ;  ; 15 ; S.A.P. ; 273 
 6645 ; Шкатулка. СССР ;  ;  ;  ;  ; 19 ; boschenko ; 157 
 6646 ; Аметист ;  ;  ;  ;  ; 52 ; Сектор газа ; 1128 
 6647 ; Пуговица Кучера Берлинского дилижанса ;  ;  ; Ж/м ;  ; 28 ; doc2 ; 456 
 6648 ; Пуговица Немецкой железной дороги работника вагона-ресторана ;  ;  ; Ж/м ;  ; 20 ; doc2 ; 457 
 6649 ; Пуговица спальных вагонов м/народных направлений Франция ;  ;  ; Ж/м ;  ; 32 ; doc2 ; 491 
 6650 ; Пуговица Берлинский трамвай Вагоноважатый ;  ;  ; Ж/м ;  ; 28 ; doc2 ; 452 
 6651 ; Пуговица Прусского офицера ;  ;  ; Ж/м ;  ; 27 ; doc2 ; 499 
 6520 ; Специализированный каталог почтовых марок 1923-1940гг. Том 5, часть 1. Санкт-Петербург 1999г ;  ;  ;  ;  ; 32 ; Vova1950 ; 521 
 6521 ; Каталог почтовый карточек посвященных космосу. Выпуск 8 ;  ;  ;  ;  ; 52 ; Ok203 ; 1381 
 6522 ; B.F.BREKKE. Медные монеты Российской Империи 1700-1917. Мальмё 1977 ;  ;  ;  ;  ; 15 ; Лик 143 ; 567 
 6523 ; Ежегодный каталог-ценник для коллекционеров. Москва-1993г ;  ;  ;  ;  ; 6 ; Лик 143 ; 102 
 6524 ; Аукционный каталог № 6. Ордена, медали, знаки Российской Империи. 25 октября 2008 ;  ;  ;  ;  ; 9 ; sm-dc ; 151 
 6525 ; Аукционный каталог почтовых марок и конвертов. 23-25 апреля 1998г  Каталог монет мира 1800-06.2010. выпуск 1. 2010 ;  ;  ;  ;  ; 5 ; 102.meshok ; 100 
 6526 ; Аукционный каталог 11-й аукцион антикварных ценных бумаг. Часть 2. 8 и 9 ноября 2008г ;  ;  ;  ;  ; 27 ; Vova1950 ; 274 
 6527 ; Аукционный каталог № 15. Коллекционные монеты, медали, награды России и мира. 12 ноября 2011г ;  ;  ;  ;  ; 9 ; sm-dc ; 101 
 6528 ; Каталог монет мира 1800-06.2010. Выпуск 1. 2010 ;  ;  ;  ;  ; 21 ; cr5400 ; 370 
 6529 ; Антикварное обозрение иллюстрированный журнал №3. Санкт-Петербург 2007 ;  ;  ;  ;  ; 6 ; cr5400 ; 26 
 6530 ; Аукционный каталог № 15. Ордена, медали, знаки Российской Империи. 13 ноября 2011 ;  ;  ;  ;  ; 9 ; sm-dc ; 117 
 6531 ; Аукционный каталог № 19. Ордена, медали и монеты Императорской России. 11 февраля 2012г ;  ;  ;  ;  ; 8 ; sm-dc ; 156 
 6532 ; Аукционный каталог № 27. Монеты Императорской России. 5 октября 2013г ;  ;  ;  ;  ; 11 ; sm-dc ; 113 
 6533 ; Сборник коллекционер. Союз филателистов России. Москва 1995г ;  ;  ;  ;  ; 15 ; Пионерская правда ; 70 
 6534 ; Аукционный каталог № 59. Коллекционные Русские монеты и медали. 10 октября 2009г ;  ;  ;  ;  ; 19 ; sm-dc ; 137 
 6535 ; Аукционный каталог НОМИНАЛ. Боны, ценные бумаги ;  ;  ;  ;  ; 39 ; uxx ; 694 
 6536 ; Издатель Валерий Духанин. Фотоальбом 1/2. Москва 1993г ;  ;  ;  ;  ; 13 ; Лик 143 ; 378 
 6537 ; Оптовый лот. 36 книг (9 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 24 ; всёмоё ; 29888 
 6538 ; Оптовый лот. 4 книги ( коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 16 ; Terem ; 3774 
 6539 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 27 ; всёмоё ; 1145 
 6540 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 15 ; всёмоё ; 1609 
 6541 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 27 ; оптовичок ; 479 
 6542 ; Оптовый лот, 50 книг (коробка). Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 11 ; статир ; 5006 
 6543 ; Оптовый лот, 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 51 ; всёмоё ; 4641 
 6601 ; Наградной портсигар бойца РККА. Серебро, 1928 г. ;  ;  ; Ag ;  ; 71 ; СВИ ; 21930 
 6602 ; Портсигар Har-Bro. Англия ;  ;  ; Ж/м ;  ; 26 ; krass ; 714 
 6603 ; Статуэтка миниатюра Две таксы под зонтом. ;  ;  ; Ж/м ;  ; 17 ; жених ; 1428 
 6604 ; Статуэтка миниатюра Такса с бутылкой шампанского. ;  ;  ; Ж/м ;  ; 17 ; жених ; 847 
 6605 ; Статуэтка миниатюра Таксы 2 шт. ;  ;  ; Ж/м ;  ; 13 ; жених ; 347 
 6606 ; Печатка мужская. Золото. СССР ;  ;  ; Au ;  ; 36 ; msmaci ; 8874 
 6607 ; Солонка/перечница. Серебро, чернение. ;  ;  ; Ag ;  ; 39 ; жених ; 1644 
 6608 ; Стопка Листья. Серебро 84 ;  ;  ; Ag ;  ; 28 ; zef ; 1325 
 6609 ; Стопка эмаль 2 шт. СССР ;  ;  ; Ж/м ;  ; 19 ; жених ; 438 
 6610 ; Вилочка эмаль.Серебро ;  ;  ; Ag ;  ; 30 ; ulf ; 350 
 6611 ; Ложка столовая, 84 проба., 1857 г., вес- 64г ;  ;  ;  ;  ; 59 ; RAPAN ; 2903 
 6612 ; Ложка столовая, 84 проба, 1866 г., вес 67,5г ;  ;  ;  ;  ; 69 ; фюрстен ; 2004 
 6613 ; Ложка большая. Сфинксы 4 шт ;  ;  ; Ж/м ;  ; 25 ; ask ; 463 
 6614 ; Ложка серебро 84 пробы, 3шт ;  ;  ; Ag ;  ; 57 ; snupi ; 6649 
 6615 ; Нож для масла, серебро. Германия. ;  ;  ; Ag ;  ; 47 ; zef ; 1297 
 6616 ; Чайная ложка, серебро, 4шт. ;  ;  ; Ag ;  ; 31 ; pollipol ; 2632 
 6617 ; Ложка чайная, серебро, эмаль. ;  ;  ; Ag ;  ; 22 ; zef ; 675 
 6618 ; Ложка чайная маленькая, серебро, эмаль. ;  ;  ; Ag ;  ; 38 ; Пионерская правда ; 646 
 6619 ; Вилочка, серебро, эмаль. ;  ;  ; Ag ;  ; 19 ; ulf ; 361 
 6620 ; Ложка чайная цветок. ;  ;  ; Ag ;  ; 19 ; ask ; 499 
 6621 ; Набор чайных ложек Дельфины, 6 шт ;  ;  ; Ж/м ;  ; 7 ; Serjd ; 611 
 6622 ; Щипцы для сахара, серебро. Европа. ;  ;  ; Ag ;  ; 50 ; zef ; 765 
 6623 ; Брошь 50 сентаво. Серебро ;  ;  ; Ag ;  ; 47 ; Tall Ships ; 714 
 6624 ; Бронзовая печать. Россия. М-4,35гр ; 1739г ;  ; Br ; VG ; 86 ; seer ; 2334 
 6625 ; Часы дорожные с будильником Rinden. Япония ;  ;  ; Ж/м ;  ; 85 ; Goshka ; 4659 
 6626 ; Часы судовые с нижним подзаводом. 1952 г. СССР ;  ;  ; Ж/м ;  ; 30 ; Kosmas ; 4162 
 6470 ; Альбом на 48 монет ;  ;  ;  ;  ; 11 ; Алексей73 ; 119 
 6471 ; Альбом R010826 на 82 монеты ;  ;  ;  ;  ; 18 ; Unknown ; 114 
