 6615 ; Кольцо с камнем ;  ;  ; Ag925 ;  ; 37 ; КСИФОС ; 1022 
 6616 ; Губная гармошка. Двухсторонняя. Weltmeister. Р-ры~135x70мм ;  ;  ;  ;  ; 19 ; аймир ; 509 
 6617 ; Кубок по хоккею GLASCUPEN 1990. ;  ;  ;  ;  ; 10 ; Sk-masshtab ; 143 
 6618 ; Фигура Мальчик с мандолиной. ;  ;  ;  ;  ; 15 ; никсер ; 117 
 6619 ; Вазочка. Европа ;  ;  ;  ;  ; 13 ; msmaci ; 405 
 6620 ; Газета Правда от 15 апреля 1961 г. ;  ;  ;  ;  ; 16 ; anna22 ; 226 
 6621 ; Газета Правда от 13 апреля 1961 г. ;  ;  ;  ;  ; 47 ; aviator55 ; 1011 
 6622 ; Газета Советская Культура от 13 апреля 1961 г. ;  ;  ;  ;  ; 19 ; aviator55 ; 434 
 6623 ; Журнал Огонек №15 апрель 1976 г. ;  ;  ;  ;  ; 11 ; фарфор ; 148 
 6624 ; Пуговица ;  ;  ; Ж/м ;  ; 24 ; marconi605 ; 128 
 6625 ; Пуговица ;  ;  ; Б/м ;  ; 26 ; persik ; 150 
 6626 ; Компас. Культурпромобъединение. Москва. З-д "Физприбор". D-44,5мм ;  ;  ; Ж/м ;  ; 16 ; Штык ; 500 
 6627 ; Памятная тарелка со вставкой 2 марки Шварцбург-Рудольштадт ;  ;  ; Ж/м ;  ; 20 ; ratiandr ; 4080 
 6427 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 7 ; voron-74-47 ; 152 
 6428 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 17 ; zmike1869 ; 163 
 6429 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 15 ; МММ ; 155 
 6430 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 26 ; Юрий Гагарин ; 258 
 6431 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2016 гг. Редакция 4, 2016 год ;  ;  ;  ;  ; 15 ; дилитант ; 79 
 6432 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 16 ; дилитант ; 104 
 6433 ; В.П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 40 ; oliver ; 305 
 6434 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 41 ; дилитант ; 40 
 6435 ; Хр. Гиль и А. Ильин. Русские монеты с 1801-1904 гг. Репринтное издание. ;  ;  ;  ;  ; 6 ; sergius ; 104 
 6436 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 18 ; glad447 ; 114 
 6437 ; Аукционный каталог The Bernhard F.Brekke Collection. Медные монеты Императорской России 1700-1917гг. Часть 3. Александр I- Николай II. 5 МАЯ 1994 ;  ;  ;  ;  ; 13 ; sm-dc ; 58 
 6438 ; Аукционный каталог Монеты Мира. 2007 ;  ;  ;  ;  ; 58 ; Markgraf ; 141 
 6439 ; Аукционный каталог Thomas hoiland montauktion. Россия II. 12 мая 2007 ;  ;  ;  ;  ; 58 ; Aurum ; 114 
 6440 ; Аукционный каталог AUREA Numismatika. Аукцион 54. 8.12.2013 ;  ;  ;  ;  ; 24 ; Happy Lady ; 55 
 6441 ; Аукционный каталог AUREA Numismatika. Аукцион 56. 17.5.2014 ;  ;  ;  ;  ; 18 ; Happy Lady ; 55 
 6442 ; Аукционный каталог Vente Aux Encheres № 7. 13 июня 2009 ;  ;  ;  ;  ; 26 ; Чуча ; 58 
 6443 ; Аукционный каталог Vente Aux Encheres № 6. 12 октября 2008 ;  ;  ;  ;  ; 10 ; дилитант ; 114 
 6444 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург ; 2019 ;  ;  ;  ; 25 ; DexDaddy ; 413 
 6445 ; Аукционный каталог Fritz Rudolf Kuenker. Аукцион 333. 16/17 марта 2020г ;  ;  ;  ;  ; 25 ; Asandr ; 513 
