 6717 ; Пуговица ;  ;  ; Б/м ;  ; 13 ; 2184421 ; 53 
 6718 ; Пуговица ;  ;  ; Б/м ;  ; 30 ; ОВМ ; 104 
 6719 ; Пуговица ;  ;  ; Б/м ;  ; 5 ; 2184421 ; 14 
 6720 ; Пуговица ;  ;  ; Ж/м ;  ; 5 ; 2184421 ; 26 
 6721 ; Пуговица. Мосштамп. 54 ;  ;  ; Б/м ;  ; 3 ; 2184421 ; 12 
 6722 ; Пуговица ;  ;  ; Ж/м ;  ; 11 ; ОВМ ; 91 
 6723 ; Пуговица ;  ;  ; Ж/м ;  ; 3 ; 2184421 ; 23 
 6724 ; Лот пуговиц: 3 шт. ;  ;  ; Al ;  ; 7 ; Дачникк ; 91 
 6725 ; Лот пуговиц: 3 шт. ;  ;  ; Al ;  ; 3 ; 2184421 ; 23 
 6726 ; Лот пуговиц: 3 шт. ;  ;  ; Ж/м ;  ; 5 ; 2184421 ; 31 
 6667 ; Иллюстрированная газета №13-14 от 5 июня 1940 г. ;  ;  ;  ;  ; 5 ; von_Schwarz ; 227 
 6668 ; Иллюстрированная газета №15 от 4 августа 1940 г. Образование Литовской, Латвийской, Эстонской и Молдавской ССР. ;  ;  ;  ;  ; 61 ; Aleks_Smith ; 2399 
 6669 ; Иллюстрированная газета №17 от 1 сентября 1940 г. ;  ;  ;  ;  ; 7 ; von_Schwarz ; 334 
 6670 ; Иллюстрированная газета №16 от 17 августа 1940 г. ;  ;  ;  ;  ; 3 ; Luidor ; 310 
 6671 ; Газета Правда от 28 апреля 1945 г. ;  ;  ;  ;  ; 19 ; spbpetrovich ; 523 
 6672 ; Модель железной дороги. Англия ;  ;  ;  ;  ; 57 ; кс ; 1122 
 6673 ; Модель. Волга ГАЗ-21. Германия, Herpa. Масштаб: 1/87 ;  ;  ; Пластмасса ;  ; 27 ; lavist ; 327 
 6674 ; Модель. Opel Vectra, Police. Германия, Herpa. Масштаб: 1/87 ; 1990-е гг ;  ; Пластмасса ;  ; 11 ; aleks1753 ; 225 
