 6693 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 12 ; basil ; 83 
 6694 ; Пуговица Швеция ;  ;  ; Б/м ;  ; 7 ; Meshok ; 79 
 6695 ; Пуговица Швеция Стокгольм ;  ;  ; Ж/м ;  ; 9 ; Meshok ; 79 
 6696 ; Лот пуговиц 3 шт. ;  ;  ; Ж/м ;  ; 28 ; ВЕПРЬ ; 71 
 6697 ; Пуговица со звездой. ;  ;  ; Ж/м ;  ; 13 ; Meshok ; 64 
 6643 ; Кольцо для салфеток, серебро. Европа ;  ;  ; Ag830 ;  ; 36 ; крлкв ; 776 
 6644 ; Жетон серебряный на цепочке. Европа ;  ;  ; Ag/жм ;  ; 32 ; krava ; 641 
 6645 ; Браслет для часов, серебро. ;  ;  ; Ag875 ;  ; 37 ; val_diver ; 567 
 6646 ; Кольцо с камнем, серебро ;  ;  ; Ag875 ;  ; 51 ; Dahan ; 762 
 6647 ; Накладка на дверцу автомобиля? В виде знака Императорского Русского автомобильного общества. Размер 131х96 мм ; начало ХХ в ;  ; Br,эмаль ;  ; 103 ; нумизмат91 ; 34680 
 6648 ; Подстаканник Богатырь. ЛЕНЭМАЛЬЕР. ;  ;  ; Ж/м ;  ; 37 ; piv67 ; 2991 
 6649 ; Икона дерево, размер 263х310мм. ;  ;  ;  ;  ; 32 ; МАХАЙРА ; 5100 
 6650 ; Икона дерево, размер 110х130мм. ;  ;  ;  ;  ; 76 ; а1945 ; 6681 
 6651 ; Икона дерево, размер 90х110мм. ;  ;  ;  ;  ; 66 ; а1945 ; 4500 
 6652 ; Воробей элемент. ;  ;  ; Ж/м ;  ; 22 ; alapabula ; 444 
 6653 ; Подсвечник латунь. ;  ;  ; Ж/м ;  ; 57 ; жених ; 299 
 6654 ; Киносъемочный аппарат КВАРЦ 2х8S-1М ;  ;  ;  ;  ; 35 ; fish77 ; 2267 
 6655 ; Фотоаппарат ФЭД №471605 ;  ;  ;  ;  ; 46 ; Дима31 ; 1325 
 6656 ; Объектив INDUSTAR-50-2  3,5/50 ;  ;  ;  ;  ; 21 ; Meshok ; 313 
 6657 ; Браслет ;  ;  ;  ;  ; 64 ; Sky2 ; 387 
 6658 ; Фарфоровая статуэтка Голубь. ЗИК ;  ;  ;  ;  ; 57 ; птичка16 ; 1473 
 6659 ; Бюст Суворов, бисквит. ;  ;  ;  ;  ; 27 ; ZOLTAN 333 ; 914 
 6660 ; Бюст Наполеон, бисквит. ;  ;  ;  ;  ; 16 ; Жордж ; 906 
 6661 ; Блюдо РКВМФ ;  ;  ;  ;  ; 74 ; фюрстен ; 1530 
 6662 ; Тарелка глубокая Р.К.К.А., КОМИНТЕРН СТ. ВОЛХОВО. ;  ;  ;  ;  ; 23 ; Meshok ; 153 
 6663 ; Тарелка Р.К.К.А., КОМИНТЕРН СТ. ВОЛХОВО ;  ;  ;  ;  ; 47 ; фюрстен ; 590 
 6664 ; Тарелка фарфор Т-ва М.С.Кузнецова №8 ;  ;  ;  ;  ; 37 ; basil ; 487 
