 6641 ; Чайная ложка 127 мм (Киев) ;  ;  ; Ag ;  ; 32 ; Starushka ; 750 
 6642 ; Подсвечник, Европа (h-120 мм, D основания - 80 мм) ;  ;  ; Ag ;  ; 56 ; Сибирь-38 ; 2441 
 6643 ; "Рог изобилия" для вина  180 мм (Натуральный рог и серебряный декор 875 пробы,чернение "Кубачи") ;  ;  ;  ;  ; 68 ; ЗАБРАЛО ; 2537 
 6644 ; Ложка столовая "Олимпийский мишка" (мельхиор) ;  ;  ;  ;  ; 25 ; Юра Хой ; 500 
 6645 ; Пивная кружка, Германия (h-140 мм, Керамика с глазурью, бметалл) ;  ;  ;  ;  ; 35 ; Emv ; 917 
 6646 ; Нож для бумаги  кабинетный "Парусник" 236 мм ;  ;  ; ж/м ;  ; 39 ; Rumpel ; 1088 
 6647 ; Памятная настольная плакетка "Петроград 1917" ;  ;  ;  ;  ; 35 ; QSL ; 917 
 6648 ; Запонки с нефритом ;  ;  ;  ;  ; 71 ; basil ; 483 
 6649 ; Икона Божией Матери "Знамение" ; XIX (?) ;  ; Ж/м ;  ; 29 ; ga2012 ; 1074 
 6650 ; Икона. Серафим Саровский (Литография по металлу) ; нач. XX в. (?) ;  ;  ;  ; 5 ; lenohota ; 202 
 6651 ; Курительная трубка ;  ;  ;  ;  ; 39 ; 1313 ; 364 
 6652 ; Блюдце Фабрик. Гарднеръ в Москве ;  ;  ;  ;  ; 64 ; Ритм ; 295 
 6653 ; Фарфоровая конфетница. Европа ;  ;  ;  ;  ; 23 ; манома ; 709 
 6654 ; Статуэтка "Слон". ЛФЗ ;  ;  ;  ; h -110 мм ; 46 ; ЗАБРАЛО ; 1734 
 6655 ; Статуэтка "Волнистый попугайчик" Дания ;  ;  ;  ; 150 * 70 мм ; 32 ; объект ; 2126 
 6656 ; Настольное антикварное зеркало  (h-340 мм,  латунь, бархат, подставка: дерево, кожа. Теснение) ;  ;  ;  ;  ; 40 ; Sk-masshtab ; 500 
 6657 ; Альбом для марок иллюстрированный. Российская Империя (р-р 160*210 мм, 64 страницы, твёрдый переплёт) ;  ;  ;  ;  ; 55 ; Верховный торгаш ; 1151 
 6658 ; Альбом фототипий "Кавказ". Российская Империя (25 фотографий, твёрдый переплёт) ; 1907 ;  ;  ;  ; 41 ; QSL ; 906 
 6659 ; Генрих Сенкевич. Роман "Без догмата". Четвертое издание редакции журнала "Русская мысль". Москва 1898г ;  ;  ;  ;  ; 20 ; LIV ; 567 
 6660 ; Сборник стихотворений, романов, повестей и рассказов. Приложение к журналу "Нива" на 1890г. Санкт-Петербург 1890г ;  ;  ;  ;  ; 30 ; R_o_m_a_n ; 697 
 6661 ; Махабхарата книга пятая удьйогапарва или книга о старании. Перевод с санскрита и комментарии В.И. Кальянова. Издательство Ленинградское отделение "НАУКА". Ленинград 1976г ;  ;  ;  ;  ; 50 ; Affliction ; 408 
 6662 ; Э.Э. Анерт, геолог и горный инженер. Богатства недр Дальнего Востока (с 30 многоцветными и 30 одноцветными картами и схемами). АКЦ. О-ВО "КНИЖНОЕ ДЕЛО". Хабаровск-Владивосток 1928г ;  ;  ;  ;  ; 178 ; D-503 ; 5009 
 6663 ; Н.Г. Чернышевский. Избранные сочинения. Государственное издательство художественной литературы. Москва Ленинград 1950г ;  ;  ;  ;  ; 15 ; R_o_m_a_n ; 32 
 6664 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 27 ; Vote ; 41 
 6665 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 9 ; Fest ; 51 
 6666 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 6 ; Vote ; 14 
 6667 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 6 ; Vote ; 14 
 6668 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 4 ; Vote ; 12 
 6669 ; Пуговица Швеция ;  ;  ; Б/м ;  ; 13 ; Vote ; 22 
 6670 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 3 ; Vote ; 12 
 6671 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 11 ; Vote ; 14 
 6672 ; Пуговица ;  ;  ; Ж/м ;  ; 39 ; S5S1 ; 99 
 6673 ; Пуговица ;  ;  ; Ж/м ;  ; 17 ; Holder31 ; 101 
 6674 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 5 ; Fest ; 51 
 6675 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 7 ; Fest ; 51 
 6676 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 10 ; Fest ; 57 
 6677 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 7 ; Fest ; 51 
 6678 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 6 ; Vote ; 12 
 6679 ; Пуговица Швеция ;  ;  ; Ж/м ;  ; 6 ; Vote ; 8 
 6680 ; Лот пуговиц: 60 шт ;  ;  ; Al ;  ; 18 ; Копеечка ; 66 
 6535 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 336. 20 марта 2020г ;  ;  ;  ;  ; 3 ; Affliction ; 101 
 6536 ; Аукционный каталог WAG. Аукцион 52. 8-9 февраля 2010г ;  ;  ;  ;  ; 5 ; Affliction ; 163 
 6537 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 21 ; srwqqq ; 266 
 6538 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 18 ; Матроскин ; 1303 
 6539 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 27 ; QSL ; 2040 
 6540 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 9 ; всёмоё ; 352 
 6541 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 19 ; торгаш ; 1383 
 6542 ; Оптовый лот. 14 книг (2 коробки).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 30 ; сансаныЧ ; 2484 
 6543 ; Оптовый лот, 20 книг (коробка). Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 14 ; Sky2 ; 1122 
 6544 ; Оптовый лот. 8 книг (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 22 ; NUMIZMAT50 ; 5919 
 6601 ; Ложка 213 мм (875 проба) ;  ;  ; Ag ;  ; 41 ; cfif24 ; 2315 
 6602 ; Ложка 216 (проба 84) ;  ;  ; Ag ;  ; 15 ; Соколов ; 2649 
 6603 ; Ложка  с эмалированным декором на ручке 172 мм (проба 916) ;  ;  ; Ag ;  ; 31 ; vlasik ; 1733 
 6604 ; Ложка 137 мм (проба 800) ;  ;  ; Ag ;  ; 27 ; жених ; 997 
 6605 ; Вилка столовая четырёхзубая 177 мм (проба 800) ;  ;  ; Ag ;  ; 34 ; pollipol ; 1380 
 6606 ; Десертная ложка "Цветы" 113 мм (Проба 925) ;  ;  ; Ag ;  ; 28 ; Bankomat ; 611 
 6607 ; Серебряная стопка с памятной гравировкой  D- 47 (проба 875) ;  ;  ; Ag ;  ; 17 ; 1313 ; 1500 
 6608 ; Стопка (проба 875)  D- 36 ;  ;  ; Ag ;  ; 36 ; Сибирь-38 ; 1195 
 6609 ; Солонка  D- 45 (проба 875) ;  ;  ; Ag ;  ; 22 ; 1313 ; 2000 
 6610 ; Чайное ситечко D- 40 (проба 875) ;  ;  ; Ag ;  ; 12 ; жених ; 829 
 6611 ; Кольцо для салфетки D-46 мм (с дарственной надписью) ; 1905 ;  ;  ;  ; 28 ; ВМШ ; 1144 
 6612 ; Мощевик (проба 84, р-р 40*35 мм) ;  ;  ;  ;  ; 83 ; krass ; 7200 
 6613 ; Нож для сыра. Финляндия (204 мм, ручка- серебро 813 пробы) Финляндия ;  ;  ; Ag ;  ; 27 ; Alex22D ; 829 
 6614 ; Ложечка. Россия (141 мм) ;  ;  ; Ag ;  ; 32 ; Starushka ; 793 
 6615 ; Солонка (D- 45 мм) ;  ;  ; Ag ;  ; 13 ; 1313 ; 1530 
 6616 ; Ложка чайная (147 мм) ;  ;  ; Ag ;  ; 14 ; Бигль ; 477 
 6617 ; Лопатка (197 мм) ;  ;  ; Ag ;  ; 19 ; lavist ; 1223 
 6618 ; Ложка для икры. Россия (146 мм) ;  ;  ; Ag ;  ; 27 ; крлкв ; 1273 
 6619 ; Вилка (154 мм) ;  ;  ; Ag ;  ; 40 ; maymuse ; 771 
 6620 ; Ложечка. Россия (145 мм) ;  ;  ; Ag ;  ; 16 ; Dahan ; 744 
