 6632 ; Запонки, серебро. ;  ;  ; Ag875 ;  ; 36 ; Vanomah ; 455 
 6633 ; Запонки. Швеция ;  ;  ;  ;  ; 49 ; Батя13 ; 500 
 6634 ; Ладонка Сергий Радонежский, серебро 84. ;  ;  ; Ag84 ;  ; 40 ; dimass70 ; 816 
 6635 ; Икона в окладе. ;  ;  ;  ;  ; 23 ; z196723 ; 832 
 6636 ; Икона БМ, дерево. ;  ;  ;  ;  ; 59 ; Крохобор ; 458 
 6637 ; Крест, медная пластика. ;  ;  ; Ж/м ;  ; 66 ; Атлантик ; 793 
 6638 ; Иконка Николай Чудотворец, медная пластика. ;  ;  ; Ж/м ;  ; 53 ; Атлантик ; 793 
 6639 ; Баночка для соли с ложечкой. ;  ;  ; Ж/м ;  ; 52 ; МАХАЙРА ; 218 
 6640 ; Фарфоровая статуэтка Олени. ;  ;  ;  ;  ; 31 ; giwi ; 45 
 6641 ; Фарфоровая статуэтка Девушка в кокошнике. ЛФЗ ;  ;  ;  ;  ; 92 ; Ligaga ; 239 
 6642 ; Градусник Кремлевская башня. Силумин. ;  ;  ;  ;  ; 73 ; Батя13 ; 120 
 6643 ; Подстаканник Космос. ;  ;  ; Ж/м ;  ; 62 ; oleghh7 ; 809 
 6644 ; Шкатулка дерево, инкрустация костью. ;  ;  ;  ;  ; 43 ; msmaci ; 1224 
 6645 ; Пепельница фарфор. Япония ;  ;  ;  ;  ; 19 ; alapabula ; 300 
 6646 ; Нож для бумаги, кость. ;  ;  ;  ;  ; 61 ; Vanomah ; 373 
 6647 ; Шалаш Ленина в Разливе. ;  ;  ; Br ;  ; 26 ; lenohota ; 305 
 6648 ; Портсигар 50 лет Советской Армии ;  ;  ; Ж/м ;  ; 91 ; antiquar ; 828 
 6649 ; Ложка столовая Олимпийский мишка. ;  ;  ; Мельх ;  ; 39 ; Ligaga ; 997 
 6650 ; Иконка Р-ры 27*28мм ;  ;  ; Cu ;  ; 58 ; Ligaga ; 563 
 6651 ; Эбонитовый свисток. ;  ;  ;  ;  ; 24 ; Батя13 ; 157 
 6652 ; Держатель для бумаги, жесть. ;  ;  ;  ;  ; 32 ; alapabula ; 612 
 6653 ; Тульский сувенир, макет ружья. ;  ;  ;  ;  ; 32 ; Батя13 ; 680 
 6654 ; Фарфоровая статуэтка Чертенок 1. Европа ;  ;  ;  ;  ; 50 ; Ибранец ; 577 
 6655 ; Фарфоровая статуэтка Чертенок 2. Европа ;  ;  ;  ;  ; 34 ; Ибранец ; 520 
 6656 ; Фарфоровая статуэтка Чертенок 3. Европа ;  ;  ;  ;  ; 37 ; Ибранец ; 520 
 6657 ; Камера Agfa Box 45/ ;  ;  ;  ;  ; 39 ; Ligaga ; 1561 
 6658 ; Карточки Герои бейсбола. ;  ;  ;  ;  ; 63 ; Alex1 ; 214 
 6659 ; Оперативная карта еженедельного положения на фронтах (оригинал) 1-14 августа 1916г. Издат. Генеральных штабов Германии и Австро-Венгрии. Р-ры 645х320 мм ;  ;  ;  ;  ; 36 ; Сhatsky ; 858 
 6660 ; В. Ирецкий. Гравюры. Петербург 1921 год. ;  ;  ;  ;  ; 92 ; kompman ; 666 
 6661 ; Сочинения В.Г. Белинского. Том 3. Санкт-Петербург 1896 год. ;  ;  ;  ;  ; 46 ; vorgarik ; 691 
 6662 ; Книга Рафаэль. Штуттгард. 1906 год. ;  ;  ;  ;  ; 47 ; kompman ; 1000 
 6663 ; Альбом для вышивания. Москва. ;  ;  ;  ;  ; 85 ; alapabula ; 462 
 6664 ; Ноты "Три романса" Москва. ;  ;  ;  ;  ; 36 ; Rumpel ; 118 
 6665 ; И.В. Сталин. Краткая биография. Москва - 1951 год. ;  ;  ;  ;  ; 39 ; svzg ; 867 
 6666 ; А. Городцов. Народопъвческiе хоры. Москва. ;  ;  ;  ;  ; 92 ; Икстаб ; 612 
 6667 ; Протоколы общества Морских врачей. Кронштадт 1891 год. ;  ;  ;  ;  ; 24 ; doc2 ; 1111 
 6668 ; Врачебная газета №9 от 1 марта 1915 года. ;  ;  ;  ;  ; 12 ; Astra0000 ; 357 
 6669 ; Ноты к цыганской песне "Под чарующей лаской твоей". Санкт-Петербург. ;  ;  ;  ;  ; 6 ; Rumpel ; 79 
 6670 ; Хрестоматия по Русской истории. Том 2. Москва 1922 год. ;  ;  ;  ;  ; 13 ; rom11 ; 327 
 6671 ; В.В. Невский. Первое путешествие россиян вокруг света. Географгиз. 1951 год. ;  ;  ;  ;  ; 51 ; doc2 ; 612 
 6672 ; Сочинения А.С. Пушкина. Санкт-Петербург. 1887 год. ;  ;  ;  ;  ; 64 ; Дачникк ; 7650 
 6673 ; Русские мореплаватели. Москва 1953 год. ;  ;  ;  ;  ; 10 ; 78gen ; 1530 
 6511 ; Филипп Эттвуд и Фелисити Пауэлл. Медали бесчестья ;  ;  ;  ;  ; 38 ; klok ; 2111 
 6512 ; Аукционный каталог АД Кабинет. Аукцион № 8. 24.05.2009г ;  ;  ;  ;  ; 12 ; Affliction ; 136 
 6513 ; Каталог почтовых марок РФ 2009г. Справочник цен на почтовыен марки РФ 1992-2008г. Санкт-Петербург 2010г ;  ;  ;  ;  ; 14 ; maymuse ; 235 
 6514 ; Иванкин Ф.Ф. Еловских Д.Л. Приложение к таталогу. "Нефть". Ценные бумаги Российских АО и Нефтепромашленных Товариществ. Москва 2008 ;  ;  ;  ;  ; 5 ; vlad77 ; 57 
 6515 ; Каталог пропуски перфорации почтовых марок СССР 1923-1991, РФ 1992-2009г. Санкт-Петербург 2010г ;  ;  ;  ;  ; 19 ; SРQR ; 203 
 6516 ; Каталог Ордена и медали Германии 1800-1945гг ;  ;  ;  ;  ; 59 ; Kurgan ; 2972 
 6517 ; Каталог холодного оружия Германии 1933-1945гг. ;  ;  ;  ;  ; 29 ; Kurgan ; 3060 
 6518 ; История ценных бумаг . Выпуск I ;  ;  ;  ;  ; 14 ; Sky2 ; 160 
 6519 ; Аукционный каталог Gorny & Mosch. Аукцион 165. 17-18 марта 2008г ;  ;  ;  ;  ; 7 ; Affliction ; 126 
 6520 ; Аукционный каталог Gorny & Mosch. Аукцион 166. 18/19 марта 2008г ;  ;  ;  ;  ; 7 ; Affliction ; 136 
 6521 ; Аукционный каталог АД Кабинет. Аукцион № 9. 24.10.2009г ;  ;  ;  ;  ; 23 ; Affliction ; 154 
 6522 ; Аукционный каталог АД Кабинет. Аукцион № 12. 16.10.2010г ;  ;  ;  ;  ; 14 ; Alks75 ; 129 
 6523 ; Оптовый лот, 15 книг. "Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов. Редакция 38 (5 шт.), ред. 40 (5 шт.), ред. 41 (5 шт.) ;  ;  ;  ;  ; 5 ; статир ; 227 
 6524 ; Оптовый лот, 15 кни. Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 52 ; торгаш ; 1431 
 6525 ; Оптовый лот. 13 книг (коробка). Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 14 ; торгаш ; 408 
 6526 ; Оптовый лот, 20 книг (коробка). Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 15 ; оптовичок ; 2042 
 6527 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 19 ; торгаш ; 740 
 6528 ; Оптовый лот. 4 книги (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 34 ; торгаш ; 2750 
 6529 ; Оптовый лот. 12 книг (3 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 86 ; торгаш ; 5304 
 6601 ; Фарфоровая статуэтка Мальчик с корзиной. Meissen (Мейсен). Германия ;  ;  ;  ;  ; 63 ; 78gen ; 18972 
 6602 ; Чайный набор из янтаря - Гроздь винограда. Серебро, натуральный янтарь. ;  ;  ; Ag875 ;  ; 72 ; манома ; 20000 
 6603 ; Сумочка женская, серебро 84. ;  ;  ; Ag84 ;  ; 57 ; zemlyk2014 ; 7479 
 6604 ; Чайная пара Москва, серебро. ;  ;  ; Ag875 ;  ; 99 ; ЗАБРАЛО ; 7933 
 6605 ; Кофейная пара, серебро. ;  ;  ; Ag875 ;  ; 52 ; ЗАБРАЛО ; 4159 
 6606 ; Кости игральные в футляре, серебро 84. ;  ;  ; Ag84 ;  ; 74 ; Ligaga ; 8844 
