 6617 ; Ложка чайная, серебро 84. ;  ;  ; Ag84 ;  ; 27 ; Соколов ; 1164 
 6618 ; Ложка чайная, серебро. Европа. ;  ;  ; Ag800 ;  ; 20 ; CaesarAugustus ; 980 
 6619 ; Ложка чайная серебро, эмаль. ;  ;  ; Ag875 ;  ; 26 ; veselkov ; 658 
 6620 ; Ложка чайная серебро, эмаль. ;  ;  ; Ag916 ;  ; 30 ; митяй ; 726 
 6621 ; Ложка чайная серебро. Европа. ;  ;  ; Ag813 ;  ; 22 ; Соколов ; 1593 
 6622 ; Десертная вилка, ручка серебро 84. ;  ;  ; Ag84 ;  ; 41 ; Приор ; 859 
 6623 ; Вилочка для лимона, серебро. ;  ;  ; Ag875 ;  ; 10 ; veselkov ; 340 
 6624 ; Крест нательный, серебро. ;  ;  ; Ag925 ;  ; 44 ; vit2503 ; 2181 
 6625 ; Ситечко для чая, серебро. ;  ;  ; Ag875 ;  ; 24 ; Dahan ; 895 
 6626 ; Статуэтка фарфоровая Фокстерьер. ;  ;  ;  ;  ; 41 ; Elena76 ; 1365 
 6627 ; Статуэтка фарфоровая Русская борзая. ЛФЗ ;  ;  ;  ;  ; 22 ; Копеечка ; 1353 
 6628 ; Статуэтка фарфоровая Бульдог. ЛФЗ. ;  ;  ;  ;  ; 52 ; шахтер-61 ; 529 
 6629 ; Статуэтка фарфоровая Лось. ЛФЗ. ;  ;  ;  ;  ; 40 ; 12345lal ; 2308 
 6630 ; Статуэтка фарфоровая Олененок. ;  ;  ;  ;  ; 25 ; Vova1950 ; 1157 
 6631 ; Статуэтка фарфоровая Верблюжонок. ЛФЗ. ;  ;  ;  ;  ; 23 ; igaist ; 882 
 6632 ; Статуэтка фарфоровая Соболь. ;  ;  ;  ;  ; 23 ; igaist ; 542 
 6633 ; Статуэтка фарфоровая Негритенок. ЛФЗ ;  ;  ;  ;  ; 42 ; Sky2 ; 3068 
 6634 ; Статуэтка фарфоровая Сплетница. ЛЗФИ? ;  ;  ;  ;  ; 48 ; кум ; 3503 
 6635 ; Блюдце фарфоровое ЛФЗ ;  ;  ;  ;  ; 9 ; veselkov ; 153 
 6636 ; Поход "Челюскина". Том 2. Москва 1934 год. ;  ;  ;  ;  ; 66 ; giwi ; 366 
 6637 ; Первый русскiй поэтъ. Очерк П.В. Быков. С-Петербург. 1913 год. ;  ;  ;  ;  ; 29 ; maks1986 ; 114 
 6638 ; Н. Павлов. Именины, Аукцион, Ятаган.  Ленинград. 1931 год. ;  ;  ;  ;  ; 29 ; Pavel99 ; 42 
 6639 ; Журнал Огонек №5 от января 1963 года. ;  ;  ;  ;  ; 5 ; терешкова ; 23 
 6640 ; Набор гирек МТЗ 1925 ;  ;  ;  ;  ; 35 ; D-503 ; 680 
 6641 ; Походный котелок и фляжка. ;  ;  ;  ;  ; 15 ; roza77 ; 262 
 6642 ; Годовая подборка журнала "Охота и охотничье хозяйство" 1964 год. ;  ;  ;  ;  ; 7 ; Краснодар ; 124 
 6643 ; Годовая подборка журнала "Охота и охотничье хозяйство" 1959 год. ;  ;  ;  ;  ; 37 ; 0sain ; 500 
 6644 ; Пуговица ;  ;  ;  ;  ; 27 ; фюрстен ; 255 
 6645 ; Пуговица ;  ;  ; Б/м ; VF-XF ; 32 ; spbpetrovich ; 309 
 6508 ; Хр. Гиль и А. Ильин. Русские монеты с 1801-1904 гг. Репринтное издание ;  ;  ;  ;  ; 8 ; rem. ; 14 
 6509 ; Сборник коллекционных аукционов  «Конрос» N17 – 20, 2003 год, с результатами ;  ;  ;  ;  ; 1 ; Rober ; 2 
 6510 ; С. Блехман. История почты и знаки почтовой оплаты Тувы. Издательство:"СВЯЗЬ". Москва 1976г ;  ;  ;  ;  ; 14 ; Sky2 ; 164 
 6511 ; Каталог-справочник. Астрономия в филателии. Издательство:"СВЯЗЬ". Москва 1979г ;  ;  ;  ;  ; 3 ; Meshok ; 10 
 6512 ; М.Е. Левин, Е.П. Сашенков. Футбол в филателии. Издательство:"СВЯЗЬ". Москва 1970г ;  ;  ;  ;  ; 3 ; maks1 ; 14 
 6513 ; Каталог 100-летия со дня рождения В.И. Ленина в филателии. Москва 1973г ;  ;  ;  ;  ; 6 ; rem. ; 13 
 6514 ; Каталог-справочник. 40-летию Победы посвящается. Подвиг на почтовой марке. Москва 1985г ;  ;  ;  ;  ; 6 ; rem. ; 13 
 6515 ; За службу и храбрость. Кавалеры Ордена Святого Георгия Победоносца. Хронограф 1994. Санкт-Петербург ;  ;  ;  ;  ; 9 ; Meshok ; 385 
 6516 ; Кудряшов Е.В. Бесфамильная В.А. Капитульные списки пожалованных знаком отличия военного ордена 4 степени №21985-23500 №28502-31000. Москва 2015г ;  ;  ;  ;  ; 71 ; klok ; 2899 
 6517 ; Аукционный каталог SPINK. 7и 8 апреля 2020г ;  ;  ;  ;  ; 9 ; Affliction ; 153 
 6518 ; Аукционный каталог НВА. 2 и 4  ноября 2017 ;  ;  ;  ;  ; 3 ; Affliction ; 4 
 6519 ; Аукционный каталог Dr. Reinhard Fischer Auktionen. Аукцион 161. 16/17 марта 2018 ;  ;  ;  ;  ; 1 ; Rober ; 2 
 6520 ; Аукционный каталог Знак Арт. Аукцион "OPUS 1". 3.12.2011г ;  ;  ;  ;  ; 7 ; Affliction ; 151 
 6521 ; Аукционный каталог Знак. Аукцион №18. 17.11.2012г ;  ;  ;  ;  ; 5 ; Affliction ; 155 
 6522 ; Журнал Петербургский коллекционер №2 (116) 2020г ;  ;  ;  ;  ; 38 ; Aurum ; 350 
 6523 ; Аукционный каталог Вruun Rasmussen Auctioneer. Аукцион 894 монеты+медали. Май 2020г ;  ;  ;  ;  ; 7 ; Affliction ; 153 
 6524 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 15 ; adelante ; 244 
 6525 ; Аукционный каталог DOROTHEUM. 24.11.2016г ;  ;  ;  ;  ; 9 ; Affliction ; 153 
 6526 ; Аукционный каталог HOLMASTO. Аукцион 151. 7.3.2020г ;  ;  ;  ;  ; 9 ; Vox ; 123 
 6527 ; Аукционный каталог Christoph Gartner. Аукцион 38. 11 октября 2017г ;  ;  ;  ;  ; 1 ; Affliction ; 2 
 6528 ; Аукционный каталог Christoph Gartner. Аукцион 38. 20 октября 2017г ;  ;  ;  ;  ; 1 ; Rober ; 2 
 6529 ; Аукционный каталог Christoph Gartner. Аукцион 39. 23 февраля2018г ;  ;  ;  ;  ; 1 ; Rober ; 2 
 6530 ; А.А. Кузнецов. Ордена и медали России. Издательство Московского университета 1985г ;  ;  ;  ;  ; 68 ; GOBSEK ; 193 
 6531 ; Аукционный каталог Stacks. 30.07.2009г ;  ;  ;  ;  ; 16 ; cent ; 160 
 6532 ; Аукционный каталог Fritz Rudolf Kuenker. Аукцион 270. 2.10. 2015г ;  ;  ;  ;  ; 8 ; vasa ; 227 
 6533 ; Каталог-определитель. Поясные бляхи русской армии и флота. Санкт-Петербург 2011г ;  ;  ;  ;  ; 24 ; 12345lal ; 263 
 6534 ; Федосеев С.Б. Каталог-определитель. Должностные знаки Императорской России. Выпуск №1. Санкт-Петербург 2013г ;  ;  ;  ;  ; 15 ; gelo ; 247 
 6535 ; Оптовый лот. (20 книг). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов ;  ;  ;  ;  ; 55 ; Markgraf ; 452 
 6536 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 5 ; оптовичок ; 531 
 6537 ; Оптовый лот. (10 книг). Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 28 ; оптовичок ; 1300 
 6538 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 25 ; 12345lal ; 1587 
 6539 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 9 ; оптовичок ; 1165 
 6540 ; Оптовый лот. 4 книги (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 13 ; zabor ; 2222 
 6541 ; Оптовый лот. 20 книг (5 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 39 ; альф13 ; 8751 
 6601 ; Фарфоровая статуэтка Девушка с чашей. MEISSEN (Мейсен). Германия. ;  ;  ;  ;  ; 41 ; Sammler ; 7667 
 6602 ; Подстаканник серебро 84, ПЛ. ;  ;  ; Ag84 ;  ; 23 ; Соколов ; 7173 
 6603 ; Подстаканник, серебро, чернение. СССР. ;  ;  ; Ag875 ;  ; 19 ; шахтер-61 ; 3400 
 6604 ; Портсигар серебро. Азия ;  ;  ; Ag ;  ; 61 ; маманя ; 5667 
 6605 ; Набор рюмок 3 шт, серебро, Главювелирторг, в оригинальном футляре. ;  ;  ; Ag875 ;  ; 28 ; крлкв ; 4785 
 6606 ; Ложка разливательная кольца, серебро. СССР. ;  ;  ; Ag875 ;  ; 15 ; а1945 ; 2164 
 6607 ; Ложка столовая, серебро 84. ;  ;  ; Ag84 ;  ; 16 ; а1945 ; 2045 
 6608 ; Ложка столовая, средняя, серебро 84. ;  ;  ; Ag84 ;  ; 49 ; Соколов ; 2540 
 6609 ; Ложка столовая, серебро, ПЛАТИНОПРИБОР. СССР. ;  ;  ; Ag875 ;  ; 25 ; Мотя ; 2472 
 6610 ; Ложка столовая серебро. Европа ;  ;  ; Ag800 ;  ; 15 ; ratiandr ; 1536 
 6611 ; Ложка столовая, серебро. СССР. ;  ;  ; Ag875 ;  ; 21 ; а1945 ; 2432 
 6612 ; Ложка чайная, серебро 84,  Д.З 1821. ;  ;  ; Ag84 ;  ; 36 ; Dahan ; 1154 
 6613 ; Ложка чайная, серебро, эмаль. СССР ;  ;  ; Ag875 ;  ; 30 ; AN54 ; 810 
 6614 ; Ложка чайная, серебро, эмаль. ;  ;  ; Ag875 ;  ; 27 ; Pipe ; 830 
 6615 ; Ложка чайная витая, серебро 84. ;  ;  ; Ag84 ;  ; 60 ; МАХАЙРА ; 2025 
 6616 ; Ложка чайная витая, серебро, золочение. СССР. ;  ;  ; Ag875 ;  ; 26 ; AN54 ; 821 
 6458 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 28 ; Sandello ; 169 
