 6624 ; Вилка десертная Роза, серебро. Европа. ;  ;  ; Ag813 ;  ; 39 ; АВС ; 572 
 6625 ; Брошь серебро. Швеция ;  ;  ; Ag ;  ; 27 ; Dahan ; 625 
 6626 ; Крест нательный, серебро. Европа. ;  ;  ; Ag925 ;  ; 41 ; vit2503 ; 567 
 6627 ; Кулон со вставкой, серебро. Европа. ;  ;  ; Ag925 ;  ; 40 ; Dahan ; 946 
 6628 ; Браслет серебро. Европа. ;  ;  ; Ag925 ;  ; 24 ; (*Сергей*) ; 663 
 6629 ; Кулон Солнце, серебро. Норвегия ;  ;  ; Ag925 ;  ; 37 ; maximus8404 ; 405 
 6630 ; Кулон Лошадь, серебро. Европа. ;  ;  ; Ag925 ;  ; 9 ; Kosmas ; 294 
 6631 ; Кулон Парусник, серебро. Европа. ;  ;  ; Ag925 ;  ; 34 ; кравчий ; 410 
 6632 ; Фарфоровая тарелка MEISSEN (Мейсен). Германия. ;  ;  ;  ;  ; 27 ; Meshok ; 2383 
 6633 ; Фарфоровая статуэтка Туфля, MEISSEN. Германия. ;  ;  ;  ;  ; 42 ; G.R.O.S.S ; 726 
 6634 ; Пудреница, фарфор, бронза. Европа. ;  ;  ;  ;  ; 69 ; balbasina ; 1779 
 6635 ; Пепельница Черепашка, бронза, перегородчатая эмаль. ;  ;  ; Ж/м ;  ; 47 ; никсер ; 623 
 6636 ; Чеканка Серафим Саровский в рамке. ;  ;  ;  ;  ; 36 ; Ligaga ; 1224 
 6637 ; Рамка с монетами на подставке Penny Farthing. Англия ;  ;  ;  ;  ; 36 ; Ligaga ; 567 
 6638 ; Портсигар. Ленинград ;  ;  ; Б/м ;  ; 86 ; М662 ; 693 
 6639 ; Фарфоровая статуэтка Такса. ЛФЗ ;  ;  ;  ;  ; 87 ; Олег Иванович ; 903 
 6640 ; Фарфоровая статуэтка Селезень. ЛФЗ ;  ;  ;  ;  ; 60 ; Плотник ; 918 
 6641 ; Фарфоровая статуэтка Медвежонок. ЛФЗ. ;  ;  ;  ;  ; 21 ; flutter ; 826 
 6642 ; Фарфоровая статуэтка Резвящийся медвежонок. ЛФЗ. ;  ;  ;  ;  ; 17 ; flutter ; 826 
 6643 ; Брошь Листья, янтарь. ;  ;  ;  ;  ; 48 ; Ибранец ; 1411 
 6644 ; Брошь Вишня, янтарь. ;  ;  ;  ;  ; 56 ; Ибранец ; 1422 
