 6644 ; Бюст Максим Горький, силумин. ;  ;  ; Б/м ;  ; 11 ; никсер ; 689 
 6645 ; Статуэтка Аполлон. Италия, искусственный мрамор?. Италия ;  ;  ;  ;  ; 42 ; Kartu ; 2805 
 6646 ; Бюст  А. VOLTA, искусственный мрамор? Европа. ;  ;  ;  ;  ; 17 ; никсер ; 308 
 6647 ; Бюст Моцарт. ;  ;  ;  ;  ; 9 ; Дачникк ; 380 
 6648 ; Бюст OMHPOE. ;  ;  ;  ;  ; 35 ; Денис Дыркин ; 395 
 6649 ; Барельеф Петр I. Автор А.В. Козлов. ;  ;  ; Ж/м ;  ; 45 ; МАХАЙРА ; 1226 
 6650 ; Барельеф Медный всадник. Автор Черненко Г.А. ;  ;  ; Ж/м ;  ; 23 ; QSL ; 722 
 6651 ; Бинокль театральный складной Минск.2.5х60. ;  ;  ; Б/м ;  ; 17 ; QSL ; 1915 
 6652 ; Самовар сувенирный Ясная поляна. ;  ;  ; Б/м ;  ; 28 ; Дачникк ; 1022 
 6653 ; Нож для бумаги Toledo. Испания ;  ;  ; Б/м ;  ; 62 ; konstantin I ; 2946 
 6654 ; Нож для бумаги. Англия. ;  ;  ; Б/м ;  ; 49 ; mirumir ; 1530 
 6655 ; Портсигар Лошади, латунь, хромирование. ;  ;  ; Ж/м ;  ; 15 ; Томов ; 459 
 6656 ; Портсигар Светофор, аллюминий. ;  ;  ; Б/м ;  ; 7 ; veselkov ; 217 
 6657 ; Шагомер. СССР ;  ;  ; Б/м ;  ; 17 ; himak ; 1122 
 6658 ; Часы карманные Молния с барельефом маршала Г.К. Жукова. ;  ;  ; Б/м ;  ; 41 ; птичка16 ; 1022 
 6659 ; Часы карманные Молния. ;  ;  ; Б/м ;  ; 59 ; Степан_81 ; 1221 
 6660 ; Часы наручные CORNAVIN ;  ;  ; Б/м ;  ; 25 ; Бигль ; 218 
 6661 ; Часы наручные Слава, автоматические. ;  ;  ; Б/м ;  ; 16 ; Леонс ; 510 
 6662 ; Часы наручные Москва, механика. ;  ;  ; Б/м ;  ; 10 ; Леонс ; 247 
 6663 ; Ф.А. Брокгауз  и И.А. Ефрон. Энциклопедический словарь. Том Va. С-Петербургъ. 1892 год. ;  ;  ;  ;  ; 42 ; Блюхер ; 787 
 6664 ; Ф.А. Брокгауз  и И.А. Ефрон. Энциклопедический словарь. Том IX. С-Петербургъ. 1893 год. ;  ;  ;  ;  ; 59 ; Блюхер ; 921 
 6665 ; Гете. Рейнеке-лисъ. Издание М.О. Вольфъ. ;  ;  ;  ;  ; 18 ; никсер ; 714 
 6666 ; Живописное обозрение. Том 1-3. С-Петербург. 1882 год. ;  ;  ;  ;  ; 53 ; jbl ; 2020 
 6667 ; Живописное обозрение. Том 4-6. С-Петербург. 1882 год. ;  ;  ;  ;  ; 31 ; jbl ; 2020 
 6668 ; Живописное обозрение. Том 7-9. С-Петербург. 1882 год. ;  ;  ;  ;  ; 29 ; jbl ; 2020 
 6669 ; Проф. I. Валтеръ. История земли и жизни. С-Петербургъ. ;  ;  ;  ;  ; 19 ; gelo ; 1557 
 6670 ; Лот из трех иллюстрированных журналов Природа и люди. № 34 от 1909 г, №23 от 1912 года, №27 от 1914 года. ;  ;  ;  ;  ; 25 ; d.m.d. ; 581 
 6671 ; М.И. Кутузов. Материалы юбилейной сессии военных академий  Красной армии.  Москва. 1947 год. ;  ;  ;  ;  ; 9 ; венера ; 159 
 6672 ; Ромэн Роллан. Робеспьер. Москва. 1939 год. ;  ;  ;  ;  ; 17 ; Sky2 ; 510 
 6673 ; Кулинария. Госторгиздат. Москва. 1959 год. ;  ;  ;  ;  ; 37 ; obr73 ; 1134 
 6674 ; Книга о вкусной и здоровой пищи. Пищепромиздат. 1963 год. ;  ;  ;  ;  ; 44 ; fish77 ; 1227 
 6675 ; Л.П. Сабанеев. Жизнь и ловля пресноводных рыб. Киев. 1960 год. ;  ;  ;  ;  ; 24 ; dsp ; 806 
 6455 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов, 40 редакция ;  ;  ;  ;  ; 11 ; АнтиииК ; 229 
 6456 ; Оптовый лот, 10 книг. Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 27 ; АнтиииК ; 640 
 6457 ; Оптовый лот, 52 книги. Псевдонимы российского рубля ;  ;  ;  ;  ; 35 ; QSL ; 2541 
