 6670 ; Пуговица J-B.M D-30мм ;  ;  ; Ж/м ;  ; 21 ; спарта ; 258 
 6671 ; Лот пуговиц (3шт) ;  ;  ;  ;  ; 11 ; misha_-78 ; 104 
 6620 ; Набор чайных ложек, серебро, золочение, эмаль, 6 шт. ;  ;  ; Ag875 ;  ; 45 ; ulf ; 6122 
 6621 ; Ложка десертная, серебро. ;  ;  ; Ag800 ;  ; 53 ; barin2020 ; 4204 
 6622 ; Ложка чайная, серебро 84, Морозовъ. ;  ;  ; Ag84 ;  ; 29 ; oleghh7 ; 1732 
 6623 ; Ложка чайная, серебро, АЛ? ;  ;  ; Ag875 ;  ; 25 ; Dahan ; 1249 
 6624 ; Ложка чайная витая, серебро 84. ;  ;  ; Ag84 ;  ; 21 ; vlst ; 1836 
 6625 ; Ложка чайная витая, серебро 84, НА ПАМЯТЬ. ;  ;  ; Ag84 ;  ; 25 ; vlst ; 1989 
 6626 ; Вилочка для лимона, серебро, эмаль. ;  ;  ; Ag875 ;  ; 18 ; veselkov ; 541 
 6627 ; Щипцы для сахара, серебро, золочение. ;  ;  ; Ag875 ;  ; 52 ; антоша ; 2244 
 6628 ; Погремушка детская, серебро. ;  ;  ; Ag925 ;  ; 55 ; боровик ; 1819 
 6629 ; Икона Георгий Победоносец в серебряном окладе. ;  ;  ; Ag875 ;  ; 56 ; лена ; 3647 
 6630 ; Икона Божья Матерь с младенцем, в серебряном окладе. ;  ;  ; Ag875 ;  ; 41 ; VPV89 ; 3672 
 6631 ; Ладанка Святая Троица, серебро, золочение. ;  ;  ; Ag925 ;  ; 35 ; veselkov ; 1000 
 6632 ; Зажим для денег, медальон серебро. ;  ;  ; Б/м ;  ; 61 ; Sammler ; 3611 
 6633 ; Портсигар дамский, серебрение, эмаль. ;  ;  ; Ж/м ;  ; 46 ; Sammler ; 3122 
 6634 ; Тарелка фарфоровая MEISSEN (Мейсен). Германия. ;  ;  ;  ;  ; 37 ; никсер ; 2040 
 6635 ; Часы карманные CYMA. Швейцария ;  ;  ; Б/м ;  ; 47 ; птичка16 ; 1666 
 6636 ; Часы карманные Omega. Швейцария. ;  ;  ; Б/м ;  ; 8 ; jachin ; 510 
 6637 ; Часы от авиационного кино-фото пулемета. СССР. ;  ;  ; Б/м ;  ; 50 ; oleghh7 ; 1008 
 6638 ; Часы от авиационного кино-фото пулемета. СССР. ;  ;  ; Б/м ;  ; 37 ; Torro ; 1000 
 6639 ; Часы женские APPELLA. Швейцария ;  ;  ; Б/м ;  ; 53 ; МАХАЙРА ; 3364 
 6640 ; Часы женские Gattinoni. Италия ;  ;  ; Б/м ;  ; 87 ; Andrlex71 ; 1813 
 6641 ; Шатлен для карманных часов, глубокое золочение. ;  ;  ; Ж/м ;  ; 43 ; МАХАЙРА ; 2043 
 6642 ; Накладка Ангел, латунь. ;  ;  ; Ж/м ;  ; 29 ; МАХАЙРА ; 1071 
 6643 ; Фигурка Панда, орех тагуа. ;  ;  ;  ;  ; 24 ; alapabula ; 2267 
 6644 ; Панно / чеканка Девушка с арфой. ;  ;  ; Ж/м ;  ; 55 ; МАХАЙРА ; 3825 
 6645 ; Крест Вооруженные силы России, скань, в футляре. ;  ;  ; Б/м ;  ; 54 ; Andrlex71 ; 759 
 6646 ; Кубок спортивный Кремль. СССР ;  ;  ; Б/м ;  ; 21 ; жених ; 922 
 6647 ; Кубок спортивный.  СССР. 1966 год. ;  ;  ; Б/м ;  ; 9 ; ivlian ; 373 
 6648 ; Кружка пивная Haparanda. Швеция ;  ;  ; Б/м ;  ; 47 ; МАХАЙРА ; 1683 
 6649 ; Сахарница. ;  ;  ; Б/м ;  ; 38 ; никсер ; 623 
 6650 ; Подзорная труба Турист-4, 10х30, в футляре. ;  ;  ; Б/м ;  ; 41 ; krass ; 3400 
 6651 ; Бинокль. ;  ;  ; Ж/м ;  ; 27 ; megan ; 1022 
 6652 ; Подстаканник с блюдцем и чайной ложкой, скань. ;  ;  ; Б/м ;  ; 33 ; ask ; 526 
 6653 ; Подстаканник с чайной ложкой, скань. ;  ;  ; Б/м ;  ; 26 ; ask ; 495 
 6654 ; Подстаканник Виноград, с чайной ложкой. ;  ;  ; Б/м ;  ; 72 ; konstantin I ; 796 
 6655 ; Лот из двух лорнетов. ;  ;  ; Ж/м ;  ; 38 ; megan ; 620 
 6656 ; Нож для бумаги, кость в футляре. ;  ;  ;  ;  ; 57 ; von_Schwarz ; 404 
 6657 ; Нож для бумаги VINEXSA. Испания. ;  ;  ; Б/м ;  ; 53 ; oleghh7 ; 1823 
 6658 ; Нож для бумаги Катана. ;  ;  ; Б/м ;  ; 28 ; konstantin I ; 567 
 6659 ; Гальваническая брошь. Франция. 1880-1920 гг. ;  ;  ; Ж/м ;  ; 65 ; (.!.) ; 414 
 6660 ; Брошь Парусник, янтарь. ;  ;  ; Ж/м ;  ; 53 ; ulf ; 563 
 6661 ; Брошь Листья, янтарь. ;  ;  ; Ж/м ;  ; 54 ; veselkov ; 589 
 6662 ; Запонки янтарь, зажим для галстука. ;  ;  ; Ж/м ;  ; 53 ; bobrovski ; 452 
 6663 ; Лот запонок 5 шт. ;  ;  ;  ;  ; 28 ; алкид ; 155 
 6664 ; Альбом с почтовыми марками и блоками России. ;  ;  ;  ;  ; 51 ; Dimius ; 2221 
 6665 ; Клавдия Лукашевич. Промелькнувшее счастье. Издание т-ва О. Вольфъ. С-Петербург. ;  ;  ;  ;  ; 43 ; d.m.d. ; 612 
 6666 ; Д.В. Григорович. Деревня. Книгоиздательство Н.Г. Мартынова. С-Петербург. 1911 год. ;  ;  ;  ;  ; 41 ; d.m.d. ; 667 
 6667 ; Польза. Календарь и записная книжка. 1899 год. ;  ;  ;  ;  ; 22 ; svzg ; 453 
 6668 ; Подшивка журналов Огонек №№40-52 за 1948 год. ;  ;  ;  ;  ; 60 ; Valera72 ; 495 
 6669 ; Книга о вкусной и здоровой пище. ПИЩЕПРОМИЗДАТ. Москва. 1955 год. Репринт. ;  ;  ;  ;  ; 45 ; СТС1 ; 912 
 6457 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2016 годов. Редакция 41 ;  ;  ;  ;  ; 26 ; gbp ; 47 
 6458 ; Каталог почтовых марок СССР 1918-1980 ТОМ 1 и ТОМ 2. Москва 1984 ;  ;  ;  ; Б/у ; 15 ; птичкин ; 393 
 6459 ; Художники ГОЗНАКА Михаил Осипович Микешин ;  ;  ;  ;  ; 10 ; kbk ; 308 
 6460 ; Деньги-зеркало древнего и современного времени. Израиль ;  ;  ;  ;  ; 22 ; klok ; 906 
 6461 ; Ежегодный каталог памятных и инвестиционных монет Банка России 2012 ;  ;  ;  ;  ; 13 ; Qersej ; 108 
 6462 ; Аукционный каталог WCN. Аукцион 74. 16 мая 2020г ;  ;  ;  ;  ; 33 ; Affliction ; 102 
 6463 ; Каталог. Памятные монеты России. ЦБРФ, Москва,1997 ;  ;  ;  ;  ; 4 ; Qersej ; 57 
 6464 ; Журнал Банкноты Мира №4 (51) 2012г ;  ;  ;  ;  ; 3 ; ivlian ; 51 
 6465 ; Каталог. Памятные монеты России. ЦБРФ, Москва,1995 ;  ;  ;  ;  ; 9 ; Qersej ; 57 
 6466 ; Аукционный каталог Bruun Rasmussen. Аукцион 864. май 2016г ;  ;  ;  ;  ; 41 ; Affliction ; 101 
 6467 ; Аукционный каталог "Знак". Аукцион  "OPUS 3". 1 декабря 2012г ;  ;  ;  ;  ; 53 ; К 215 ; 152 
 6468 ; Аукционный каталог Редкие русские монеты, ордена, медали, униформа. Нумизматический аукцион №18. 21 апреля 2001г ;  ;  ;  ;  ; 21 ; Qersej ; 289 
 6469 ; Аукционный каталог XII. 25 ноября 2008г. ;  ;  ;  ;  ; 5 ; Affliction ; 114 
 6470 ; Ежегодный каталог памятных и инвестиционных монет Банка России 2013 ;  ;  ;  ;  ; 13 ; Qersej ; 57 
 6471 ; Каталог Памятные монеты России 1996. Центральный банк РФ Москва 1997 ;  ;  ;  ;  ; 9 ; Qersej ; 108 
 6472 ; Каталог Памятные монеты России. Центральный банк РФ Москва 2000 ;  ;  ;  ;  ; 5 ; Russman ; 93 
 6473 ; Ежегодный каталог памятных и инвестиционных монет Банка России 2011 ;  ;  ;  ;  ; 11 ; Qersej ; 108 
 6474 ; Аукционный каталог DOROTHEUM. 19 июня 2020г ;  ;  ;  ;  ; 23 ; Alks75 ; 206 
 6475 ; Каталог. Памятные монеты России. ЦБРФ, Москва,1992 ;  ;  ;  ;  ; 9 ; Russman ; 53 
 6476 ; Каталог. Памятные монеты России. ЦБРФ, Москва,1994 ;  ;  ;  ;  ; 11 ; Qersej ; 108 
 6477 ; Каталог. Памятные монеты России. ЦБРФ, Москва,1993 ;  ;  ;  ;  ; 10 ; Russman ; 108 
 6478 ; Аукционный каталог RAUCH 14 и15 июля 2011г ;  ;  ;  ;  ; 9 ; j7 ; 22 
 6479 ; Аукционный каталог Стандарт-коллекция 30 октября 1999г. ;  ;  ;  ;  ; 7 ; cr5400 ; 15 
 6480 ; Аукционный каталог DOROTHEUM. 22 октября 2015г ;  ;  ;  ;  ; 25 ; Alks75 ; 202 
 6481 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов, 40 редакция ;  ;  ;  ;  ; 29 ; Stignik ; 192 
 6482 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 16 ; Gagarin ; 680 
 6483 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 58 ; всемоё ; 612 
 6484 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 31 ; всемоё ; 2445 
 6485 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 28 ; всемоё ; 1437 
 6486 ; Оптовый лот, 20 книг. Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 43 ; всемоё ; 1272 
 6487 ; Оптовый лот, 4 книги. БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 71 ; tomchik ; 4219 
