 6667 ; Шкатулка дуб, накладка серебро. Финляндия ;  ;  ; Ag813 ;  ; 51 ; Конор ; 1632 
 6668 ; Переходное знамя За высокие показатели в Соц соревновании. ;  ;  ;  ;  ; 16 ; Meshok ; 775 
 6669 ; Альбом с марками и блоками СССР и иностранными. ;  ;  ;  ;  ; 46 ; Густав Адольф ; 779 
 6670 ; Портсигар Минин и Пожарский. ;  ;  ; Б/м ;  ; 18 ; russland ; 510 
 6671 ; Самовар сувенир Ясная поляна с подносом. ;  ;  ; Б/м ;  ; 16 ; птичка16 ; 510 
 6672 ; Пепельница Филин, латунь. ;  ;  ; Ж/м ;  ; 15 ; МАХАЙРА ; 340 
 6673 ; Щетка для одежды, серебрение. ;  ;  ; Б/м ;  ; 29 ; Ligaga ; 591 
 6674 ; Подстаканник скань. ;  ;  ; Б/м ;  ; 31 ; focus ; 859 
 6675 ; Альбом сувенирных монет Китая и других стран. 144 шт. ;  ;  ; Б/м ;  ; 72 ; Russman ; 2607 
 6676 ; Новый способ лечения. Сочинение М. Платена. В трех томах. С-Петербург. 1903 год. ;  ;  ;  ;  ; 62 ; Vova1950 ; 10200 
 6677 ; Стихотворения и письма А.В. Кольцова. Полное собрание. С-Петербургъ. 1901 год. ;  ;  ;  ;  ; 9 ; Vinchi ; 579 
 6678 ; М.В. Ломоносовъ. Жизнеописание. Составил Б.Н. Меншуткинъ. С-Петербургъ. 1912 год. ;  ;  ;  ;  ; 43 ; 78gen ; 3166 
 6679 ; Житiя святыхъ. Русскiе святые (Сентябрь-Декабрь). Москва. 1908 год. ;  ;  ;  ;  ; 22 ; никсер ; 1326 
 6680 ; Похвала книгъ. Т-во Р. Голине и А. Вильборгъ. Петроградъ. ;  ;  ;  ;  ; 65 ; Stignik ; 700 
 6681 ; И.С. Никитинъ. Полное собрание сочинений. Москва. 1913 год. ;  ;  ;  ;  ; 44 ; maks1986 ; 510 
 6682 ; Французские театры 1869-1889. Париж ;  ;  ;  ;  ; 21 ; алкид ; 969 
 6683 ; Протоколы заседаний Общества морских врачей в Кронштадтъ 1906-1907 гг. Кронштадтъ. 1908 год. ;  ;  ;  ;  ; 18 ; МАХАЙРА ; 257 
 6684 ; Курс инфекционных болезней. МЕДГИЗ. Москва. 1956 год. ;  ;  ;  ;  ; 16 ; giwi ; 477 
 6685 ; Жюль Верн. Дети капитана Гранта. Иллюстрации художника Ж. Риу. Ленинград. 1951 год. ;  ;  ;  ;  ; 15 ; flutter ; 444 
 6686 ; И.В. Сталин. Том 1. 1901 - 1907. Москва. 1946 год. ;  ;  ;  ;  ; 30 ; 12345lal ; 320 
