 6656 ; Медная пластика. ;  ;  ; Ж/м ;  ; 35 ; slemnum ; 431 
 6657 ; Лот из трех брошек. ;  ;  ; Ж/м ;  ; 19 ; Alexander_Er ; 500 
 6658 ; Лот из двух ладанок, мельхиор. ;  ;  ; Б/м ;  ; 16 ; Rober ; 153 
 6659 ; Жетон серебро, золочение. ;  ;  ; Ag ;  ; 46 ; Леонс ; 350 
 6660 ; Знамя Победителю в Соц соревновании в честь 50-летия Советской власти. ;  ;  ;  ;  ; 39 ; прохожий ; 7140 
 6661 ; Знамя Победителю в Соц соревновании. ;  ;  ;  ;  ; 11 ; veektor ; 306 
 6662 ; Вымпел За высокие показатели в Соц соревновании ИССО Айболит. ;  ;  ;  ;  ; 11 ; Аргонавт ; 221 
 6663 ; Лот пионерской атрибутики 6 предметов. ;  ;  ;  ;  ; 17 ; veektor ; 566 
 6664 ; Вымпел Коллектив Коммунистического труда. ;  ;  ;  ;  ; 27 ; Аргонавт ; 487 
 6665 ; Вымпел Победителю в Соц соревновании. ;  ;  ;  ;  ; 7 ; carre ; 408 
 6666 ; Вымпел Лучшей Октябрятской группе. ;  ;  ;  ;  ; 62 ; NB ; 221 
 6667 ; Святое Евангелие. Санкт-Петербург. 1887 год ;  ;  ;  ;  ; 78 ; Икстаб ; 3642 
 6668 ; Книга о вкусной и здоровой пище. Москва. 1955 год. ;  ;  ;  ;  ; 52 ; mefodin ; 2123 
 6669 ; И.В. Сталин. Том 6. 1924. Москва. 1947 год. ;  ;  ;  ;  ; 8 ; ИБК ; 159 
 6670 ; И.В. Сталин. Том 7. 1925. Москва. 1947 год. ;  ;  ;  ;  ; 9 ; ИБК ; 159 
 6671 ; И.В. Сталин. Том 8. 1926 Январь-Ноябрь. Москва. 1948 год. ;  ;  ;  ;  ; 9 ; ИБК ; 159 
 6672 ; И.В. Сталин. Том 9 . Декабрь 1926 - Июль 1927. Москва. 1948 год. ;  ;  ;  ;  ; 9 ; ИБК ; 159 
 6673 ; Лот пуговиц: 5шт ;  ;  ; Ж/м ;  ; 30 ; ВЕПРЬ ; 145 
 6606 ; Чайник серебро 84, В.С1867, САЗИКОВЪ. ;  ;  ; Ag84 ;  ; 61 ; Vova1950 ; 37400 
 6607 ; Соусник серебро, золочение. Финляндия. ;  ;  ; Ag813 ;  ; 27 ; Meshok ; 5723 
 6608 ; Подстаканник серебро, чернение. ;  ;  ; Ag875 ;  ; 33 ; Meshok ; 4147 
 6609 ; Подстаканник серебро, чернение. ;  ;  ; Ag875 ;  ; 59 ; лена ; 3892 
 6610 ; Часы карманные STOCKTON on TEES, серебро. Англия. ;  ;  ; Ag925 ;  ; 50 ; Хитрый Лис ; 11799 
 6611 ; Часы карманные ANCRE Ligne Droite, серебро. Европа. ;  ;  ; Ag800 ;  ; 58 ; МАХАЙРА ; 1530 
 6612 ; Кольцо для салфеток, серебро 84, БрЗ (Захарова И.В. и сыновья, 1896-1905гг) ;  ;  ; Ag84 ;  ; 32 ; Dahan ; 2270 
 6613 ; Солонка серебро 84. ;  ;  ; Ag84 ;  ; 63 ; фюрстен ; 2631 
 6614 ; Ложка столовая, серебро в оригинальном футляре. Финляндия ;  ;  ; Ag813 ;  ; 63 ; Гектор8 ; 2142 
 6615 ; Ложка чайная 4 шт, серебро. Англия ;  ;  ; Ag925 ;  ; 24 ; alex-aud ; 2802 
 6616 ; Ложка чайная, серебро, эмаль. ;  ;  ; Ag916 ;  ; 35 ; veselkov ; 1402 
 6617 ; Ложка чайная TIFFANY, серебро. ;  ;  ; Ag925 ;  ; 54 ; ЗАБРАЛО ; 3518 
 6618 ; Ложка чайная, серебро. ;  ;  ; Ag875 ;  ; 48 ; Dahan ; 1781 
 6619 ; Ложка чайная, серебро. ;  ;  ; Ag875 ;  ; 41 ; Dahan ; 1461 
 6620 ; Ложка чайная витая, серебро 84, К.В (Волков К.Н., 1908-1912гг) ;  ;  ; Ag84 ;  ; 16 ; com ; 1734 
 6621 ; Ложка чайная витая НА ПАМЯТЬ, серебро 84. ;  ;  ; Ag84 ;  ; 24 ; 576832 ; 1561 
 6622 ; Ложка чайная витая, серебро 84. ;  ;  ; Ag84 ;  ; 22 ; varelgi ; 1383 
 6623 ; Ложка чайная витая, серебро 84, И.Х ;  ;  ; Ag84 ;  ; 37 ; com ; 2380 
 6624 ; Вилка десертная, серебро. ;  ;  ; Ag875 ;  ; 23 ; Бигль ; 655 
 6625 ; Ложечка для соли, серебро. Европа. ;  ;  ; Ag800 ;  ; 46 ; Csenotaf ; 1268 
 6626 ; Ионизатор для воды, серебро. ;  ;  ; Ag925 ;  ; 44 ; Alexander_Er ; 1334 
 6627 ; Кольцо серебро, вставки. ;  ;  ; Ag925 ;  ; 31 ; Dahan ; 1224 
 6628 ; Крест нательный, серебро, золочение. ;  ;  ; Ag925 ;  ; 67 ; vit2503 ; 2040 
 6629 ; Католический крест  - распятие ;  ;  ; Ag925 ;  ; 14 ; vit2503 ; 459 
 6630 ; Икона Казанская БМ в окладе латунь, серебрение. ;  ;  ; Ж/м ;  ; 27 ; zemlyk2014 ; 1818 
 6631 ; Икона Троеручница БМ. ;  ;  ;  ;  ; 53 ; орлик ; 1862 
 6632 ; Статуэтка фарфоровая Девочка в платье. Германия. ;  ;  ;  ;  ; 106 ; Vova1950 ; 3468 
 6633 ; Статуэтка фарфоровая Слон, ЛФЗ. ;  ;  ;  ;  ; 62 ; sax ; 3400 
 6634 ; Сувенир фарфоровый В честь 100-летия В.И.Ленина. ;  ;  ;  ;  ; 40 ; himak ; 619 
 6635 ; Чаша фарфор. ;  ;  ;  ;  ; 49 ; Леонс ; 793 
 6636 ; Автограф Майи Плисецкой на открытке в рамке. Заключение № ДР 37/10/2020 ПИ-1 Санкт-Петербургского института независимой экспертизы и оценки. ;  ;  ;  ;  ; 171 ; NB ; 16923 
 6637 ; Рюмка, серебрение, золочение, в футляре ;  ;  ; Br ;  ; 48 ; QSL ; 3555 
 6638 ; Шкатулка, перегородчатая эмаль. ;  ;  ; Ж/м ;  ; 53 ; никсер ; 964 
 6639 ; Соусник PH.SCHNEIDER, серебрение. Германия ;  ;  ; Ж/м ;  ; 29 ; mirumir ; 1038 
 6640 ; Коробка серебрение. Англия ;  ;  ; Ж/м ;  ; 81 ; МАХАЙРА ; 3713 
 6641 ; Часы карманные Jung hans. Германия. ;  ;  ; Б/м ;  ; 45 ; aleks1753 ; 1352 
 6642 ; Часы карманные. Европа. ;  ;  ; Ж/м ;  ; 11 ; volkov ; 510 
 6643 ; Часы карманные. Швейцария. ;  ;  ; Ж/м ;  ; 38 ; Бигль ; 699 
 6644 ; Часы карманные PWL с шатленом. Европа. ;  ;  ; Б/м ;  ; 45 ; Иван II Красный ; 430 
 6645 ; Шагомер. СССР. ;  ;  ;  ;  ; 47 ; Rjym gtlfkmysq ; 507 
 6646 ; Шатлен для часов, серебрение ;  ;  ; Ж/м ;  ; 41 ; Леонс ; 933 
 6647 ; Часы женские Atmostic. Швейцария ;  ;  ;  ;  ; 24 ; МАХАЙРА ; 1237 
 6648 ; Статуэтка дерево Старик со змеей. ;  ;  ;  ;  ; 43 ; никсер ; 2002 
 6649 ; Ваза для фруктов ;  ;  ; Ж/м ;  ; 46 ; МАХАЙРА ; 1869 
 6650 ; Кофейный набор Tet-a-tet з предмета. Мельхиор. ;  ;  ; Б/м ;  ; 27 ; Vovan70 ; 578 
 6651 ; Подстаканник Богдан Хмельницкий, с ложкой, мельхиор ;  ;  ; Б/м ;  ; 45 ; 12345lal ; 743 
 6652 ; Подстаканник Космос, с ложкой, мельхиор. ;  ;  ; Б/м ;  ; 52 ; alex69 ; 1016 
 6653 ; Бюст В.И. Ленин. Н. Баганов. 1977 год. ;  ;  ; Б/м ;  ; 97 ; ИБК ; 1530 
 6654 ; Статуэтка Девушка с разбитым кувшином, омедненный силумин. ;  ;  ;  ;  ; 62 ; giwi ; 1893 
 6655 ; Лечебные шары из камня 2 шт, в коробке. ;  ;  ;  ;  ; 37 ; Alexander_Er ; 2267 
 6446 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 12 ; bamia67 ; 215 
 6447 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 17 ; vadimex ; 210 
 6448 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 23 ; himak ; 228 
 6449 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 26 ; himak ; 430 
 6450 ; Каталог-справочник «Монеты Казахстана 1993 – 2021 гг.», 5-я редакция ;  ;  ;  ;  ; 32 ; Vol4en0k ; 171 
 6451 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 13 ; SupERGood ; 30 
 6452 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 23 ; Wireless oyster ; 31 
 6453 ; В. П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 11 ; oscar_gold ; 182 
 6454 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 13 ; Wireless oyster ; 160 
 6455 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов. Редакция 40 ;  ;  ;  ;  ; 13 ; Wireless oyster ; 59 
 6456 ; А. Ильин. Русские монеты 1700-1725 гг. Петра I. Медная монета. Репринтное издание ;  ;  ;  ;  ; 11 ; Wireless oyster ; 80 
 6457 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 7 ; Wireless oyster ; 40 
 6458 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 17 ; Wireless oyster ; 126 
