 6621 ; Крест нательный, серебро. ;  ;  ; Ag925 ;  ; 26 ; vit2503 ; 4162 
 6622 ; Цепочка с крестом, серебро. ;  ;  ; Ag925 ;  ; 34 ; vit2503 ; 558 
 6623 ; Цепочка с крестиком, серебро. ;  ;  ; Ag925 ;  ; 20 ; vit2503 ; 518 
 6624 ; Икона Св.Великомчнкъ Пантелеймонъ, в окладе. ;  ;  ;  ;  ; 85 ; Vova1950 ; 11144 
 6625 ; Складень трехстворчатый. Деисус. Избранные Святые, эмаль. ;  ;  ; Ж/м ;  ; 42 ; ежик ; 4214 
 6626 ; Икона. Николай Чудотворец, эмаль. ;  ;  ; Ж/м ;  ; 29 ; oleghh7 ; 850 
 6627 ; Часы настольные Mauthe, латунь. Германия. ;  ;  ; Ж/м ;  ; 61 ; Kartu ; 1335 
 6628 ; Часы настольные кварцевые, Банковский мост, змеевик. ;  ;  ; Ж/м ;  ; 53 ; lenohota ; 1522 
 6629 ; Театральный бинокль. 1938 год. ;  ;  ;  ;  ; 15 ; flutter ; 2142 
 6630 ; Шкатулка, перегородчатая эмаль. ;  ;  ; Ж/м ;  ; 77 ; никсер ; 956 
 6631 ; Шкатулка дерево, роспись. Исп. Костерина. ;  ;  ;  ;  ; 55 ; stilsb ; 826 
 6632 ; Шкатулка фарфоровая WADE, Черепаха. Англия. ;  ;  ;  ;  ; 57 ; barc1010 ; 765 
 6633 ; Статуэтка фарфоровая Медведь. ;  ;  ;  ;  ; 44 ; Копеечка ; 235 
 6634 ; Витраж на стекле Таксы. ;  ;  ;  ;  ; 66 ; жених ; 758 
 6635 ; Часы карманные Молния 423, тонкие, 1955 год. СССР. ;  ;  ; Б/м ;  ; 50 ; Maxim914 ; 1043 
 6636 ; Часы карманные Molniia. ;  ;  ; Б/м ;  ; 49 ; russland ; 1131 
 6637 ; Часы наручные Слава, позолота 5% ;  ;  ; Ж/м ;  ; 24 ; ctepanovich ; 2345 
 6638 ; Часы наручные Orient, автомат, оригинальный браслет. Япония ;  ;  ; Б/м ;  ; 60 ; шарик ; 1259 
 6639 ; Часы наручные Nivada Antarctic. Швейцария. ;  ;  ; Ж/м ;  ; 37 ; roza77 ; 831 
 6640 ; Секундомер АГАТ. СССР. ;  ;  ; Б/м ;  ; 29 ; Дачникк ; 672 
 6641 ; Панно, плакетка, барельеф М.Горький. ЛМД. ;  ;  ; Ж/м ;  ; 36 ; barbos ; 291 
 6642 ; Барельеф -чеканка Женщина с ребенком. ;  ;  ; Ж/м ;  ; 15 ; Аргонавт ; 258 
 6643 ; Барельеф - чеканка Казанский собор. ;  ;  ; Ж/м ;  ; 69 ; pavspb ; 1653 
 6644 ; Фотоаппарат Kodak Junior 620. ;  ;  ;  ;  ; 26 ; mefodin ; 2234 
 6645 ; Брошь листья, янтарь, в оригинальной коробке. СССР. ;  ;  ;  ;  ; 43 ; Affliction ; 804 
 6646 ; Кувшин с крышкой и два стакана, олово. ;  ;  ; Б/м ;  ; 52 ; Vovan70 ; 1134 
 6647 ; Набор чайных ложек, мельхиор, в оригинальном футляре. ;  ;  ; Б/м ;  ; 20 ; himak ; 1121 
 6648 ; Подстаканник Космос с чайной ложкой. ;  ;  ; Б/м ;  ; 33 ; палыч218 ; 918 
 6649 ; Подстаканник скань с чайной ложкой. ;  ;  ; Б/м ;  ; 29 ; Федот ; 889 
 6650 ; Статуэтка Крыса с жемчужиной, латунь. ;  ;  ; Ж/м ;  ; 62 ; Flak16 ; 1182 
 6651 ; Нож для бумаги VINEXSA. Испания ;  ;  ; Ж/м ;  ; 38 ; Meshok ; 920 
 6652 ; Модель. Автомобиль Maybach 57. Herpa. 1/87. Германия. Бокс ; 2000-е гг ;  ;  ;  ; 16 ; ctepanovich ; 684 
 6653 ; Образцы. Модные печатные узоры по ткани, окрашенной Дiаминовыми красками. Рига. ;  ;  ;  ;  ; 19 ; megan ; 408 
 6654 ; Еврейский молитвенник. Конец XIX века. ;  ;  ;  ;  ; 94 ; Sms13 ; 793 
 6655 ; Агитационная литература, И. Сталин. На хлебном фронте. ЛЕНПАРТИЗДАТ. 1933 год. ;  ;  ;  ;  ; 86 ; шарик ; 518 
 6656 ; Агитационная литература, И. Сталин. О работе в деревне. ЛЕНПАРТИЗДАТ. 1933 год. ;  ;  ;  ;  ; 84 ; шарик ; 525 
