 6613 ; Ложка чайная, серебро. Финляндия. ;  ;  ; Ag813 ;  ; 20 ; Csenotaf ; 906 
 6614 ; Ложка чайная, серебро. Финляндия ;  ;  ; Ag813 ;  ; 21 ; lora ; 527 
 6615 ; Вилка десертная, серебро. Финляндия ;  ;  ; Ag813 ;  ; 21 ; piv67 ; 819 
 6616 ; Вилочка для лимона, серебро, эмаль. ;  ;  ; Ag875 ;  ; 41 ; Святогор ; 516 
 6617 ; Солонка серебро. ;  ;  ; Ag875 ;  ; 19 ; oleghh7 ; 2411 
 6618 ; Солонка хрусталь, серебро. ;  ;  ; Ag875 ;  ; 22 ; Марек ; 725 
 6619 ; Крест нательный, серебро. ;  ;  ; Ag925 ;  ; 26 ; vit2503 ; 906 
 6620 ; Цепочка серебро. ;  ;  ; Ag925 ;  ; 55 ; barc1010 ; 748 
 6621 ; Цепочка серебро. ;  ;  ; Ag925 ;  ; 41 ; electra ; 616 
 6622 ; Серьги серебро, в подарочной коробке. ;  ;  ; Ag925 ;  ; 8 ; Barin13 ; 500 
 6623 ; Икона в окладе. ;  ;  ; Ж/м ;  ; 38 ; bamia67 ; 1247 
 6624 ; Икона БМ в окладе. ;  ;  ; Ж/м ;  ; 60 ; Vova1950 ; 3913 
 6625 ; Кувшин медный Фабрика Егора Баташова. ;  ;  ; Ж/м ;  ; 96 ; никсер ; 4807 
 6626 ; Тарелка М.С. Кузнецова. Фарфор. Диаметр 205 мм ;  ;  ;  ;  ; 72 ; Кристобаль Хунта ; 4998 
 6627 ; Подсвечник Путти с факелом. Высота 290мм. ;  ;  ; Ж/м ;  ; 61 ; никсер ; 3130 
 6628 ; Шкатулка металлическая Царь. ;  ;  ; Б/м ;  ; 61 ; никсер ; 2142 
 6629 ; Конфетница хрусталь ;  ;  ; Б/м ;  ; 37 ; МАХАЙРА ; 2403 
 6630 ; Сливочник. ;  ;  ; Ж/м ;  ; 39 ; 100924 ; 790 
 6631 ; Столовые нож и вилка. Накладки дерево. Сынъ Коробковъ? С.Вачи ;  ;  ; Б/м ;  ; 53 ; antiquar ; 820 
 6632 ; Навершие с настенных часов. ;  ;  ; Ж/м ;  ; 23 ; МАХАЙРА ; 612 
 6633 ; Панно / чеканга Индийская богиня. ;  ;  ; Ж/м ;  ; 13 ; kbk ; 227 
 6634 ; Бинокль полевой телескопический "Lemaire Fabricant Paris". Франция ;  ;  ;  ;  ; 15 ; випколонок ; 4386 
 6635 ; Часы наручные Milljonar. Швейцария. ;  ;  ; Б/м ;  ; 77 ; аймир ; 2027 
 6636 ; Часы наручные женские "CITIZEN". С оригинальным браслетом. Япония ;  ;  ;  ;  ; 32 ; Один54 ; 907 
 6637 ; Часы наручные мужские "Ракета". СССР. Позолоченный корпус ;  ;  ;  ;  ; 53 ; Леонс ; 1587 
 6638 ; Часы наручные мужские "Нева". СССР ;  ;  ;  ;  ; 11 ; Леонс ; 245 
 6639 ; Секундомер трехкнопочный "Слава" в оригинальной коробке. СССР. ;  ;  ;  ;  ; 31 ; oleghh7 ; 1031 
 6640 ; Секундомер. 16 камней. В оригинальном футляре. ;  ;  ; Б/м ;  ; 18 ; Andre_Vladi ; 532 
