 6693 ; Пуговица. D-23мм. ;  ;  ; Ж/м ;  ; 54 ; electra ; 61 
 6694 ; Пуговица НКС. D-21мм. ;  ;  ; Б/м ;  ; 5 ; doc2 ; 102 
 6695 ; Пуговица. D-17мм. ;  ;  ; Ж/м ;  ; 18 ; electra ; 65 
 6643 ; Шкатулка Панды, клуазонне. ;  ;  ; Ж/м ;  ; 42 ; никсер ; 1105 
 6644 ; Валик почтовый, канцелярский. С-Петербург, ф-ка И. Карпова. 1860 год. ;  ;  ;  ;  ; 70 ; Vladzers ; 1683 
 6645 ; Безмен рычажный В.Л.Т. на 55 фунтов. 1895 год. ;  ;  ; Ж/м ;  ; 42 ; фюрстен ; 1071 
 6646 ; Жестяная коробка из под карточной игры ВИНТЪ. ;  ;  ;  ;  ; 56 ; фюрстен ; 1417 
 6647 ; Часы наручные Командирские. Чистополь ;  ;  ; Б/м ;  ; 23 ; num ; 567 
 6648 ; Часы наручные Восток. Амфибия, автоподзавод. ;  ;  ; Б/м ;  ; 7 ; flutter ; 306 
 6649 ; Секундомер Banhart. Германия. ;  ;  ; Б/м ;  ; 51 ; фюрстен ; 1530 
 6650 ; Секундомер. Агат. СССР. На ходу. Диаметр 55 мм ;  ;  ;  ;  ; 47 ; ГРР ; 543 
 6651 ; Часы мужские механические. ORIENT. Япония. С автоподзаводом. 35 х 40 мм. На ходу ;  ;  ;  ;  ; 31 ; ctepanovich ; 1333 
 6652 ; Часы кварцевые, наручные TIMELUXE. Япония. ;  ;  ;  ;  ; 32 ; obr73 ; 906 
 6653 ; Часы наручные Raketa ;  ;  ; Б/м ;  ; 3 ; Инструктор ; 155 
 6654 ; Лот часы кварцевые 2 шт ;  ;  ; Б/м ;  ; 24 ; Бигль ; 320 
 6655 ; Штемпель? РСФСР. Га…ловский р.исп.ком.сов РКиКД Воронежск обл. ;  ;  ; Ж/м ;  ; 19 ; DIMA 57 ; 1112 
 6656 ; Лот образцов гальвано-копий настольных медалей 2 шт. ;  ;  ; Ж/м ;  ; 25 ; Kartu ; 1887 
 6657 ; Лот клише: 2 шт. ;  ;  ;  ;  ; 5 ; megan ; 68 
 6658 ; Переходящее знамя Победителю в Соц соревновании. ;  ;  ;  ;  ; 36 ; Flak16 ; 1121 
 6659 ; Вымпел. Коллектив физкультуры. 260 х 380 мм ;  ;  ;  ;  ; 24 ; murew ; 129 
 6660 ; Вымпел. От спортсменов Ленинграда. 260 х 380 мм ;  ;  ;  ;  ; 16 ; ВЕПРЬ ; 157 
 6661 ; Модель. Iveco Turbostar. 1/87. Herpa. Германия. Бокс ;  ;  ;  ;  ; 23 ; gbp ; 417 
 6662 ; Модель.Liebherr. 1/87. Herpa. Германия ; 1990-е гг ;  ;  ;  ; 109 ; Aurum ; 1479 
 6663 ; Модель. MAN TG-A XXL Jumbokoffersattelzug. 1/87. Herpa. Германия. Бокс ; к.1990-х гг ;  ;  ;  ; 16 ; hobby19 ; 520 
 6664 ; Полная подшивка журнала Огонек за 1947 год, в пяти томах. ;  ;  ;  ;  ; 98 ; veektor ; 3947 
 6665 ; Александр Дюма. "Граф Монте-Кристо". 2 тома. 794 и 730 стр ;  ;  ;  ;  ; 10 ; flutter ; 816 
 6666 ; Письма крестнику. 2 тома. 298 и 264 стр ;  ;  ;  ;  ; 3 ; Лорика ; 99 
 6667 ; Фридрих Шиллер. 1838 год. 2 тома. 464 и 370 стр ;  ;  ;  ;  ; 17 ; Calman ; 1632 
 6668 ; Чарльз Диккенс. "Оливер Твист" и "Рождественские истории". 434 и 430 стр ;  ;  ;  ;  ; 39 ; ratiandr ; 1134 
 6669 ; Путешествия Гулливера. 1908. 382 стр ;  ;  ;  ;  ; 60 ; flutter ; 1328 
 6670 ; Оксфордская книга английских стихов. 1926. 1084 стр ;  ;  ;  ;  ; 89 ; Крохобор ; 1709 
 6671 ; Воспоминания императора. Наполеона I. 1854 год. 432 стр ;  ;  ;  ;  ; 153 ; казак 1963 ; 9183 
 6672 ; Поваренная книга. Е. Молоховская. 1913 ;  ;  ;  ;  ; 22 ; Agava ; 1530 
 6673 ; Историческая панарама Санкт-Петербурга и его окрестностей. Петергоф, Ориенбаум и Гатчина. Москва 1903 год. ;  ;  ;  ;  ; 49 ; Леонс ; 5202 
 6674 ; Декреты Великого Октября. Подборка из 50 дикретов. Лениздат. 1967 год. Увеличенный формат. Полный комплект ;  ;  ;  ;  ; 31 ; barbos ; 687 
 6675 ; И. Сталин. О правом уклоне в ВКПб. Ленинград. 1933 год. ;  ;  ;  ;  ; 31 ; Maxim914 ; 572 
 6676 ; И. Сталин . О работе в деревне. Ленинград. 1933 год. ;  ;  ;  ;  ; 13 ; svzg ; 400 
 6677 ; И. Сталин. Новая обстановка- новые задачи хозяйственного строительства. Ленинград. 1933 год. ;  ;  ;  ;  ; 37 ; 12345lal ; 376 
 6678 ; Краткая энциклопедия домашнего хозяйства. 2 тома. Москва, 1959 год. 370 и 400 стр ;  ;  ;  ;  ; 18 ; VPV89 ; 1200 
 6679 ; Энциклопедический словарь Гранат. Том 29. М.: Изд. тов. А. Гранат и К°, 1914. — 454 c.: ил ;  ;  ;  ;  ; 13 ; maks1986 ; 308 
 6680 ; Энциклопедический словарь Гранат. Том 33. М.: Изд. тов. А. Гранат и К°, 1916. — 420 c.: ил ;  ;  ;  ;  ; 7 ; maks1986 ; 309 
 6681 ; Энциклопедический словарь Гранат. Том 41: Ч. III. М.: Рус. библиогр. ин-т Гранат, 1925. — 446 c.: ил. ;  ;  ;  ;  ; 7 ; maks1986 ; 310 
 6682 ; Энциклопедический словарь Гранат. Том 41: Ч. VII. М.: Рус. библиогр. ин-т Гранат, 1927. — 424 c.: ил. ;  ;  ;  ;  ; 7 ; maks1986 ; 311 
 6683 ; А.Ф. Соколов. Первые уроки Церковно-славянского языка. Практический учебник. Москва, 1914 год. 158 стр ;  ;  ;  ;  ; 19 ; Affliction ; 906 
 6684 ; Н.В. Елчанинов. Сборник простейших опытов по природоведению. Изд. ЗАДРУГА. Москва, 1914 год. 224 стр ;  ;  ;  ;  ; 26 ; Affliction ; 1530 
 6685 ; Книга о вкусной и здоровой пище. Ред.: И.К. Сиволап, О.П. Молчанов и др. Москва, 1955 год. 400 стр ;  ;  ;  ;  ; 41 ; Unknоwn ; 1777 
 6686 ; Набор столовых ножей 6 шт + 2 шт, ручка мельхиор. ;  ;  ; Б/м ;  ; 14 ; KRASLAVA ; 465 
 6687 ; Украшение, янтарь. ;  ;  ; Б/м ;  ; 61 ; an78gg ; 1247 
 6688 ; Вазочка Москва-80 фарфор ЛФЗ. ;  ;  ;  ;  ; 30 ; veektor ; 485 
 6689 ; Лопатка сервировочная, мельхиор. ;  ;  ; Б/м ;  ; 11 ; dgin ; 157 
 6690 ; Подстаканник Фрукты. ;  ;  ; Ж/м ;  ; 37 ; veektor ; 779 
 6691 ; Пуговица Санкт-Петербург. Копейкин. D-30мм. ;  ;  ; Ж/м ;  ; 25 ; doc2 ; 714 
 6692 ; Пуговица Якорь. D-23мм. ;  ;  ; Ж/м ;  ; 27 ; electra ; 63 
 6488 ; Оптовый лот. 60 книг (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 46 ; статир ; 2126 
 6489 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 7 ; zabor ; 333 
 6490 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 17 ; статир ; 459 
 6491 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 5 ; zabor ; 1222 
 6492 ; Оптовый лот, 20 книг. Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 5 ; zabor ; 2040 
 6493 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 13 ; garikms ; 697 
 6494 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 11 ; zabor ; 1200 
 6495 ; Оптовый лот. 4 книги (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 15 ; tomchik ; 2805 
 6601 ; Кольцо женское с розовым камнем, золото. ;  ;  ; Au583 ;  ; 41 ; Рамзес2 ; 6482 
 6602 ; Часы карманные OMEGA, серебро. Швейцария. ;  ;  ;  ;  ; 58 ; алкид ; 9067 
 6603 ; Часы карманные S. GREENOUCH & SONS/ BOLTON, серебро, стоп-секундная стрелка. Англия. ;  ;  ; Ag925 ;  ; 38 ; georgpokr ; 11730 
 6604 ; Сливочник серебро. Финляндия. ;  ;  ; Ag813 ;  ; 37 ; PamVan ; 14280 
 6605 ; Две рюмки на подносе, серебро. ;  ;  ; Ag925 ;  ; 68 ; obr73 ; 7288 
