 6674 ; Часы  наручные Победа ПЧЗ с браслетом. ;  ;  ; Б/м ;  ; 9 ; basil ; 1530 
 6675 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 6676 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 6677 ; Подборка журналов "Пробуждение". 1916 год. 13 выпусков ;  ;  ;  ;  ; 43 ; Fortyna 12 ; 1351 
 6678 ; А.П. Чехов. 25 лет со дня смерти. Москва. 1929 год. Альбом с фото. 56 стр ;  ;  ;  ;  ; 33 ; Fortyna 12 ; 579 
 6679 ; Сочинения Майкова. С.-Пб. 1893 год. 600 стр ;  ;  ;  ;  ; 20 ; lavist ; 714 
 6680 ; Руководство описательной анатомии человека Д.Зернова. Москва. 1908 год. 612 стр ;  ;  ;  ;  ; 51 ; Affliction ; 2244 
 6681 ; Сочинения. Ким Ир Сен. 1980 г. Пхеньян. 544 стр ;  ;  ;  ;  ; 3 ; Клара Ц. и Роза Б. ; 102 
 6682 ; Историко-революционный календарь. 1941 г. ОГИЗ. Москва. 736 стр ;  ;  ;  ;  ; 81 ; Maxim914 ; 1967 
 6683 ; История искусства. Р. Розенберг. С.-Пб. 1905 год. 336 стр ;  ;  ;  ;  ; 66 ; Affliction ; 3400 
 6684 ; Листики из детских воспоминаний В.П. Авенариса. С.-Пб. 1893 год. 240 стр ;  ;  ;  ;  ; 23 ; Fortyna 12 ; 440 
 6685 ; Пуговица "Монограмма" ;  ;  ; Б/м ;  ; 8 ; велко ; 61 
 6686 ; Пуговица "Лев с короной" ;  ;  ; Ж/м ;  ; 24 ; велко ; 114 
 6687 ; Лот пуговиц Швеции: 7шт ;  ;  ; Ж/м ; VF/VF-XF ; 14 ; cucaracha ; 199 
 6688 ; Модель. Iveco. 1/87. Германия, Herpa ; 1990-е гг ;  ;  ;  ; 45 ; Aurum ; 507 
 6689 ; Модель. Москвич 403. 1/87. Германия, Herpa. Коробка ;  ;  ;  ;  ; 41 ; Pipe ; 769 
 6690 ; Модель. Scania. 1/87. Германия, Herpa ; 1990-е гг. ;  ;  ;  ; 49 ; Osmotr 82 ; 500 
 6624 ; Совочек для соли, серебро. Финляндия ;  ;  ; Ag813 ;  ; 35 ; AN54 ; 750 
 6625 ; Наперсток серебро 84. ;  ;  ; Ag84 ;  ; 54 ; Alex22D ; 921 
 6626 ; Цепочка, серебро ;  ;  ;  ;  ; 45 ; electra ; 735 
 6627 ; Цепочка и крест, серебро ;  ;  ;  ;  ; 24 ; kalita ; 587 
 6628 ; Цепочка и крест, серебро ;  ;  ;  ;  ; 65 ; vit2503 ; 914 
 6629 ; Лот из двух медальонов, серебро ;  ;  ;  ;  ; 42 ; nik_s ; 464 
 6630 ; Серьги, серебро ;  ;  ;  ;  ; 35 ; (.!.) ; 286 
 6631 ; Чайник. Англия ;  ;  ; Б/м ;  ; 71 ; никсер ; 2154 
 6632 ; Статуэтка Гончая, бронза. ;  ;  ; Ж/м ;  ; 10 ; zemlyk2014 ; 1325 
 6633 ; Статуэтка фарфоровая Мальчик с виноградом. ЛФЗ. ;  ;  ;  ;  ; 27 ; Краснодар ; 404 
 6634 ; Статуэтка фарфоровая Олимпийский мишка. ЛФЗ. ;  ;  ;  ;  ; 44 ; Борис2020 ; 616 
 6635 ; Кофейная пара, мельхиор. ;  ;  ; Б/м ;  ; 55 ; flutter ; 609 
 6636 ; Чайник с подносом. Б/м ;  ;  ; Б/м ;  ; 15 ; S.SPb ; 1000 
 6637 ; Подстаканник с ложкой. Московский Кремль. ;  ;  ; Б/м ;  ; 63 ; Meshok ; 705 
 6638 ; Подстаканник с ложкой. Московский Кремль. ;  ;  ; Б/м ;  ; 22 ; veektor ; 921 
 6639 ; Подстаканник с ложкой, эмаль. ;  ;  ; Ж/м ;  ; 17 ; Боня ; 940 
 6640 ; Подстаканник с ложкой, эмаль. ;  ;  ; Ж/м ;  ; 16 ; Боня ; 921 
 6641 ; Подстаканник. Б/м. Высота 65 мм ;  ;  ;  ;  ; 29 ; Fireman ; 567 
 6642 ; Набор поднос и 6 рюмок. Латунь с росписью ;  ;  ;  ;  ; 29 ; никсер ; 2958 
 6643 ; Подстаканник мельхиор. Кольчугинский з-д. ;  ;  ; Б/м ;  ; 22 ; шахтер-61 ; 894 
 6644 ; Икона в окладе. ;  ;  ; Ж/м ;  ; 17 ; vorgarik ; 1020 
 6645 ; Икона ;  ;  ;  ;  ; 15 ; 312 ; 714 
 6646 ; Шкатулка, роспись. ;  ;  ;  ;  ; 17 ; Женя50 ; 906 
 6647 ; Бинокль 6х30. Военный с сеткой. Клеймо 1945. Был на профилактике в 1961. Резкость отличная, стекла целые. С оригинальным кофром ;  ;  ;  ;  ; 22 ; VPV89 ; 6426 
 6648 ; Бинокль Colmont Paris France. 1910-е. Обтянут кожей. Оптика целая. Длина в раздвинутом состоянии 135 мм. Оригинальный кофр ;  ;  ;  ;  ; 22 ; volkova21 ; 2618 
 6649 ; Бинокль БПС 4х20 в кожаном футляре. ;  ;  ;  ;  ; 102 ; Лоцман ; 1181 
 6650 ; Бинокль перламутр. ;  ;  ; Ж/м ;  ; 22 ; Лесникк ; 2229 
 6651 ; Бинокль, оплетка кожа. ;  ;  ; Ж/м ;  ; 17 ; sadovod ; 2142 
 6652 ; Безмен SALTERS IMPROVED, латунь. ;  ;  ; Ж/м ;  ; 40 ; volkova21 ; 793 
 6653 ; Безмен SALTERS IMPROVED №2, латунь. ;  ;  ; Ж/м ;  ; 29 ; volkova21 ; 778 
 6654 ; Бюст Испанский Генерал Бальдомеро Эспартеро. ;  ;  ;  ;  ; 21 ; cr2952 ; 1365 
 6655 ; Статуэтка / накладка Национальный конкурс. ;  ;  ; Ж/м ;  ; 5 ; volkova21 ; 159 
 6656 ; Статуэтка по мотиву Сказ о попе и его работнике Балде, кость. ;  ;  ;  ;  ; 13 ; жених ; 680 
