 6635 ; Часы наручные ORIENT UTAD-CO, кварц. Япония. ;  ;  ; Б/м ;  ; 33 ; Yamilov ; 1700 
 6636 ; Часы наручные VITA BANK. ;  ;  ; Б/м ;  ; 10 ; Rober ; 46 
 6637 ; Часы наручные Луч. ;  ;  ; Б/м ;  ; 21 ; dimam_kz ; 126 
 6638 ; Часы наручные Ракета - 70 лет Победы ;  ;  ; Ж/м ;  ; 7 ; шахтер-61 ; 237 
 6639 ; Часы наручные Вымпел. ;  ;  ; Ж/м ;  ; 7 ; kadja20083 ; 126 
 6640 ; Часы наручные Победа. СССР. ;  ;  ; Б/м ;  ; 13 ; dimam_kz ; 136 
 6641 ; Часы наручные Свет. СССР. ;  ;  ; Б/м ;  ; 21 ; Томов ; 67 
 6642 ; Часы наручные Raketa ;  ;  ; Б/м ;  ; 35 ; flutter ; 550 
 6643 ; Лот наручных часов Ракета и Слава. ;  ;  ; Б/м ;  ; 7 ; Yamilov ; 237 
 6644 ; Лот наручных и карманных часов 6 шт. ;  ;  ; Ж/м ;  ; 19 ; Yamilov ; 896 
 6645 ; Подвеска в виде собаки с цепочкой ;  ;  ; Ж/м ;  ; 10 ; Боня ; 153 
 6646 ; Рюмки металлические. 3 шт. Высота 70, 60 и 60 мм ;  ;  ;  ;  ; 92 ; aleks1943 ; 1022 
 6647 ; Статуэтка. Фарфор. 210 мм ;  ;  ;  ;  ; 62 ; Борис2020 ; 1601 
 6648 ; Статуэтка. Фарфор. 190 мм ;  ;  ;  ;  ; 47 ; Бигимот ; 1384 
 6649 ; Статуэтка. Фарфор. 180 мм ;  ;  ;  ;  ; 57 ; Бабмаша ; 1179 
 6650 ; Статуэтка. Фарфор. 130 мм ;  ;  ;  ;  ; 69 ; Бабмаша ; 793 
 6651 ; Статуэтка. Фарфор. 70 мм ;  ;  ;  ;  ; 44 ; Бабмаша ; 614 
 6652 ; Статуэтки. Фарфор. 3 шт. 40, 30 и 40 мм ;  ;  ;  ;  ; 56 ; arsenich-s ; 688 
 6653 ; Лот статуэток собачки 9 шт, фарфор, керамика. ;  ;  ;  ;  ; 34 ; V5 ; 1383 
 6654 ; Кристалл декоративный. 110 мм ;  ;  ;  ;  ; 51 ; жених ; 920 
 6655 ; Флаг. 140х90 см ;  ;  ;  ;  ; 71 ; Nexus ; 5307 
 6656 ; Вымпел. 60х32 см ;  ;  ;  ;  ; 43 ; Nexus ; 2267 
 6657 ; Флаг. 140х90 см ;  ;  ;  ;  ; 19 ; Nexus ; 1020 
 6658 ; Вымпел. 40х26 см ;  ;  ;  ;  ; 45 ; Nexus ; 1134 
 6659 ; Лот вымпелов городов, 7 шт. ;  ;  ;  ;  ; 33 ; Боня ; 124 
 6660 ; Солдатская памятка. Издание 21-е. Санкт-Петербург 1899г ;  ;  ;  ;  ; 69 ; svzg ; 3627 
 6661 ; Сочинения И.С. Тургенева. Часть первая. Москва. 1869 год. ;  ;  ;  ;  ; 36 ; svzg ; 793 
 6662 ; Сочинения Лермонтова. Том 2. Санкт-Петербург. 1887 год. ;  ;  ;  ;  ; 40 ; Лорика ; 906 
 6663 ; Полное собрание художественных сочинений Л.Н. Толстого. Книга IV, V, XX, XXI,XXII, XXIV. ;  ;  ;  ;  ; 46 ; Fortyna 12 ; 1026 
 6664 ; Александр Дюма. Три мушкетера. 2 тома. 155х103 мм. 380 и 380 стр ;  ;  ;  ;  ; 29 ; flutter ; 977 
 6665 ; Томас Перси. Реликвии древнеанглийской поэзии. 1906 год. 183х123 мм. 384 стр ;  ;  ;  ;  ; 33 ; Fortyna 12 ; 2061 
 6666 ; Жизнь герцога Веллингтона. 1852 год. В книге много иллюстраций. 186х125 мм. 498 стр ;  ;  ;  ;  ; 51 ; Calman ; 5227 
 6667 ; Чарльз Диккенс. Николас Никльби. 2 тома. 160х106 мм. 442 и 442 стр ;  ;  ;  ;  ; 31 ; Yamilov ; 793 
 6668 ; Томас Гарди. Старший трубач полка. 1920 год. 174х113 мм. 384 стр ;  ;  ;  ;  ; 34 ; Yamilov ; 534 
 6669 ; Джастин Маккарти. История нашего времени. 1905 год. 165х110 мм. 596 стр ;  ;  ;  ;  ; 48 ; Calman ; 680 
 6670 ; Уильям Мейкпис. Ярмарка тщеславия. 1905 год. 168х106 мм. 784 стр ;  ;  ;  ;  ; 44 ; Yamilov ; 459 
 6671 ; Атлас океанов с большой картой рельефа дна мирового океана. Главное управление навигации и океанографии Министерства обороны СССР. 1980 год. ;  ;  ;  ;  ; 27 ; 78gen ; 2157 
 6672 ; Географический атлас. Главное управление геодезии и картографии МВД СССР. Москва. 1955 год. ;  ;  ;  ;  ; 13 ; Agava ; 334 
 6673 ; Журнал Нива. Литературные приложения.Январь-Май 1902 г и 7 номеров 1915 года. ;  ;  ;  ;  ; 16 ; Alexim ; 567 
 6674 ; Б. Жуков. Рассказы о животных. Москва-Ленинград. 1940 год. ;  ;  ;  ;  ; 15 ; Fortyna 12 ; 510 
