 6626 ; Бинокль театральный, складной. СССР ;  ;  ; Б/м ;  ; 23 ; Yamilov ; 2550 
 6627 ; Статуэтка фарфоровая Девочка с куклой Zaphiv. Испания. ;  ;  ;  ;  ; 29 ; шахтер-61 ; 1259 
 6628 ; Статуэтка фарфоровая Пастушок. Германия. ;  ;  ;  ;  ; 51 ; giwi ; 1224 
 6629 ; Блюдце с ручкой фарфоровое. Дания. ;  ;  ;  ;  ; 25 ; veselkov ; 461 
 6630 ; Молочник фарфоровый с подставкой. Япония. ;  ;  ;  ;  ; 6 ; Meshok ; 385 
 6631 ; Кофейник фарфоровый. Германия. ;  ;  ;  ;  ; 39 ; Meshok ; 299 
 6632 ; Фарфоровая емкость для чая. Япония. Высота 90 мм ;  ;  ;  ;  ; 67 ; папашаГарпагон ; 1122 
 6633 ; Блюдце фарфор. Германия. ;  ;  ;  ;  ; 19 ; Gavrik911 ; 373 
 6634 ; Старинная коробка под сигары. Карельская береза. 90х140 мм ;  ;  ;  ;  ; 40 ; alapabula ; 3539 
 6635 ; Зажигалка бензиновая KW (Karl Weiden). Германия. ;  ;  ; Б/м ;  ; 32 ; volkova21 ; 1326 
 6636 ; Часы 122 ЧС. Выпуск 23.10.1975 года. Новые. ;  ;  ; Б/м ;  ; 71 ; Ligaga ; 6100 
 6637 ; Часы карманные 80 лет Октябрьской Социалистической революции. ;  ;  ; Б/м ;  ; 37 ; Сергей К. ; 1926 
 6638 ; Логарифмическая линейка D.R.G.M. Германия 1930-е годы. ;  ;  ;  ;  ; 19 ; Yamilov ; 357 
 6639 ; Щетка - стальная щетина. D.R.G.M. №36628. Германия 1930-е годы. ;  ;  ;  ;  ; 40 ; russland ; 544 
 6640 ; Маникюрные ножницы Solingen. Германия. ;  ;  ; Ж/м ;  ; 39 ; RAPAN ; 603 
 6641 ; Помада женская латунь. ;  ;  ;  ;  ; 2 ; Fast ; 3 
 6642 ; Окаменелый моллюск Цефалопод. L-177мм. Сертификат Смитсониевского института (Вашингтон) ; 520 миллионов лет назад ;  ;  ;  ; 67 ; vit2503 ; 3555 
 6643 ; Подстаканник Москва. Высота 120 мм ;  ;  ;  ;  ; 29 ; vivehcili ; 765 
 6644 ; Подстаканник с ложкой. Высота 85 мм. Для участников из СПб - стакан в подарок ;  ;  ;  ;  ; 49 ; Боня ; 964 
 6645 ; Солонка. Диаметр 55 мм ;  ;  ;  ;  ; 12 ; Рос ; 117 
 6646 ; Винтажная кукла. Глаза закрываются, ботинки снимаются. 115 мм ;  ;  ;  ;  ; 19 ; MikeWinger ; 510 
 6647 ; Винтажная кукла. Пластмасса. 175 мм ;  ;  ;  ;  ; 21 ; winter21 ; 260 
 6648 ; Винтажная кукла. Германия. Ботинки снимаются. 245 мм ;  ;  ;  ;  ; 8 ; winter21 ; 155 
 6649 ; Лот из 3-х кукол. СССР. Фабрика 8 Марта. Солоха, Петрушка, Чуб. 1 с биркой. 180, 140 и 190 мм ;  ;  ;  ;  ; 58 ; antiquar ; 908 
 6650 ; Мясорубка HUSQVARNA №10. Швеция. ;  ;  ;  ;  ; 57 ; VPV89 ; 1818 
 6651 ; Рог сувенирный ;  ;  ;  ;  ; 49 ; Reks ; 698 
 6652 ; Вымпел Ленин ;  ;  ;  ;  ; 108 ; Дачникк ; 2433 
 6653 ; Вымпел и значок "Марафон на дороге жизни 1988" ;  ;  ;  ;  ; 13 ; alenka1991 ; 101 
 6654 ; Вымпел "За высокие спортивные достижения" ;  ;  ;  ;  ; 40 ; wwi.i ; 500 
 6655 ; Лот бутылочных этикеток. Более 200 шт ;  ;  ;  ;  ; 35 ; Нутелла ; 1005 
 6656 ; Журнал Огонек №37- 1914 год. ;  ;  ;  ;  ; 58 ; doc2 ; 1224 
 6657 ; Карта. Древнiй мiръ. Размер 220х285мм. ;  ;  ;  ;  ; 16 ; Murat_a ; 153 
 6658 ; Новый Завътъ. Издание десятое. Санкт-Петербург. 1899 год. ;  ;  ;  ;  ; 48 ; Yamilov ; 4873 
 6659 ; С-ПЕТЕРБУРГЪ. Издание I. ДАЦIАРО. ;  ;  ;  ;  ; 72 ; алкид ; 4598 
 6660 ; Живописное обозрение. Том 1-3. С-Петербург. 1882 год. ;  ;  ;  ;  ; 32 ; Affliction ; 1182 
 6661 ; Живописное обозрение. Том 4-6. С-Петербург. 1882 год. ;  ;  ;  ;  ; 25 ; шахтер-61 ; 1214 
 6662 ; Живописное обозрение. Том 7-9. С-Петербург. 1882 год. ;  ;  ;  ;  ; 34 ; шахтер-61 ; 1218 
 6663 ; Модель. Liebherr L 580. 1/87. Германия, Herpa. Бокс ; 2000-е гг ;  ;  ;  ; 46 ; Grey883 ; 759 
 6664 ; Модель. Ferrari F-40. 1/87. Германия, Herpa. Бокс ; 1990-е гг ;  ;  ;  ; 49 ; wwi.i ; 965 
 6665 ; Модель. AMG Mercedes C 180 "Ruch Team". 1/87. Германия, Herpa. Бокс ; 1990-е гг ;  ;  ;  ; 54 ; wwi.i ; 969 
 6666 ; Модель. VW T4 "Henglein". 1/87. Германия, Herpa. Бокс ; 1990-е гг ;  ;  ;  ; 34 ; Ligaga ; 516 
 6667 ; Модель. Ан-2. 1/200. Германия, Herpа. Коробка ; 2000-егг ;  ; Металл ;  ; 20 ; dimcoin ; 822 
 6426 ; Каталог-справочник. Монеты Абхазии, Азербайджана, Армении, Грузии и Южной Осетии. Редакция 1, 2019 год ;  ;  ;  ;  ; 26 ; 347645 ; 114 
 6427 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 20 ; sato ; 65 
 6428 ; М. Васильевский. 12 таблиц русских монет с древнейших времен до наших дней. Руководство для начинающих собирателей. Репринтное издание ;  ;  ;  ;  ; 22 ; МАХАЙРА ; 80 
 6429 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 5 ; всемоё ; 11 
 6430 ; Открытки к 200-летию Петербурга. С. С. Мяник ;  ;  ;  ;  ; 15 ; Гектор8 ; 205 
 6431 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 22 ; Markgraf ; 51 
