 7062 ; Лот марок. Тува. 1941. Редкий набор. 5 шт ;  ;  ;  ;  ; 52 ; Olimpia ; 1233 
 7063 ; Марка. СССР. 1947. Синий фон ;  ;  ;  ;  ; 25 ; bitdvd ; 110 
 7064 ; Марка. СССР. 1947. СК N 1162К1. "лог" ;  ;  ;  ;  ; 22 ; орел414151 ; 340 
 7065 ; Марка. СССР. 1947. СК N 1155. Тип 1 ;  ;  ;  ;  ; 16 ; bitdvd ; 83 
 7066 ; Марка. СССР. 1947. СК N 1153. #ВР ;  ;  ;  ;  ; 12 ; Meshok ; 249 
 7067 ; Лот марок. СССР. 1947. СК N 1163, 1163А, 1163-I. 3 шт ;  ;  ;  ;  ; 15 ; Приор ; 357 
 7068 ; Лот марок. СССР. 1947. СК N 1164-I, 1164-II. 2 шт ;  ;  ;  ;  ; 11 ; tdp ; 181 
 7012 ; Лот марок. СССР. 1956. 5 шт ;  ;  ;  ;  ; 23 ; Olimpia ; 250 
 7013 ; Марка. СССР. 1956. СК N 1906К. Разбит балкон ;  ;  ;  ;  ; 31 ; Приор ; 357 
 7014 ; Лот марок. СССР. 1956. 4 шт ;  ;  ;  ;  ; 10 ; Майонез ; 127 
 7015 ; Лот марок. СССР. 1955. 4 шт ;  ;  ;  ;  ; 11 ; Ratmen ; 170 
 7016 ; Лот марок. СССР. 1955. Разновидности. 7 шт ;  ;  ;  ;  ; 17 ; Вяч ; 378 
 7017 ; Лот марок. СССР. 1956. С разновидностями. 4 шт ;  ;  ;  ;  ; 11 ; Olimpia ; 308 
 7018 ; Лот марок. СССР. 1956. 2 шт ;  ;  ;  ;  ; 15 ; doc2 ; 201 
 7019 ; Лот марок. СССР. 1956. 4 шт ;  ;  ;  ;  ; 21 ; В1951 ; 412 
 7020 ; Марка. СССР. 1956. СК N 1888К ;  ;  ;  ;  ; 13 ; Olimpia ; 203 
 7021 ; Марка. СССР. 1957. Надпечатка. СК N 2092. Без наклеек ;  ;  ;  ;  ; 62 ; Приор ; 1040 
 7022 ; Лот марок. СССР. 1956. 6 шт ;  ;  ;  ;  ; 8 ; Olimpia ; 293 
 7023 ; Лот марок. СССР. 1956. 8 шт ;  ;  ;  ;  ; 15 ; Приор ; 357 
 7024 ; Лот марок. СССР. 1956. 8 шт ;  ;  ;  ;  ; 13 ; bitdvd ; 223 
 7025 ; Лот марок. СССР. 1956. 6 шт ;  ;  ;  ;  ; 23 ; doc2 ; 340 
 7026 ; Лот марок. СССР. 1956. 3 шт ;  ;  ;  ;  ; 13 ; Ratmen ; 162 
 7027 ; Марка. СССР. 1956. СК N 1955 А. Гашеная ;  ;  ;  ;  ; 9 ; Olimpia ; 183 
 7028 ; Лот марок. СССР. 1956. 6 шт ;  ;  ;  ;  ; 19 ; Panzerbus ; 541 
 7029 ; Лот марок. СССР. 1957. 3 шт ;  ;  ;  ;  ; 7 ; Ratmen ; 51 
 7030 ; Лот марок. СССР. 1957. СК N 2000, 2000 А ;  ;  ;  ;  ; 9 ; Вяч ; 250 
 7031 ; Лот марок. СССР. Л: 12,5. 1957. 3 шт ;  ;  ;  ;  ; 15 ; Приор ; 805 
 7032 ; Лот марок. СССР. 1957. 7 шт ;  ;  ;  ;  ; 9 ; bitdvd ; 268 
 7033 ; Лот марок. Русский Левант. 5 шт ;  ;  ;  ;  ; 30 ; QSL ; 238 
 7034 ; Лот марок. Юг России. 1918. 6 шт ;  ;  ;  ;  ; 35 ; kaso2008 ; 350 
 7035 ; Марка. Юг России. 1920 ;  ;  ;  ;  ; 42 ; Panzerbus ; 355 
 7036 ; Лот марок. Россия. Сибирь. 1919-1923. 2 шт ;  ;  ;  ;  ; 20 ; Петр68 ; 126 
 7037 ; Лот марок. Северо-Западная Армия России. 2 шт ;  ;  ;  ;  ; 18 ; Петр68 ; 255 
 7038 ; Марка. Северо-Запад России. 1919-1920 ;  ;  ;  ;  ; 25 ; Olimpia ; 378 
 7039 ; Лот марок. 8 шт ;  ;  ;  ;  ; 31 ; Петр68 ; 374 
 7040 ; Лот марок. Русский Левант. Разновидности. 6 шт ;  ;  ;  ;  ; 24 ; Бигль ; 135 
 7041 ; Лот марок. Русский Левант. 6 шт ;  ;  ;  ;  ; 34 ; Степан_81 ; 567 
 7042 ; Лот марок. Русский Левант. 6 шт ;  ;  ;  ;  ; 22 ; Panzerbus ; 217 
 7043 ; Лот марок. Русский Левант. 6 шт ;  ;  ;  ;  ; 32 ; Panzerbus ; 193 
 7044 ; Лот марок. Гражданская война. 4 шт ;  ;  ;  ;  ; 30 ; Panzerbus ; 400 
 7045 ; Лот марок. Юг России. 1919. 8 шт ;  ;  ;  ;  ; 41 ; Петр68 ; 238 
 7046 ; Лот марок. Гражданская война. 7 шт ;  ;  ;  ;  ; 38 ; Panzerbus ; 400 
 7047 ; Лот марок. Дальневосточная Республика. 1920. 6 шт ;  ;  ;  ;  ; 58 ; Петр68 ; 464 
 7048 ; Лот марок. Генерал Юденич. 1919. 13 шт ;  ;  ;  ;  ; 24 ; Петр68 ; 370 
 7049 ; Блок марок. СССР. 1944 ;  ;  ;  ;  ; 34 ; bitdvd ; 555 
 7050 ; Марка. СССР. 1945 ;  ;  ;  ;  ; 20 ; Приор ; 340 
